,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Preferred Stock Dividends,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-03-31,101444695.259594,0.096614,94450000000.0,1050000000.0,1050000000.0,14440000000.0,24980000000.0,18380000000.0,95500000000.0,70520000000.0,-41910000000.0,48370000000.0,7930000000.0,13491444695.259594,14440000000.0,48050000000.0,50000000.0,1584032478.0,1584032478.0,8.37,8.37,13270000000.0,13270000000.0,1170000000.0,0.0,14440000000.0,-5570000000.0,20010000000.0,20010000000.0,2140000000.0,22150000000.0,2300000000.0,-3310000000.0,3310000000.0,0.0,,-41910000000.0,1470000000.0,48370000000.0,7930000000.0,64070000000.0,29670000000.0,1360000000.0,24980000000.0,24980000000.0,1910000000.0,190000000.0,1720000000.0,50000000.0,93740000000.0,18380000000.0,112120000000.0,112120000000.0
2024-03-31,-1645475763.016158,0.245961,84320000000.0,-6690000000.0,-6690000000.0,11000000000.0,19030000000.0,15250000000.0,77630000000.0,58600000000.0,-34080000000.0,41890000000.0,9170000000.0,16044524236.983843,11000000000.0,37760000000.0,60000000.0,1585801431.0,1584032478.0,6.2,6.21,9830000000.0,9830000000.0,1170000000.0,0.0,11000000000.0,-1600000000.0,12600000000.0,12600000000.0,4110000000.0,16710000000.0,2310000000.0,-2700000000.0,2670000000.0,30000000.0,,-34080000000.0,1360000000.0,41890000000.0,9170000000.0,54440000000.0,22510000000.0,860000000.0,19030000000.0,19030000000.0,1650000000.0,110000000.0,1540000000.0,60000000.0,76950000000.0,15250000000.0,92200000000.0,92200000000.0
2023-03-31,1000666199.158485,0.317672,50460000000.0,3150000000.0,3150000000.0,9740000000.0,13000000000.0,20110000000.0,53610000000.0,40610000000.0,-21730000000.0,26350000000.0,6070000000.0,7590666199.158485,9740000000.0,35310000000.0,30000000.0,1581783858.0,1581783858.0,5.41,5.41,8570000000.0,8570000000.0,1170000000.0,0.0,9740000000.0,10000000.0,9730000000.0,9730000000.0,4530000000.0,14260000000.0,1980000000.0,-2480000000.0,2330000000.0,150000000.0,,-21730000000.0,1450000000.0,26350000000.0,6070000000.0,42440000000.0,15200000000.0,650000000.0,13000000000.0,13000000000.0,1110000000.0,80000000.0,1030000000.0,30000000.0,57640000000.0,20110000000.0,77750000000.0,77750000000.0
2022-03-31,-103001808.318264,0.115732,36690000000.0,-890000000.0,-890000000.0,4890000000.0,8490000000.0,14560000000.0,35800000000.0,27310000000.0,-18940000000.0,21780000000.0,3670000000.0,5676998191.681736,4890000000.0,24630000000.0,70000000.0,1564014280.0,1564014280.0,2.41,2.41,3790000000.0,3790000000.0,1100000000.0,0.0,4890000000.0,0.0,4890000000.0,4890000000.0,640000000.0,5530000000.0,330000000.0,580000000.0,-620000000.0,40000000.0,0.0,-18940000000.0,830000000.0,21780000000.0,3670000000.0,26700000000.0,10070000000.0,370000000.0,8490000000.0,8490000000.0,810000000.0,50000000.0,760000000.0,70000000.0,36770000000.0,14560000000.0,51330000000.0,51330000000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000000.0,,,,,,,,,,,,,,,,,
