,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Preferred Securities Outside Stock Equity,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Commercial Paper,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Financial Assets,Investments And Advances,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Trading Securities,Long Term Equity Investment,Investments In Other Ventures Under Equity Method,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Machinery Furniture Equipment,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2024-12-31,,4330000000.0,4330000000.0,41762000000.0,50011000000.0,70886000000.0,149281000000.0,11658000000.0,70886000000.0,99270000000.0,145552000000.0,105032000000.0,5762000000.0,99270000000.0,-711000000.0,-711000000.0,49032000000.0,50949000000.0,50949000000.0,0.0,91453000000.0,55787000000.0,9505000000.0,,,,,,46282000000.0,46282000000.0,35666000000.0,,,3729000000.0,3729000000.0,3729000000.0,,3343000000.0,28594000000.0,14282000000.0,14312000000.0,1756000000.0,1756000000.0,12556000000.0,196485000000.0,149161000000.0,7475000000.0,,,,,5383000000.0,,5383000000.0,5383000000.0,,,,28384000000.0,3691000000.0,24693000000.0,107919000000.0,-102193000000.0,210112000000.0,50418000000.0,103150000000.0,56544000000.0,47324000000.0,9586000000.0,,12198000000.0,3422000000.0,7432000000.0,1344000000.0,3478000000.0,3478000000.0,22062000000.0,13813000000.0,8249000000.0
2023-12-31,0.0,4228000000.0,4228000000.0,42187000000.0,49266000000.0,73410000000.0,154856000000.0,15216000000.0,73410000000.0,105590000000.0,152568000000.0,109965000000.0,4375000000.0,105590000000.0,-215000000.0,-215000000.0,69156000000.0,36649000000.0,36649000000.0,0.0,81607000000.0,53554000000.0,6576000000.0,,,,,,46978000000.0,46978000000.0,28053000000.0,-12000000.0,2900000000.0,2288000000.0,2288000000.0,2288000000.0,,3655000000.0,22110000000.0,12425000000.0,9685000000.0,1107000000.0,1107000000.0,8578000000.0,191572000000.0,148303000000.0,13647000000.0,,,,,5829000000.0,,5829000000.0,5829000000.0,,5000000.0,,32180000000.0,4589000000.0,27591000000.0,96647000000.0,-98010000000.0,194657000000.0,43442000000.0,100033000000.0,51182000000.0,43269000000.0,3706000000.0,,11127000000.0,3758000000.0,6203000000.0,1166000000.0,3402000000.0,3402000000.0,25034000000.0,17955000000.0,7079000000.0
2022-12-31,,4137000000.0,4137000000.0,30863000000.0,42007000000.0,67814000000.0,143430000000.0,18252000000.0,67814000000.0,101423000000.0,139107000000.0,103286000000.0,1863000000.0,101423000000.0,-562000000.0,-562000000.0,70405000000.0,31580000000.0,31580000000.0,0.0,78817000000.0,46662000000.0,8978000000.0,,3796000000.0,202000000.0,,202000000.0,37684000000.0,37684000000.0,32155000000.0,44000000.0,2400000000.0,4323000000.0,4323000000.0,423000000.0,3900000000.0,4084000000.0,21304000000.0,9458000000.0,11846000000.0,2251000000.0,2251000000.0,9595000000.0,182103000000.0,131696000000.0,11315000000.0,,,,,5912000000.0,,5902000000.0,5902000000.0,,10000000.0,10000000.0,33609000000.0,6018000000.0,27591000000.0,80860000000.0,-93386000000.0,174246000000.0,36727000000.0,92711000000.0,44808000000.0,50407000000.0,4712000000.0,45000000.0,13224000000.0,4142000000.0,7565000000.0,1517000000.0,4133000000.0,4133000000.0,28338000000.0,17194000000.0,11144000000.0
2021-12-31,,4070000000.0,4070000000.0,33283000000.0,38110000000.0,61158000000.0,133501000000.0,31096000000.0,61158000000.0,95391000000.0,128901000000.0,95391000000.0,0.0,95391000000.0,-880000000.0,-880000000.0,68265000000.0,28006000000.0,28006000000.0,0.0,73015000000.0,45553000000.0,5071000000.0,,4305000000.0,2667000000.0,185000000.0,2667000000.0,33510000000.0,33510000000.0,27462000000.0,991000000.0,2800000000.0,4600000000.0,4600000000.0,4600000000.0,0.0,4535000000.0,14536000000.0,7713000000.0,6823000000.0,1076000000.0,1076000000.0,5747000000.0,168406000000.0,109848000000.0,6072000000.0,,,,,6298000000.0,840000000.0,6282000000.0,6282000000.0,,16000000.0,16000000.0,34233000000.0,7270000000.0,26963000000.0,63245000000.0,-85294000000.0,148539000000.0,21545000000.0,86955000000.0,40039000000.0,58558000000.0,2130000000.0,6942000000.0,10776000000.0,2679000000.0,6656000000.0,1441000000.0,9457000000.0,9457000000.0,29253000000.0,24426000000.0,4827000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,0.0,4578000000.0,5210000000.0,1367000000.0,3843000000.0,,,,2000000000.0,2500000000.0,,,,,,,,,,,,,,,1502000000.0,1232000000.0,1232000000.0,1550000000.0,,2192000000.0,,,5152000000.0,18000000.0,,,,,,,,,,,,,5400000000.0,,,,,,,,,
