,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Capital Expenditure Reported,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Tax Payable,Change In Income Tax Payable,Change In Prepaid Assets,Change In Inventory,Change In Receivables,Other Non Cash Items,Stock Based Compensation,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Pension And Employee Benefit Expense,Gain Loss On Investment Securities,Net Income From Continuing Operations
2025-01-31,396000000.0,-1000000.0,-524000000.0,301000000.0,,-882000000.0,155000000.0,304000000.0,1310000000.0,1037000000.0,273000000.0,-413000000.0,-413000000.0,3000000.0,-192000000.0,-192000000.0,-1000000.0,-1000000.0,,-223000000.0,-223000000.0,-524000000.0,301000000.0,-592000000.0,-592000000.0,7000000.0,,,-235000000.0,283000000.0,-518000000.0,-364000000.0,1278000000.0,1278000000.0,-277000000.0,-179000000.0,-60000000.0,-60000000.0,-60000000.0,,,11000000.0,-51000000.0,2000000.0,57000000.0,58000000.0,171000000.0,-52000000.0,-52000000.0,881000000.0,881000000.0,-142000000.0,2000000.0,-144000000.0,582000000.0
2024-01-31,312000000.0,-38000000.0,-963000000.0,961000000.0,0.0,-993000000.0,157000000.0,240000000.0,1037000000.0,865000000.0,172000000.0,-220000000.0,-220000000.0,1000000.0,-181000000.0,-181000000.0,-38000000.0,-38000000.0,0.0,-2000000.0,-2000000.0,-963000000.0,961000000.0,-913000000.0,-913000000.0,-6000000.0,,,-545000000.0,86000000.0,-631000000.0,-362000000.0,1305000000.0,1305000000.0,-554000000.0,-101000000.0,-379000000.0,-379000000.0,-379000000.0,,,18000000.0,-99000000.0,7000000.0,144000000.0,47000000.0,1027000000.0,-244000000.0,-244000000.0,897000000.0,897000000.0,-57000000.0,4000000.0,-61000000.0,45000000.0
2023-01-31,320000000.0,-601000000.0,-3100000000.0,2809000000.0,0.0,-1295000000.0,188000000.0,455000000.0,865000000.0,1715000000.0,-850000000.0,-1296000000.0,-1296000000.0,-231000000.0,-173000000.0,-173000000.0,-601000000.0,-601000000.0,0.0,-291000000.0,-291000000.0,-3100000000.0,2809000000.0,-1169000000.0,-1169000000.0,-11000000.0,-407000000.0,-407000000.0,-751000000.0,137000000.0,-888000000.0,-407000000.0,1615000000.0,1615000000.0,-423000000.0,-208000000.0,-262000000.0,-262000000.0,-262000000.0,,,-66000000.0,116000000.0,-3000000.0,50000000.0,54000000.0,41000000.0,-38000000.0,-38000000.0,857000000.0,857000000.0,-72000000.0,17000000.0,-89000000.0,1146000000.0
2022-01-31,2115000000.0,-500000000.0,-2699000000.0,1085000000.0,7000000.0,-597000000.0,442000000.0,,1715000000.0,1754000000.0,-39000000.0,-2381000000.0,-2381000000.0,-184000000.0,-90000000.0,-90000000.0,-493000000.0,-500000000.0,7000000.0,-1614000000.0,-1614000000.0,-2699000000.0,1085000000.0,-370000000.0,-370000000.0,63000000.0,-243000000.0,-243000000.0,-190000000.0,164000000.0,-354000000.0,-243000000.0,2712000000.0,2712000000.0,195000000.0,402000000.0,463000000.0,463000000.0,463000000.0,588000000.0,588000000.0,-39000000.0,-610000000.0,-21000000.0,166000000.0,55000000.0,30000000.0,19000000.0,19000000.0,874000000.0,874000000.0,-57000000.0,34000000.0,-91000000.0,1430000000.0
2021-01-31,,,,,0.0,,,98000000.0,,,,,,,,,,,0.0,,,,,,,,-128000000.0,-128000000.0,,,,,,,,,,,,-617000000.0,-617000000.0,,,,,,,,,,,,,,
