,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Other Cash Adjustment Outside Changein Cash,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Payables And Accrued Expense,Change In Accrued Expense,Change In Payable,Change In Account Payable,Change In Tax Payable,Change In Income Tax Payable,Change In Inventory,Change In Receivables,Other Non Cash Items,Unrealized Gain Loss On Investment Securities,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Pension And Employee Benefit Expense,Gain Loss On Investment Securities,Gain Loss On Sale Of PPE,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2025-01-31,12660000000.0,-4494000000.0,-3468000000.0,0.0,-23783000000.0,2739000000.0,5884000000.0,9536000000.0,,9935000000.0,-641000000.0,242000000.0,-14822000000.0,-14822000000.0,-2384000000.0,-6688000000.0,-6688000000.0,-4494000000.0,-4494000000.0,-1256000000.0,2212000000.0,,-3468000000.0,-3468000000.0,0.0,-21379000000.0,-21379000000.0,-212000000.0,4080000000.0,4080000000.0,-1896000000.0,,-1896000000.0,-23351000000.0,432000000.0,-23783000000.0,36443000000.0,36443000000.0,181000000.0,4042000000.0,379000000.0,3663000000.0,3228000000.0,435000000.0,435000000.0,-2755000000.0,-1106000000.0,2889000000.0,,-635000000.0,-635000000.0,12973000000.0,12973000000.0,878000000.0,,878000000.0,,,20157000000.0
2024-01-31,15120000000.0,-2779000000.0,-4217000000.0,4967000000.0,-20606000000.0,2519000000.0,5879000000.0,9935000000.0,0.0,8841000000.0,69000000.0,1025000000.0,-13414000000.0,-13414000000.0,-5757000000.0,-6140000000.0,-6140000000.0,-2779000000.0,-2779000000.0,1262000000.0,512000000.0,,750000000.0,-4217000000.0,4967000000.0,-21287000000.0,-21287000000.0,-922000000.0,0.0,0.0,-9000000.0,135000000.0,-9000000.0,-20356000000.0,250000000.0,-20606000000.0,35726000000.0,35726000000.0,1943000000.0,723000000.0,-1324000000.0,2047000000.0,2515000000.0,-468000000.0,-468000000.0,2017000000.0,-797000000.0,2642000000.0,,-175000000.0,-175000000.0,11853000000.0,11853000000.0,3193000000.0,,3193000000.0,,0.0,16270000000.0
2023-01-31,11984000000.0,-9920000000.0,-2689000000.0,5041000000.0,-16857000000.0,2051000000.0,3310000000.0,8841000000.0,0.0,14834000000.0,-73000000.0,-5920000000.0,-17039000000.0,-17039000000.0,-3323000000.0,-6114000000.0,-6114000000.0,-9920000000.0,-9920000000.0,2318000000.0,-34000000.0,,2352000000.0,-2689000000.0,5041000000.0,-17722000000.0,-17722000000.0,-295000000.0,0.0,0.0,-740000000.0,0.0,-740000000.0,-16687000000.0,170000000.0,-16857000000.0,28841000000.0,28841000000.0,2553000000.0,2841000000.0,4393000000.0,-1552000000.0,-1425000000.0,-127000000.0,-127000000.0,-528000000.0,240000000.0,1919000000.0,,449000000.0,449000000.0,10945000000.0,10945000000.0,1683000000.0,,1683000000.0,,0.0,11292000000.0
2022-01-31,11075000000.0,-9787000000.0,-13010000000.0,6945000000.0,-13106000000.0,2237000000.0,5918000000.0,14834000000.0,1848000000.0,17788000000.0,-140000000.0,-4662000000.0,-22828000000.0,-22828000000.0,-1017000000.0,-6152000000.0,-6152000000.0,-9787000000.0,-9787000000.0,-5872000000.0,193000000.0,,-6065000000.0,-13010000000.0,6945000000.0,-6015000000.0,-6015000000.0,-879000000.0,,,7576000000.0,7935000000.0,-359000000.0,-12712000000.0,394000000.0,-13106000000.0,24181000000.0,24181000000.0,-6597000000.0,6963000000.0,1404000000.0,5559000000.0,5520000000.0,39000000.0,39000000.0,-11764000000.0,-1796000000.0,1652000000.0,,-755000000.0,-755000000.0,10658000000.0,10658000000.0,5283000000.0,0.0,2440000000.0,2440000000.0,433000000.0,13940000000.0
2021-01-31,,,,,,,,,-1848000000.0,,,,,,,,,,,,,-324000000.0,,,,,,,,,,56000000.0,,,,,,,,,,,,,,,,,-8589000000.0,,,,,,0.0,,-8589000000.0,8401000000.0,
