,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Other Special Charges,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,-35169288.189816,0.219808,21564000000.0,-160000000.0,-160000000.0,5083000000.0,8673000000.0,24308000000.0,21404000000.0,12731000000.0,-5229000000.0,5229000000.0,5207830711.810184,5083000000.0,41840000000.0,13118000000.0,145363771.0,143061337.0,34.97,35.53,5083000000.0,,5083000000.0,5083000000.0,-770000000.0,5853000000.0,5853000000.0,1649000000.0,7502000000.0,-514000000.0,-23000000.0,-126000000.0,12000000.0,138000000.0,-331000000.0,-34000000.0,-5229000000.0,5229000000.0,13245000000.0,17532000000.0,4494000000.0,8673000000.0,8673000000.0,4365000000.0,3714000000.0,651000000.0,651000000.0,30777000000.0,24308000000.0,55085000000.0,52040000000.0
2023-12-31,22079807.41173,0.232419,20643000000.0,95000000.0,95000000.0,4557000000.0,8696000000.0,24640000000.0,20738000000.0,12042000000.0,-5188000000.0,5188000000.0,4484079807.41173,4557000000.0,42101000000.0,12559000000.0,151966313.0,149208188.0,29.99,30.54,4557000000.0,0.0,4557000000.0,4557000000.0,-704000000.0,5261000000.0,5261000000.0,1593000000.0,6854000000.0,-464000000.0,-216000000.0,50000000.0,251000000.0,201000000.0,-343000000.0,45000000.0,-5188000000.0,5188000000.0,12506000000.0,17461000000.0,4420000000.0,8696000000.0,8696000000.0,4345000000.0,3653000000.0,692000000.0,692000000.0,29967000000.0,24640000000.0,54607000000.0,51810000000.0
2022-12-31,-81925355.132672,0.216162,21300000000.0,-379000000.0,-379000000.0,5055000000.0,8903000000.0,24511000000.0,20921000000.0,12018000000.0,-4556000000.0,4556000000.0,5352074644.867328,5055000000.0,41779000000.0,11962000000.0,164433596.0,161501355.0,30.74,31.3,5055000000.0,0.0,5055000000.0,5055000000.0,-794000000.0,5849000000.0,5849000000.0,1613000000.0,7462000000.0,-225000000.0,254000000.0,-284000000.0,-8000000.0,276000000.0,-100000000.0,-95000000.0,-4556000000.0,4556000000.0,12243000000.0,17268000000.0,4310000000.0,8903000000.0,8903000000.0,4055000000.0,3585000000.0,470000000.0,470000000.0,29511000000.0,24511000000.0,54022000000.0,51848000000.0
2021-12-31,-93458359.42392,0.167188,20329000000.0,-559000000.0,-559000000.0,4654000000.0,9345000000.0,28226000000.0,19770000000.0,10425000000.0,-4037000000.0,4037000000.0,5119541640.57608,4654000000.0,40827000000.0,10526000000.0,193042948.0,183669369.0,24.47,25.34,4724000000.0,70000000.0,4654000000.0,4654000000.0,-666000000.0,5320000000.0,5320000000.0,1068000000.0,6388000000.0,-430000000.0,305000000.0,-473000000.0,-80000000.0,393000000.0,-176000000.0,-86000000.0,-4037000000.0,4037000000.0,10855000000.0,12601000000.0,,9345000000.0,9345000000.0,3256000000.0,3256000000.0,-305000000.0,-305000000.0,23456000000.0,28226000000.0,51682000000.0,49926000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
