,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Other Special Charges,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,-29070000.0,0.19,15591000000.0,-153000000.0,-153000000.0,7035000000.0,5065000000.0,10207000000.0,15438000000.0,10373000000.0,-1337000000.0,1682000000.0,345000000.0,7158930000.0,7035000000.0,43822000000.0,377000000.0,10003000000.0,3126000000.0,3100000000.0,2.25,2.27,7035000000.0,7035000000.0,0.0,7035000000.0,-6000000.0,7041000000.0,7041000000.0,1650000000.0,8691000000.0,-248000000.0,-12000000.0,,260000000.0,-1337000000.0,,1682000000.0,345000000.0,10251000000.0,33615000000.0,121000000.0,,,,13583000000.0,20224000000.0,555000000.0,19669000000.0,43866000000.0,10207000000.0,54073000000.0,54073000000.0
2023-12-31,-66485287.722858,0.135962,13911000000.0,-489000000.0,-489000000.0,5955000000.0,4934000000.0,8268000000.0,13422000000.0,8488000000.0,-1288000000.0,1589000000.0,301000000.0,6377514712.277142,5955000000.0,37089000000.0,301000000.0,8193000000.0,3124000000.0,3098000000.0,1.905,1.92,5955000000.0,5955000000.0,0.0,5955000000.0,-6000000.0,5961000000.0,5961000000.0,938000000.0,6899000000.0,-529000000.0,9000000.0,,520000000.0,-1288000000.0,,1589000000.0,301000000.0,8722000000.0,28821000000.0,164000000.0,,,,10935000000.0,18222000000.0,539000000.0,17683000000.0,37543000000.0,8268000000.0,45811000000.0,45811000000.0
2022-12-31,-140790000.0,0.19,9826000000.0,-741000000.0,-741000000.0,3288000000.0,5254000000.0,12391000000.0,9085000000.0,3831000000.0,-1249000000.0,1330000000.0,81000000.0,3888210000.0,3288000000.0,39839000000.0,268000000.0,3757000000.0,3120000000.0,3096000000.0,1.055,1.06,3288000000.0,3288000000.0,0.0,3288000000.0,-5000000.0,3293000000.0,3293000000.0,-792000000.0,2501000000.0,-755000000.0,573000000.0,0.0,182000000.0,-1249000000.0,,1330000000.0,81000000.0,4512000000.0,27448000000.0,200000000.0,,,,9762000000.0,17984000000.0,536000000.0,17448000000.0,31960000000.0,12391000000.0,44351000000.0,44351000000.0
2021-12-31,226290000.0,0.19,3922000000.0,1191000000.0,1191000000.0,112000000.0,4102000000.0,12437000000.0,5113000000.0,1011000000.0,-1233000000.0,1276000000.0,43000000.0,-852710000.0,112000000.0,37556000000.0,262000000.0,1056000000.0,2854000000.0,2836000000.0,0.04,0.04,112000000.0,112000000.0,0.0,112000000.0,-3000000.0,115000000.0,115000000.0,-380000000.0,-265000000.0,1195000000.0,-1237000000.0,0.0,42000000.0,-1233000000.0,,1276000000.0,43000000.0,-139000000.0,25119000000.0,308000000.0,1000000.0,1000000.0,0.0,9736000000.0,15590000000.0,446000000.0,15144000000.0,24980000000.0,12437000000.0,37417000000.0,37417000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000000.0,,,-6000000.0,,,,,,2000000.0,2000000.0,0.0,,,,,,,,
