,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Investment Purchase And Sale,Net Business Purchase And Sale,Sale Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Capital Expenditure Reported,Operating Cash Flow,Cash From Discontinued Operating Activities,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Other Non Cash Items,Stock Based Compensation,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2025-01-31,4476000000.0,-1007000000.0,-1139000000.0,741000000.0,-2891000000.0,615000000.0,1055000000.0,4762000000.0,3805000000.0,957000000.0,-3550000000.0,-3550000000.0,-99000000.0,0.0,-2046000000.0,-2046000000.0,-1007000000.0,-1007000000.0,-398000000.0,-398000000.0,-1139000000.0,741000000.0,-2860000000.0,-2860000000.0,28000000.0,,,3000000.0,3000000.0,,-2891000000.0,7367000000.0,,7367000000.0,145000000.0,-308000000.0,1307000000.0,299000000.0,1008000000.0,1008000000.0,-854000000.0,26000000.0,304000000.0,-180000000.0,-180000000.0,2981000000.0,2981000000.0,,,4091000000.0
2024-01-31,3815000000.0,0.0,-147000000.0,0.0,-4806000000.0,605000000.0,374000000.0,3805000000.0,2229000000.0,1576000000.0,-2285000000.0,-2285000000.0,-127000000.0,0.0,-2011000000.0,-2011000000.0,0.0,0.0,-147000000.0,-147000000.0,-147000000.0,0.0,-4760000000.0,-4760000000.0,22000000.0,0.0,0.0,24000000.0,24000000.0,,-4806000000.0,8621000000.0,,8621000000.0,1039000000.0,-85000000.0,-489000000.0,727000000.0,-1216000000.0,-1216000000.0,1613000000.0,94000000.0,251000000.0,298000000.0,298000000.0,2801000000.0,2801000000.0,,0.0,4138000000.0
2023-01-31,-1510000000.0,-2646000000.0,-163000000.0,2625000000.0,-5528000000.0,449000000.0,213000000.0,2229000000.0,5911000000.0,-3682000000.0,-2196000000.0,-2196000000.0,-180000000.0,4000000.0,-1836000000.0,-1836000000.0,-2646000000.0,-2646000000.0,2462000000.0,2462000000.0,-163000000.0,2625000000.0,-5504000000.0,-5504000000.0,16000000.0,0.0,0.0,8000000.0,8000000.0,,-5528000000.0,4018000000.0,,4018000000.0,-2436000000.0,22000000.0,-2861000000.0,-624000000.0,-2237000000.0,-2237000000.0,403000000.0,172000000.0,220000000.0,582000000.0,582000000.0,2700000000.0,2700000000.0,,0.0,2780000000.0
2022-01-31,5081000000.0,-7188000000.0,-1147000000.0,1972000000.0,-3544000000.0,414000000.0,2063000000.0,5911000000.0,8511000000.0,-2600000000.0,-8071000000.0,-8071000000.0,-168000000.0,8000000.0,-1548000000.0,-1548000000.0,-7188000000.0,-7188000000.0,825000000.0,825000000.0,-1147000000.0,1972000000.0,-3154000000.0,-3154000000.0,7000000.0,356000000.0,356000000.0,27000000.0,27000000.0,,-3544000000.0,8625000000.0,0.0,8625000000.0,-1445000000.0,-78000000.0,1882000000.0,-746000000.0,2628000000.0,2628000000.0,-3249000000.0,67000000.0,228000000.0,522000000.0,522000000.0,2642000000.0,2642000000.0,-335000000.0,-335000000.0,6946000000.0
2021-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,-2649000000.0,,,0.0,,,,,,,,,,,,,,,512000000.0,0.0,
