,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Liabilities Heldfor Sale Non Current,Derivative Product Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Non Current Accrued Expenses,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Commercial Paper,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Defined Pension Benefit,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Non Current Accounts Receivable,Financial Assets,Investments And Advances,Other Investments,Long Term Equity Investment,Investments In Other Ventures Under Equity Method,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Current Deferred Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Receivables,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2024-12-31,1352874243.0,926290070.0,2279164313.0,41026000000.0,58396000000.0,-44060000000.0,82280000000.0,1340000000.0,-44060000000.0,3423000000.0,27307000000.0,77191000000.0,27393000000.0,86000000.0,27307000000.0,1000000.0,-15269000000.0,-15269000000.0,169968000000.0,151163000000.0,61380000000.0,61380000000.0,109782000000.0,76640000000.0,981000000.0,,463000000.0,11151000000.0,10877000000.0,204000000.0,,4437000000.0,3622000000.0,815000000.0,52539000000.0,2655000000.0,49884000000.0,6865000000.0,33142000000.0,-1000000.0,13907000000.0,13907000000.0,5857000000.0,768000000.0,5089000000.0,5089000000.0,,3605000000.0,9774000000.0,3709000000.0,6065000000.0,2033000000.0,4032000000.0,137175000000.0,102694000000.0,1787000000.0,7492000000.0,,7766000000.0,6978000000.0,5353000000.0,,,,,,71367000000.0,10661000000.0,60706000000.0,8929000000.0,-11959000000.0,20888000000.0,6989000000.0,8895000000.0,4825000000.0,179000000.0,0.0,34482000000.0,2519000000.0,900000000.0,959000000.0,214000000.0,,1289000000.0,,134000000.0,1155000000.0,14010000000.0,7206000000.0,6804000000.0,-114000000.0,6918000000.0,14591000000.0,644000000.0,13947000000.0
2023-12-31,1351897513.0,915013646.0,2266911159.0,43479000000.0,59935000000.0,-48681000000.0,79080000000.0,-1214000000.0,-48681000000.0,3388000000.0,22533000000.0,72654000000.0,22613000000.0,80000000.0,22533000000.0,-1000000.0,-18761000000.0,-18761000000.0,169624000000.0,151276000000.0,59643000000.0,59643000000.0,112628000000.0,78506000000.0,1164000000.0,,299000000.0,12553000000.0,12245000000.0,206000000.0,,4679000000.0,3533000000.0,1146000000.0,52689000000.0,2568000000.0,50121000000.0,6916000000.0,34122000000.0,1000000.0,13451000000.0,13451000000.0,7246000000.0,820000000.0,6426000000.0,6426000000.0,,3501000000.0,9923000000.0,3521000000.0,6402000000.0,2270000000.0,4132000000.0,135241000000.0,102332000000.0,1626000000.0,7506000000.0,7506000000.0,7498000000.0,6656000000.0,5766000000.0,,,,,,71214000000.0,11036000000.0,60178000000.0,8722000000.0,-12621000000.0,21343000000.0,6605000000.0,9223000000.0,5333000000.0,182000000.0,0.0,32908000000.0,2639000000.0,692000000.0,998000000.0,21000000.0,,1161000000.0,,78000000.0,1083000000.0,13956000000.0,6742000000.0,7214000000.0,-192000000.0,7406000000.0,13441000000.0,373000000.0,13068000000.0
2022-12-31,1351024943.0,906091977.0,2257116920.0,43063000000.0,54013000000.0,-45189000000.0,72893000000.0,-2387000000.0,-45189000000.0,3064000000.0,21944000000.0,68133000000.0,22021000000.0,77000000.0,21944000000.0,,-16740000000.0,-16740000000.0,169484000000.0,149825000000.0,58343000000.0,58343000000.0,105222000000.0,73717000000.0,1206000000.0,,488000000.0,11206000000.0,10903000000.0,243000000.0,90000000.0,5791000000.0,3499000000.0,2292000000.0,48379000000.0,2190000000.0,46189000000.0,6404000000.0,31505000000.0,1000000.0,12032000000.0,12032000000.0,5634000000.0,874000000.0,4760000000.0,4760000000.0,,3481000000.0,10358000000.0,4111000000.0,6247000000.0,2196000000.0,4051000000.0,127243000000.0,98126000000.0,1617000000.0,8236000000.0,8236000000.0,7122000000.0,6256000000.0,5806000000.0,,1617000000.0,1617000000.0,,,67133000000.0,11184000000.0,55949000000.0,8212000000.0,-13361000000.0,21573000000.0,6039000000.0,9643000000.0,5678000000.0,213000000.0,0.0,29118000000.0,2610000000.0,939000000.0,967000000.0,103000000.0,,1552000000.0,,158000000.0,1394000000.0,14209000000.0,7668000000.0,6541000000.0,-233000000.0,6774000000.0,8738000000.0,852000000.0,7886000000.0
2021-12-31,1350509249.0,898068599.0,2248577848.0,45053000000.0,55139000000.0,-49253000000.0,70604000000.0,-4080000000.0,-49253000000.0,3436000000.0,18901000000.0,63818000000.0,18996000000.0,95000000.0,18901000000.0,-1000000.0,-23234000000.0,-23234000000.0,169392000000.0,154209000000.0,57319000000.0,57319000000.0,113005000000.0,79386000000.0,1295000000.0,0.0,103000000.0,16480000000.0,16121000000.0,253000000.0,72000000.0,7533000000.0,3577000000.0,3956000000.0,47379000000.0,2462000000.0,44917000000.0,6271000000.0,33619000000.0,1000000.0,12518000000.0,12518000000.0,7760000000.0,974000000.0,6786000000.0,6786000000.0,,3204000000.0,10136000000.0,3892000000.0,6244000000.0,2289000000.0,3955000000.0,132001000000.0,102462000000.0,1823000000.0,9850000000.0,9850000000.0,8294000000.0,7370000000.0,5425000000.0,40000000.0,1823000000.0,1823000000.0,159000000.0,159000000.0,68154000000.0,12511000000.0,55643000000.0,8916000000.0,-14390000000.0,23306000000.0,6444000000.0,10589000000.0,6049000000.0,224000000.0,0.0,29539000000.0,3466000000.0,793000000.0,1097000000.0,307000000.0,3466000000.0,1649000000.0,-1000000.0,208000000.0,1442000000.0,14977000000.0,8223000000.0,6754000000.0,-218000000.0,6972000000.0,7250000000.0,600000000.0,6650000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,3317000000.0,,,,,253000000.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1008000000.0,,,,151000000.0,216000000.0,46000000.0,170000000.0,170000000.0,,,,,,,,,,,,,,,,,2089000000.0,,,,,,,,,,,,
