,Free Cash Flow,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,End Cash Position,Other Cash Adjustment Outside Changein Cash,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Net Other Financing Charges,Interest Paid Cff,Net Common Stock Issuance,Common Stock Issuance,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Investment Properties Purchase And Sale,Sale Of Investment Properties,Purchase Of Investment Properties,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Cash Flowsfromusedin Operating Activities Direct,Classesof Cash Payments,Other Cash Paymentsfrom Operating Activities,Classesof Cash Receiptsfrom Operating Activities,Other Cash Receiptsfrom Operating Activities
2025-03-31,-99215000000.0,0.0,0.0,0.0,-7767300000.0,699064800000.0,,420138300000.0,4082700000.0,274843800000.0,-37942800000.0,,-37942800000.0,0.0,0.0,0.0,0.0,0.0,0.0,404234300000.0,3145158800000.0,-2677056600000.0,3077921500000.0,-5754978100000.0,,,,-7147900000.0,619400000.0,-7767300000.0,-91447700000.0,-5019287400000.0,-482686400000.0,4927839700000.0,8418900000.0
2024-03-31,257801700000.0,0.0,0.0,0.0,-7677700000.0,420138300000.0,,455881400000.0,1312600000.0,-37055700000.0,-44272000000.0,,-44272000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-258263100000.0,2927472300000.0,-3141330200000.0,2619038700000.0,-5760368900000.0,,,,-7127200000.0,550500000.0,-7677700000.0,265479400000.0,-4630561500000.0,-408815100000.0,4896040900000.0,71162700000.0
2023-03-31,536320400000.0,0.0,,,-8864700000.0,455881400000.0,,448660500000.0,16237000000.0,-9016100000.0,-9485900000.0,,-9485900000.0,,,0.0,0.0,0.0,,-544715300000.0,2689314800000.0,-3188313200000.0,2249080600000.0,-5437393800000.0,-5437393750000.0,,-5437393750000.0,-5421100000.0,3443600000.0,-8864700000.0,545185100000.0,-4349880000000.0,-529666400000.0,4895065100000.0,79698900000.0
2022-03-31,-44994745000.0,0.0,,,-7169387000.0,448660467000.0,,361176785000.0,4321063000.0,83162619000.0,0.0,,0.0,,,0.0,0.0,0.0,,120987977000.0,2505597487000.0,-2373930375000.0,1903881120000.0,-4277811495000.0,-4277811495000.0,1903881120000.0,-4277811495000.0,-966536000.0,6202851000.0,-7169387000.0,-37825358000.0,-4347709482000.0,-427989080000.0,4309884124000.0,16436437000.0
2021-03-31,,,,,,,100.0,,,,,200.0,,,,,,,,,,,,,-2247481259000.0,2748073225000.0,-4995554484000.0,,,,,,,,
