,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Preferred Stock Dividends,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Write Off,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,-1349950000.0,0.266,49112000000.0,-5075000000.0,-5075000000.0,10948000000.0,20580000000.0,49221000000.0,44037000000.0,23457000000.0,-6759000000.0,6759000000.0,14673050000.0,10948000000.0,98212000000.0,19049000000.0,7204000000.0,7199000000.0,1.49,1.49,10746000000.0,0.0,10746000000.0,0.0,202000000.0,10948000000.0,-1305000000.0,12253000000.0,0.0,12253000000.0,4445000000.0,16698000000.0,-667000000.0,2419000000.0,-5075000000.0,,5075000000.0,,,1989000000.0,-6759000000.0,6759000000.0,24124000000.0,48991000000.0,20580000000.0,20580000000.0,28411000000.0,73115000000.0,49221000000.0,122336000000.0,122336000000.0
2023-12-31,-254109000.0,0.213,46522000000.0,-1193000000.0,-1193000000.0,14400000000.0,18777000000.0,50123000000.0,45329000000.0,26552000000.0,-6704000000.0,6704000000.0,15338891000.0,14400000000.0,97774000000.0,23461000000.0,7258000000.0,7181000000.0,1.97,1.97,14277000000.0,85000000.0,14192000000.0,0.0,208000000.0,14400000000.0,-1223000000.0,15623000000.0,0.0,15623000000.0,4225000000.0,19848000000.0,1898000000.0,1416000000.0,-1193000000.0,,1193000000.0,,,1675000000.0,-6704000000.0,6704000000.0,24654000000.0,47651000000.0,18777000000.0,18777000000.0,28874000000.0,72305000000.0,50123000000.0,122428000000.0,122428000000.0
2022-12-31,-5774580000.0,0.21,48533000000.0,-27498000000.0,-27498000000.0,-8343000000.0,18021000000.0,50848000000.0,21035000000.0,3014000000.0,-6108000000.0,6108000000.0,13380420000.0,-8524000000.0,97830000000.0,-4587000000.0,7587000000.0,7166000000.0,-1.13,-1.13,-7521000000.0,543000000.0,-8064000000.0,-663000000.0,203000000.0,-8524000000.0,-1469000000.0,-7055000000.0,-181000000.0,-6874000000.0,3780000000.0,-3094000000.0,-19897000000.0,5810000000.0,-27498000000.0,-1413000000.0,27498000000.0,24812000000.0,1273000000.0,1791000000.0,-6108000000.0,6108000000.0,22911000000.0,46982000000.0,18021000000.0,18021000000.0,28961000000.0,69893000000.0,50848000000.0,120741000000.0,120741000000.0
2021-12-31,-39405000.0,0.185,53952000000.0,-213000000.0,-213000000.0,22378000000.0,17852000000.0,60407000000.0,53739000000.0,35887000000.0,-6716000000.0,6716000000.0,22551595000.0,20081000000.0,107928000000.0,25897000000.0,7199000000.0,7168000000.0,2.76,2.77,20456000000.0,582000000.0,19874000000.0,0.0,207000000.0,20081000000.0,-1398000000.0,21479000000.0,-2297000000.0,23776000000.0,5395000000.0,29171000000.0,9777000000.0,9387000000.0,-213000000.0,,213000000.0,213000000.0,,603000000.0,-6716000000.0,6716000000.0,26110000000.0,47521000000.0,17852000000.0,17852000000.0,29669000000.0,73631000000.0,60407000000.0,134038000000.0,134038000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18880000000.0,,,,,,,,,,,,,
