,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Other Special Charges,Write Off,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Insurance And Claims,Rent And Landing Fees,Total Revenue,Operating Revenue
2025-03-31,-223174485.0,0.24005,-929700000.0,-929700000.0,166378200000.0,8809900000.0,364186900000.0,247707900000.0,611894800000.0,167084725515.0,166378200000.0,6203492990.0,6186356840.0,26.82,26.894,166378200000.0,166378200000.0,166378200000.0,-1416600000.0,167794800000.0,167794800000.0,53001500000.0,220796300000.0,-929700000.0,355000000.0,574700000.0,4867700000.0,122929800000.0,31231700000.0,8809900000.0,8809900000.0,5391900000.0,4772300000.0,619600000.0,116900000.0,1178800000.0,423563300000.0,423563300000.0
2024-03-31,-237947577.0,0.25161,-945700000.0,-945700000.0,144511700000.0,6833200000.0,295819200000.0,187246900000.0,483066100000.0,145219452423.0,144511700000.0,6123830490.0,6100327430.0,23.598,23.689,144511700000.0,144511700000.0,144511700000.0,0.0,144511700000.0,144511700000.0,48584000000.0,193095700000.0,-945700000.0,125400000.0,820300000.0,3296100000.0,103811500000.0,27102900000.0,6833200000.0,6833200000.0,4027700000.0,3491800000.0,535900000.0,81900000.0,749200000.0,343263200000.0,343263200000.0
2023-03-31,-161708940.0,0.2589,-624600000.0,-624600000.0,115076900000.0,4853800000.0,229890600000.0,125598900000.0,355489500000.0,115539791060.0,115076900000.0,6070447270.0,6039767500.0,18.957,19.053,115076900000.0,115076900000.0,115076900000.0,,115076900000.0,115076900000.0,40201700000.0,155278600000.0,-624600000.0,133300000.0,491300000.0,3290600000.0,82377300000.0,21227400000.0,4853800000.0,4853800000.0,3913600000.0,3619900000.0,293700000.0,62600000.0,568300000.0,269669000000.0,269669000000.0
2022-03-31,-66891264.0,0.26048,-256800000.0,-256800000.0,70282300000.0,3845700000.0,175236400000.0,97537000000.0,272773400000.0,70472208736.0,70282300000.0,6069664590.0,6025743030.0,11.579,11.664,70282300000.0,70282300000.0,70282300000.0,,70282300000.0,70282300000.0,24755500000.0,95037800000.0,-256800000.0,248400000.0,8400000.0,3277300000.0,58001900000.0,15258200000.0,3845700000.0,3845700000.0,2014400000.0,1764300000.0,250100000.0,59900000.0,501800000.0,201322100000.0,201322100000.0
