,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,-1155312000.0,0.339,10483000000.0,-3408000000.0,-3408000000.0,3124000000.0,1280000000.0,9243000000.0,7075000000.0,5795000000.0,398000000.0,1031000000.0,1429000000.0,5376688000.0,3124000000.0,26367000000.0,4665000000.0,1180000000.0,1166000000.0,2.65,2.68,3124000000.0,3124000000.0,3124000000.0,-26000000.0,3150000000.0,0.0,3150000000.0,1614000000.0,4764000000.0,-3442000000.0,-34000000.0,-3162000000.0,-18000000.0,3144000000.0,-246000000.0,398000000.0,241000000.0,1031000000.0,1429000000.0,7808000000.0,17124000000.0,85000000.0,6514000000.0,10525000000.0,9090000000.0,1435000000.0,1435000000.0,24932000000.0,9243000000.0,34176000000.0,34176000000.0
2023-12-31,-59006000.0,0.326,8208000000.0,-181000000.0,-181000000.0,3776000000.0,1373000000.0,8674000000.0,8027000000.0,6654000000.0,-456000000.0,1313000000.0,857000000.0,3897994000.0,6139000000.0,25194000000.0,5799000000.0,1180000000.0,1167000000.0,5.17,5.23,6139000000.0,6139000000.0,6139000000.0,175000000.0,5963000000.0,2363000000.0,3600000000.0,1741000000.0,5341000000.0,-217000000.0,-36000000.0,-227000000.0,-12000000.0,215000000.0,46000000.0,-456000000.0,345000000.0,1313000000.0,857000000.0,6014000000.0,16520000000.0,4000000.0,6324000000.0,10192000000.0,8828000000.0,1364000000.0,1364000000.0,22534000000.0,8674000000.0,31207000000.0,31207000000.0
2022-12-31,-33963217.372036,0.320408,8388000000.0,-106000000.0,-106000000.0,3643000000.0,1569000000.0,8038000000.0,8282000000.0,6713000000.0,-1389000000.0,2200000000.0,811000000.0,3715036782.627964,2284000000.0,23469000000.0,5914000000.0,1175000000.0,1170000000.0,1.95,1.96,2284000000.0,2284000000.0,2284000000.0,576000000.0,1709000000.0,-1359000000.0,3068000000.0,1446000000.0,4513000000.0,-149000000.0,-43000000.0,38000000.0,176000000.0,138000000.0,-144000000.0,-1389000000.0,143000000.0,2200000000.0,811000000.0,6051000000.0,15431000000.0,116000000.0,6080000000.0,9235000000.0,7946000000.0,1289000000.0,1289000000.0,21482000000.0,8038000000.0,29519000000.0,29519000000.0
2021-12-31,-20963198.118754,0.197766,11093000000.0,-106000000.0,-106000000.0,6703000000.0,1537000000.0,7219000000.0,10987000000.0,9450000000.0,2178000000.0,945000000.0,3123000000.0,6788036801.881246,5256000000.0,20488000000.0,6308000000.0,1179579340.0,1179579340.0,4.560948,4.560948,5256000000.0,5256000000.0,5256000000.0,-121000000.0,5377000000.0,-1447000000.0,6824000000.0,1682000000.0,8505000000.0,-138000000.0,-32000000.0,-157000000.0,,157000000.0,51000000.0,2178000000.0,,945000000.0,3123000000.0,6465000000.0,13269000000.0,-44000000.0,5270000000.0,8043000000.0,6856000000.0,1187000000.0,1187000000.0,19734000000.0,7219000000.0,26953000000.0,26953000000.0
