,Free Cash Flow,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,End Cash Position,Other Cash Adjustment Outside Changein Cash,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Net Other Financing Charges,Net Common Stock Issuance,Common Stock Issuance,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Net Other Investing Changes,Net Investment Purchase And Sale,Purchase Of Investment,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Taxes Refund Paid,Change In Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Other Non Cash Items,Provisionand Write Offof Assets,Depreciation And Amortization,Depreciation,Gain Loss On Investment Securities,Gain Loss On Sale Of PPE,Net Income From Continuing Operations
2025-03-31,135456100000.0,,,32786900000.0,-9194800000.0,150990800000.0,2989300000.0,124811600000.0,49500000.0,23140400000.0,-86732600000.0,,32786900000.0,32786900000.0,-119519500000.0,-119519500000.0,,,-34777900000.0,,-25916700000.0,-25916700000.0,-8861200000.0,333600000.0,-9194800000.0,144650900000.0,-2012400000.0,62307900000.0,19197100000.0,-6728700000.0,2321300000.0,56567500000.0,8355500000.0,8355500000.0,,-110300000.0,18641700000.0
2024-03-31,101692800000.0,-77763500000.0,15000000000.0,33226400000.0,-13736100000.0,124811600000.0,-100000.0,137786800000.0,0.0,-12975200000.0,-29537100000.0,15000000000.0,33226400000.0,33226400000.0,-77763500000.0,-77763500000.0,-77763500000.0,15000000000.0,-98867000000.0,,-87232300000.0,-87232300000.0,-11634700000.0,2101400000.0,-13736100000.0,115428900000.0,-8072100000.0,51995600000.0,1572100000.0,-8124100000.0,2897600000.0,24836000000.0,6307600000.0,6307600000.0,,-87900000.0,38571600000.0
2023-03-31,23749022000.0,,42494900000.0,22595512000.0,-11881025000.0,137786800000.0,,157023727000.0,,-19236927000.0,65090439000.0,15000000000.0,22595512000.0,22595512000.0,27494927000.0,27494927000.0,,42494900000.0,-119957413000.0,,-108157841000.0,-108157841000.0,-11799572000.0,81453000.0,-11881025000.0,35630047000.0,-3559402000.0,-18027062000.0,20222822000.0,-22103914000.0,2911930000.0,17538858000.0,4349870000.0,4349870000.0,,-7477000.0,33314003000.0
2022-03-31,21278678000.0,,56765100000.0,30340750000.0,-4760568000.0,157579090000.0,-100000.0,58278553000.0,,99300537000.0,102105889000.0,15000000000.0,30340750000.0,30340750000.0,56765139000.0,56765139000.0,,56765100000.0,-28844598000.0,504287000.0,-24615027000.0,-24615027000.0,-4733858000.0,26710000.0,-4760568000.0,26039246000.0,1639841000.0,-13808466000.0,-4774767000.0,9755051000.0,2088783000.0,35203649000.0,3732630000.0,3732630000.0,-504287000.0,53227000.0,1751666000.0
2021-03-31,,-116111000000.0,0.0,,,,,,,,,,,,,,-116111000000.0,0.0,,,,,,,,,,,,,,,,,,,
