,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Net Preferred Stock Issuance,Preferred Stock Issuance,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Capital Expenditure Reported,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Prepaid Assets,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Provisionand Write Offof Assets,Asset Impairment Charge,Amortization Of Securities,Depreciation Amortization Depletion,Depreciation And Amortization,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Operating Gains Losses,Net Foreign Currency Exchange Gain Loss,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2025-06-30,323700000.0,,-10100000.0,0.0,,-9300000.0,127200000.0,2600000.0,1085800000.0,750900000.0,5300000.0,329600000.0,1700000.0,1700000.0,,11800000.0,,,,,,-10100000.0,,,-10100000.0,-10100000.0,0.0,-5100000.0,-5100000.0,,,,,,,,,,4200000.0,4200000.0,,-9300000.0,333000000.0,333000000.0,27300000.0,-13500000.0,-75500000.0,4400000.0,-94000000.0,66600000.0,136500000.0,2800000.0,2800000.0,63600000.0,229600000.0,,64100000.0,,89700000.0,89700000.0,9400000.0,9400000.0,80200000.0,-22400000.0,-22400000.0,0.0,-118900000.0
2024-06-30,-85800000.0,,-1467900000.0,1329200000.0,0.0,-19700000.0,95600000.0,0.0,750900000.0,885500000.0,-1000000.0,-133600000.0,-94400000.0,-94400000.0,,44300000.0,,,0.0,,0.0,-138700000.0,,,-138700000.0,-1467900000.0,1329200000.0,26800000.0,26800000.0,14600000.0,0.0,0.0,,14600000.0,14600000.0,0.0,,,31900000.0,31900000.0,,-19700000.0,-66100000.0,-66200000.0,-14000000.0,-23600000.0,-95200000.0,1700000.0,-95500000.0,42600000.0,163000000.0,-7000000.0,-7000000.0,80500000.0,311700000.0,,57300000.0,0.0,108800000.0,108800000.0,10600000.0,10600000.0,98200000.0,-58500000.0,0.0,3800000.0,-551900000.0
2023-06-30,-470000000.0,,-9800000.0,0.0,0.0,-82400000.0,79000000.0,14900000.0,885500000.0,1257600000.0,8600000.0,-380700000.0,76800000.0,76900000.0,-100000.0,86700000.0,,,0.0,,0.0,-9800000.0,,,-9800000.0,-9800000.0,0.0,-69900000.0,-70000000.0,12500000.0,0.0,0.0,0.0,0.0,12400000.0,0.0,,,0.0,0.0,,-82400000.0,-387600000.0,-387800000.0,113700000.0,-13900000.0,-117200000.0,7100000.0,-347200000.0,61200000.0,537500000.0,-13800000.0,-13800000.0,93600000.0,405000000.0,,144500000.0,0.0,124300000.0,124300000.0,15800000.0,15800000.0,108500000.0,-7000000.0,-7000000.0,0.0,-1261700000.0
2022-06-30,-2357300000.0,,-1700000.0,696400000.0,1218800000.0,-337300000.0,1000000.0,15200000.0,1257600000.0,1135700000.0,-26500000.0,148400000.0,2015100000.0,2015100000.0,,101600000.0,,,1218800000.0,,1218800000.0,694700000.0,696400000.0,696400000.0,694700000.0,-1700000.0,696400000.0,153300000.0,153400000.0,-16100000.0,517700000.0,517700000.0,0.0,-11000000.0,0.0,-11000000.0,,,0.0,0.0,,-337300000.0,-2020000000.0,-2019800000.0,-398600000.0,36800000.0,-45700000.0,-2100000.0,-168600000.0,-32500000.0,-173700000.0,-12800000.0,-12800000.0,127500000.0,328400000.0,224900000.0,572400000.0,3400000.0,142800000.0,142800000.0,43300000.0,43300000.0,99500000.0,31800000.0,31800000.0,0.0,-2827700000.0
2021-06-30,,0.0,,,0.0,,,,,,,,,,-135200000.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,-78100000.0,223500000.0,672600000.0,-449100000.0,-478200000.0,,-478200000.0,-11200000.0,-11200000.0,,,-241000000.0,,,,,,,,,,,,,,,38700000.0,,9600000.0,,,,,,,,,
