,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-03-31,11642456513.761469,0.260948,209608000000.0,44616000000.0,44616000000.0,145002000000.0,56082000000.0,1136309000000.0,254224000000.0,198142000000.0,-1942000000.0,1942000000.0,4329000000.0,112028456513.76147,145002000000.0,1329705000000.0,465000000.0,314402574.0,314402574.0,461.2,461.2,145002000000.0,145002000000.0,0.0,145002000000.0,0.0,145002000000.0,145002000000.0,51198000000.0,196200000000.0,1173000000.0,-673000000.0,673000000.0,2387000000.0,,1942000000.0,4329000000.0,144981000000.0,193396000000.0,56808000000.0,56082000000.0,1826000000.0,56082000000.0,63052000000.0,62164000000.0,888000000.0,465000000.0,338377000000.0,1136309000000.0,1474686000000.0,1474686000000.0
2024-03-31,8111382696.777526,0.225906,192833000000.0,35906000000.0,35906000000.0,134882000000.0,52558000000.0,1056113000000.0,228739000000.0,176181000000.0,-1936000000.0,1936000000.0,3968000000.0,107087382696.77753,134882000000.0,1230782000000.0,324000000.0,314402574.0,314402574.0,429.01,429.01,134882000000.0,134882000000.0,0.0,134882000000.0,0.0,134882000000.0,134882000000.0,39363000000.0,174245000000.0,766000000.0,-1000000000.0,1000000000.0,2032000000.0,,1936000000.0,3968000000.0,134056000000.0,174669000000.0,50356000000.0,52558000000.0,2170000000.0,52558000000.0,61393000000.0,60553000000.0,840000000.0,324000000.0,308725000000.0,1056113000000.0,1364838000000.0,1364838000000.0
2023-03-31,3919982995.152421,0.208321,136548000000.0,18817000000.0,18817000000.0,82637000000.0,48460000000.0,904815000000.0,155365000000.0,106905000000.0,976000000.0,2523000000.0,3499000000.0,67739982995.15242,82637000000.0,1055018000000.0,258000000.0,314402574.0,314402574.0,262.84,262.84,82637000000.0,82637000000.0,0.0,82637000000.0,0.0,82637000000.0,82637000000.0,21745000000.0,104382000000.0,277000000.0,-271000000.0,271000000.0,976000000.0,,2523000000.0,3499000000.0,82630000000.0,150203000000.0,41558000000.0,48460000000.0,2080000000.0,46380000000.0,53016000000.0,52302000000.0,714000000.0,258000000.0,232833000000.0,904815000000.0,1137648000000.0,1137648000000.0
2022-03-31,2648316039.342587,0.174082,60915000000.0,15213000000.0,15213000000.0,38795000000.0,27890000000.0,694313000000.0,76128000000.0,48238000000.0,481000000.0,1266000000.0,1747000000.0,26230316039.342587,38795000000.0,821865000000.0,17472000000.0,302080060.0,302080060.0,128.43,128.43,38795000000.0,38795000000.0,0.0,38795000000.0,0.0,38795000000.0,38795000000.0,8177000000.0,46972000000.0,437000000.0,-458000000.0,458000000.0,481000000.0,569000000.0,1266000000.0,1747000000.0,29823000000.0,127552000000.0,31441000000.0,27890000000.0,1608000000.0,26282000000.0,41408000000.0,40878000000.0,530000000.0,17472000000.0,157375000000.0,694313000000.0,851688000000.0,851688000000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178000000.0,,,,,,,,,,,,,,,,
