,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investments In Other Ventures Under Equity Method,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2025-03-31,2349591262.0,2349591262.0,16480000000.0,36930000000.0,494030000000.0,55140000000.0,36930000000.0,16470000000.0,494020000000.0,494020000000.0,496090000000.0,2070000000.0,494020000000.0,110000000.0,86220000000.0,403520000000.0,2350000000.0,2350000000.0,302710000000.0,137340000000.0,3720000000.0,36060000000.0,66850000000.0,12430000000.0,12430000000.0,15280000000.0,165370000000.0,1050000000.0,4050000000.0,4040000000.0,10000000.0,6750000000.0,144930000000.0,10230000000.0,2520000000.0,19030000000.0,113150000000.0,798800000000.0,578290000000.0,6090000000.0,4440000000.0,10000000.0,170000000.0,110000000.0,0.0,90000000.0,20000000.0,570000000.0,570000000.0,457090000000.0,282430000000.0,174660000000.0,96900000000.0,-62570000000.0,159470000000.0,10650000000.0,16660000000.0,87550000000.0,38330000000.0,6280000000.0,0.0,220510000000.0,9550000000.0,570000000.0,230000000.0,2630000000.0,6230000000.0,44150000000.0,1480000000.0,17800000000.0,5300000000.0,19570000000.0,4790000000.0,3770000000.0,38190000000.0,-680000000.0,38870000000.0,119950000000.0,59240000000.0,60710000000.0,59480000000.0,1230000000.0
2024-03-31,2349591262.0,2349591262.0,14840000000.0,55050000000.0,512310000000.0,84450000000.0,55050000000.0,14710000000.0,512180000000.0,512180000000.0,514230000000.0,2050000000.0,512180000000.0,509830000000.0,104430000000.0,403540000000.0,2350000000.0,2350000000.0,270760000000.0,141970000000.0,3950000000.0,42430000000.0,65570000000.0,11060000000.0,11060000000.0,15760000000.0,128790000000.0,910000000.0,3780000000.0,3650000000.0,130000000.0,3400000000.0,112020000000.0,7160000000.0,2280000000.0,0.0,104860000000.0,784990000000.0,571750000000.0,6080000000.0,3120000000.0,10000000.0,100000000.0,390000000.0,0.0,370000000.0,20000000.0,650000000.0,650000000.0,457130000000.0,282470000000.0,174660000000.0,91430000000.0,-55480000000.0,146910000000.0,11120000000.0,15660000000.0,77900000000.0,35900000000.0,6330000000.0,0.0,213240000000.0,7130000000.0,290000000.0,120000000.0,2360000000.0,4690000000.0,40220000000.0,1370000000.0,15880000000.0,5690000000.0,17280000000.0,3680000000.0,3140000000.0,29970000000.0,-650000000.0,30620000000.0,128770000000.0,120520000000.0,8250000000.0,6330000000.0,1920000000.0
2023-03-31,2349591262.0,2349591262.0,12190000000.0,45750000000.0,504020000000.0,49700000000.0,45750000000.0,11210000000.0,503040000000.0,503040000000.0,505220000000.0,2180000000.0,503040000000.0,500690000000.0,95440000000.0,403560000000.0,2350000000.0,2350000000.0,225650000000.0,105370000000.0,4330000000.0,11080000000.0,64210000000.0,8070000000.0,8070000000.0,13630000000.0,120280000000.0,980000000.0,4120000000.0,3140000000.0,980000000.0,3890000000.0,108340000000.0,10360000000.0,2240000000.0,,95740000000.0,730870000000.0,560890000000.0,6080000000.0,2860000000.0,10000000.0,100000000.0,120000000.0,0.0,100000000.0,20000000.0,690000000.0,690000000.0,457290000000.0,282630000000.0,174660000000.0,81120000000.0,-47520000000.0,128640000000.0,11630000000.0,12510000000.0,67400000000.0,31010000000.0,6090000000.0,0.0,169980000000.0,7450000000.0,190000000.0,120000000.0,3100000000.0,4980000000.0,42510000000.0,1400000000.0,17470000000.0,3990000000.0,19650000000.0,4760000000.0,3100000000.0,30790000000.0,-760000000.0,31550000000.0,80430000000.0,73290000000.0,7140000000.0,6190000000.0,950000000.0
2022-03-31,2349591262.0,2349591262.0,10430000000.0,37570000000.0,490610000000.0,42420000000.0,37570000000.0,10430000000.0,490610000000.0,490610000000.0,490870000000.0,260000000.0,490610000000.0,488260000000.0,82710000000.0,403580000000.0,2350000000.0,2350000000.0,214300000000.0,101500000000.0,3220000000.0,13370000000.0,61410000000.0,7410000000.0,7410000000.0,15800000000.0,112800000000.0,1190000000.0,3020000000.0,3020000000.0,0.0,3460000000.0,102260000000.0,9380000000.0,2200000000.0,,90680000000.0,705170000000.0,549950000000.0,6080000000.0,2460000000.0,0.0,110000000.0,200000000.0,,180000000.0,20000000.0,0.0,0.0,453040000000.0,279070000000.0,173970000000.0,75330000000.0,-39950000000.0,115280000000.0,13640000000.0,10930000000.0,58060000000.0,27880000000.0,4770000000.0,0.0,155220000000.0,6880000000.0,540000000.0,130000000.0,2230000000.0,4830000000.0,40960000000.0,1270000000.0,16500000000.0,4210000000.0,18980000000.0,4080000000.0,2570000000.0,22360000000.0,-1030000000.0,23390000000.0,77520000000.0,66050000000.0,11470000000.0,10110000000.0,1360000000.0
