,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash From Discontinued Financing Activities,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash From Discontinued Investing Activities,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net Intangibles Purchase And Sale,Sale Of Intangibles,Purchase Of Intangibles,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Cash From Discontinued Operating Activities,Cash Flow From Continuing Operating Activities,Taxes Refund Paid,Interest Received Cfo,Interest Paid Cfo,Dividend Received Cfo,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Provisionand Write Offof Assets,Amortization Of Securities,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Operating Gains Losses,Earnings Losses From Equity Investments,Gain Loss On Sale Of PPE,Net Income From Continuing Operations
2024-12-31,13805000000.0,-8331000000.0,-2711000000.0,7101000000.0,-3814000000.0,11459000000.0,13393000000.0,-298000000.0,-1636000000.0,-11742000000.0,,-11742000000.0,-207000000.0,30000000.0,-7624000000.0,-7624000000.0,-8331000000.0,-8331000000.0,4390000000.0,-1491000000.0,-2449000000.0,958000000.0,5881000000.0,-262000000.0,6143000000.0,-7513000000.0,,-7513000000.0,3000000.0,53000000.0,3701000000.0,-3648000000.0,-3921000000.0,,-2368000000.0,80000000.0,-2448000000.0,-1280000000.0,86000000.0,-1366000000.0,17619000000.0,,17619000000.0,-2258000000.0,489000000.0,-855000000.0,1000000.0,-706000000.0,,1057000000.0,-502000000.0,-105000000.0,-105000000.0,-105000000.0,-225000000.0,-931000000.0,-931000000.0,-510000000.0,1044000000.0,696000000.0,45000000.0,1701000000.0,1701000000.0,6069000000.0,6069000000.0,4881000000.0,4881000000.0,1188000000.0,-36000000.0,38000000.0,-74000000.0,11939000000.0
2023-12-31,11705000000.0,-8719000000.0,-2481000000.0,546000000.0,-2753000000.0,13393000000.0,7517000000.0,100000000.0,5776000000.0,-14278000000.0,3286000000.0,-17564000000.0,192000000.0,153000000.0,-7255000000.0,-7255000000.0,-8719000000.0,-8719000000.0,-1935000000.0,-1677000000.0,-2223000000.0,546000000.0,-258000000.0,-258000000.0,,5596000000.0,-1123000000.0,6719000000.0,,10849000000.0,11596000000.0,-747000000.0,-3569000000.0,,262000000.0,1955000000.0,-1693000000.0,-823000000.0,237000000.0,-1060000000.0,14458000000.0,238000000.0,14220000000.0,-2787000000.0,645000000.0,-751000000.0,2000000.0,-369000000.0,,1327000000.0,-125000000.0,479000000.0,479000000.0,479000000.0,-546000000.0,-1504000000.0,-1504000000.0,-785000000.0,865000000.0,61000000.0,106000000.0,551000000.0,551000000.0,8277000000.0,8277000000.0,7008000000.0,7008000000.0,1269000000.0,-167000000.0,13000000.0,-180000000.0,8572000000.0
2022-12-31,11997000000.0,-10652000000.0,-2837000000.0,252000000.0,-2239000000.0,7517000000.0,12407000000.0,-32000000.0,-4858000000.0,-20562000000.0,119000000.0,-20681000000.0,-38000000.0,100000000.0,-7506000000.0,-7506000000.0,-10652000000.0,-10652000000.0,-2585000000.0,-2323000000.0,-2575000000.0,252000000.0,-262000000.0,-262000000.0,16000000.0,1468000000.0,-436000000.0,1904000000.0,-1000000.0,4680000000.0,39490000000.0,-34810000000.0,-864000000.0,,-1153000000.0,170000000.0,-1323000000.0,-758000000.0,158000000.0,-916000000.0,14236000000.0,1197000000.0,13039000000.0,-1702000000.0,252000000.0,-667000000.0,1000000.0,-796000000.0,,426000000.0,-84000000.0,-181000000.0,-181000000.0,-181000000.0,-560000000.0,-397000000.0,-397000000.0,-3000000.0,791000000.0,1318000000.0,260000000.0,1128000000.0,1128000000.0,6705000000.0,6705000000.0,5061000000.0,5061000000.0,1644000000.0,-297000000.0,11000000.0,-308000000.0,6049000000.0
2021-12-31,12515000000.0,-3057000000.0,-5987000000.0,16000000.0,-2556000000.0,12407000000.0,9658000000.0,-266000000.0,3015000000.0,-16264000000.0,26000000.0,-16290000000.0,69000000.0,53000000.0,-7368000000.0,-7368000000.0,-3057000000.0,-3057000000.0,-5987000000.0,-5709000000.0,-5709000000.0,,-278000000.0,-278000000.0,16000000.0,4208000000.0,-689000000.0,4897000000.0,-55000000.0,-13853000000.0,2738000000.0,-16591000000.0,20464000000.0,,-804000000.0,686000000.0,-1490000000.0,-855000000.0,211000000.0,-1066000000.0,15071000000.0,1706000000.0,13365000000.0,-1856000000.0,11000000.0,-643000000.0,523000000.0,-73000000.0,,671000000.0,-179000000.0,-111000000.0,-111000000.0,-111000000.0,-102000000.0,-352000000.0,-352000000.0,-209000000.0,700000000.0,806000000.0,-38000000.0,1625000000.0,1625000000.0,5597000000.0,5597000000.0,4041000000.0,4041000000.0,1556000000.0,-15983000000.0,-15337000000.0,-646000000.0,22905000000.0
2020-12-31,,,,,,,,,,,-50000000.0,,,,,,,,,,,2261000000.0,,,7126000000.0,,-127000000.0,,-59000000.0,,,,,-9964000000.0,,,,,,,,,,,,,,,-1000000.0,,,,,,,,,,,,,,,,,,,,,,,
