,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-03-31,681610290.0,0.1977,128242600000.0,-974300000.0,3447700000.0,60391100000.0,40149500000.0,175007800000.0,131690300000.0,91540800000.0,-13464300000.0,16259500000.0,2923500000.0,57625010290.0,60391100000.0,674126300000.0,1774900000.0,294399800.0,294154702.0,205.13,205.3,60391100000.0,60391100000.0,0.0,60391100000.0,-5300000.0,60396400000.0,,60396400000.0,14884900000.0,75281300000.0,893500000.0,-11200000.0,-963100000.0,93500000.0,880800000.0,-13464300000.0,128300000.0,16259500000.0,2923500000.0,84235100000.0,490121600000.0,230805800000.0,40149500000.0,2959200000.0,37190300000.0,191134700000.0,189756100000.0,1378600000.0,1774900000.0,574356700000.0,175007800000.0,749364500000.0,749364500000.0
2024-03-31,745816180.0,0.2567,132367600000.0,-720000000.0,2905400000.0,70050000000.0,31453000000.0,153221300000.0,135273000000.0,103820000000.0,-7229300000.0,9597800000.0,2407500000.0,67890416180.0,70050000000.0,610848800000.0,1723900000.0,288429818.0,288212100.0,242.87,243.05,70050000000.0,70050000000.0,0.0,70050000000.0,10400000.0,70039600000.0,,70039600000.0,24182600000.0,94222200000.0,1131800000.0,-134100000.0,-585900000.0,0.0,720000000.0,-7229300000.0,39000000.0,9597800000.0,2407500000.0,96682900000.0,448191100000.0,218024100000.0,31453000000.0,1983100000.0,29469900000.0,176503100000.0,174683800000.0,1819300000.0,1723900000.0,544874000000.0,153221300000.0,698095300000.0,698095300000.0
2023-03-31,412091550.0,0.3159,109357400000.0,1304500000.0,1304500000.0,50639600000.0,28879900000.0,128272500000.0,110661900000.0,81782000000.0,-4957300000.0,7619500000.0,2724500000.0,49747191550.0,50639600000.0,547604500000.0,1944100000.0,288480570.0,288326723.0,175.54,175.63,50639600000.0,50639600000.0,0.0,50639600000.0,-94400000.0,50734000000.0,0.0,50734000000.0,23428500000.0,74162500000.0,1497200000.0,328300000.0,-328300000.0,,0.0,-4957300000.0,62300000.0,7619500000.0,2724500000.0,75771500000.0,419332000000.0,213715200000.0,28879900000.0,1949200000.0,26930700000.0,154790900000.0,153052500000.0,1738400000.0,1944100000.0,495103500000.0,128272500000.0,623376000000.0,623376000000.0
2022-03-31,472348230.0,0.1479,116454700000.0,3193700000.0,3193700000.0,71843900000.0,27147500000.0,107962900000.0,119648400000.0,92500900000.0,-7354500000.0,8856900000.0,1637000000.0,69122548230.0,73443100000.0,428710400000.0,1546100000.0,288547584.0,288424921.0,254.53,254.64,73443100000.0,73443100000.0,0.0,73443100000.0,100500000.0,73342600000.0,1599200000.0,71743400000.0,11900600000.0,83644000000.0,523000000.0,305500000.0,-305500000.0,0.0,,-7354500000.0,134600000.0,8856900000.0,1637000000.0,88368100000.0,320747500000.0,145626500000.0,27147500000.0,1727100000.0,25420400000.0,129597600000.0,128310300000.0,1287300000.0,1546100000.0,409115600000.0,107962900000.0,517078500000.0,517078500000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,1429100000.0,,,,,,,967400000.0,,,,,,,,,,,,,,,,,,,
