,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Net Preferred Stock Issuance,Preferred Stock Payments,Preferred Stock Issuance,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Gain Loss On Investment Securities,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2024-12-31,-42012000000.0,-28680000000.0,-96605000000.0,109915000000.0,2500000000.0,99642000000.0,11715000000.0,469317000000.0,624151000000.0,-12866000000.0,-141968000000.0,63447000000.0,63447000000.0,74000000.0,-14783000000.0,-7350000000.0,-9850000000.0,2500000000.0,-18830000000.0,-18830000000.0,20749000000.0,7439000000.0,13310000000.0,-96605000000.0,109915000000.0,-163403000000.0,-163403000000.0,-2146000000.0,-114934000000.0,242487000000.0,-357421000000.0,-2362000000.0,-2362000000.0,-42012000000.0,-42012000000.0,-114220000000.0,-112215000000.0,-7650000000.0,-90000000.0,-90000000.0,-90000000.0,5735000000.0,5735000000.0,1107000000.0,2004000000.0,2004000000.0,7938000000.0,7938000000.0,-7990000000.0,-7990000000.0,,58471000000.0
2023-12-31,12974000000.0,-9824000000.0,-64880000000.0,75417000000.0,0.0,77114000000.0,9908000000.0,624151000000.0,567234000000.0,1871000000.0,55046000000.0,-25571000000.0,-25571000000.0,7508000000.0,-13463000000.0,0.0,0.0,0.0,-9824000000.0,-9824000000.0,8603000000.0,-1934000000.0,10537000000.0,-64880000000.0,75417000000.0,67643000000.0,67643000000.0,-16740000000.0,95594000000.0,215234000000.0,-119640000000.0,-9920000000.0,-9920000000.0,12974000000.0,12974000000.0,-56168000000.0,-83678000000.0,32970000000.0,-25388000000.0,-25388000000.0,-25388000000.0,19928000000.0,19928000000.0,7292000000.0,-4534000000.0,-4534000000.0,7512000000.0,7512000000.0,-2775000000.0,0.0,-2775000000.0,49552000000.0
2022-12-31,107119000000.0,-10596000000.0,-45556000000.0,78442000000.0,0.0,23143000000.0,4355000000.0,567234000000.0,740834000000.0,-16643000000.0,-156957000000.0,-126257000000.0,-126257000000.0,2439000000.0,-13562000000.0,-7434000000.0,-7434000000.0,0.0,-3162000000.0,-3162000000.0,23902000000.0,-8984000000.0,32886000000.0,-45556000000.0,78442000000.0,-137819000000.0,-137819000000.0,-11932000000.0,12467000000.0,172401000000.0,-159934000000.0,0.0,0.0,107119000000.0,107119000000.0,32686000000.0,-76000000.0,-2882000000.0,58614000000.0,58614000000.0,58614000000.0,-22970000000.0,-22970000000.0,26055000000.0,-2738000000.0,-2738000000.0,7051000000.0,7051000000.0,,0.0,0.0,37676000000.0
2021-12-31,78084000000.0,-20983000000.0,-54932000000.0,82409000000.0,7350000000.0,5142000000.0,18737000000.0,740834000000.0,527609000000.0,-11508000000.0,224733000000.0,275993000000.0,275993000000.0,-5731000000.0,-12858000000.0,4775000000.0,-2575000000.0,7350000000.0,-18408000000.0,-18408000000.0,35250000000.0,7773000000.0,27477000000.0,-54932000000.0,82409000000.0,-129344000000.0,-129344000000.0,-11044000000.0,-96821000000.0,263720000000.0,-360541000000.0,0.0,,78084000000.0,78084000000.0,35901000000.0,16885000000.0,-11745000000.0,43162000000.0,43162000000.0,43162000000.0,-12401000000.0,-12401000000.0,-8575000000.0,3748000000.0,3748000000.0,7932000000.0,7932000000.0,,,0.0,48334000000.0
