,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Other Cash Adjustment Outside Changein Cash,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Net Intangibles Purchase And Sale,Sale Of Intangibles,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Capital Expenditure Reported,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Payables And Accrued Expense,Change In Prepaid Assets,Change In Inventory,Change In Receivables,Other Non Cash Items,Stock Based Compensation,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Operating Gains Losses,Gain Loss On Sale Of PPE,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2025-01-31,129600000.0,,-10800000.0,,3453800000.0,-16100000.0,1200000.0,6200000.0,4789800000.0,,938900000.0,-2900000.0,3853800000.0,3443000000.0,3443000000.0,,0.0,,,3453800000.0,,3453800000.0,-10800000.0,,,,-10800000.0,-10800000.0,,265100000.0,265100000.0,3500000.0,255400000.0,316800000.0,-61400000.0,7000000.0,7000000.0,0.0,0.0,15300000.0,15300000.0,,-16100000.0,145700000.0,145700000.0,-42900000.0,5300000.0,3000000.0,-179500000.0,4900000.0,94500000.0,28900000.0,1200000.0,16400000.0,9700000.0,-1800000.0,-1800000.0,38900000.0,38900000.0,500000.0,500000.0,38400000.0,-7100000.0,-7100000.0,,131300000.0
2024-01-31,-238600000.0,,-10700000.0,,0.0,-34900000.0,3200000.0,6200000.0,938900000.0,,1196000000.0,-8600000.0,-248500000.0,-11600000.0,-11600000.0,,-900000.0,,,0.0,,0.0,-10700000.0,0.0,0.0,,-10700000.0,-10700000.0,,-33200000.0,-33200000.0,,-14200000.0,312600000.0,-326800000.0,0.0,0.0,2800000.0,2800000.0,13100000.0,13100000.0,,-34900000.0,-203700000.0,-203700000.0,-295800000.0,-10500000.0,-2900000.0,-397700000.0,10400000.0,39900000.0,65000000.0,800000.0,22200000.0,4800000.0,-100000.0,-100000.0,56200000.0,56200000.0,900000.0,900000.0,55300000.0,1500000.0,1500000.0,,6700000.0
2023-01-31,52300000.0,,-3900000.0,0.0,0.0,-55900000.0,2600000.0,13500000.0,1196000000.0,,1319900000.0,-1500000.0,-122400000.0,-7900000.0,-7900000.0,,-4000000.0,0.0,0.0,0.0,,0.0,-3900000.0,0.0,0.0,0.0,-3900000.0,-3900000.0,0.0,-222700000.0,-222700000.0,600000.0,-249300000.0,27500000.0,-276800000.0,0.0,0.0,81900000.0,81900000.0,0.0,0.0,,-55900000.0,108200000.0,108200000.0,288900000.0,167500000.0,0.0,-66200000.0,-25200000.0,229600000.0,-16800000.0,1200000.0,40100000.0,36700000.0,-2600000.0,-2600000.0,61700000.0,61700000.0,1400000.0,1400000.0,60300000.0,-4700000.0,-4700000.0,,-313100000.0
2022-01-31,-496300000.0,0.0,-332400000.0,0.0,1672800000.0,-62000000.0,18300000.0,21400000.0,1319900000.0,,635000000.0,-16600000.0,701500000.0,1200600000.0,1200600000.0,-3000000.0,-136800000.0,0.0,0.0,1672800000.0,0.0,1672800000.0,-332400000.0,-25000000.0,-25000000.0,0.0,-307400000.0,-307400000.0,0.0,-64800000.0,-64800000.0,-2800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-62000000.0,-434300000.0,-434300000.0,-171200000.0,-22600000.0,1500000.0,224400000.0,-6500000.0,-329600000.0,-38400000.0,-3500000.0,30500000.0,6700000.0,-16300000.0,-16300000.0,77200000.0,77200000.0,3600000.0,3600000.0,73600000.0,23600000.0,5400000.0,0.0,-381300000.0
2021-01-31,,0.0,,197100000.0,,,,,,0.0,,,,,,,,-300000.0,-300000.0,,0.0,,,150000000.0,-125000000.0,150000000.0,,,47100000.0,,,1400000.0,,,,,,,,,,-60000000.0,,,,,,,,,,,,,,,,,,,,,,,0.0,
