,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Earnings From Equity Interest Net Of Tax,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Rent And Landing Fees,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-03-31,4941600000.0,0.24,448330000000.0,20590000000.0,20590000000.0,149880000000.0,111390000000.0,890140000000.0,468920000000.0,357530000000.0,-75260000000.0,88760000000.0,23880000000.0,134231600000.0,149880000000.0,1193660000000.0,620000000.0,,3877900000.0,3846300000.0,38.65,38.97,149880000000.0,149880000000.0,0.0,149880000000.0,-55470000000.0,205350000000.0,-7320000000.0,205350000000.0,,63420000000.0,268770000000.0,,5000000000.0,20590000000.0,310000000.0,,-20900000000.0,,,-75260000000.0,10380000000.0,88760000000.0,23880000000.0,313590000000.0,303520000000.0,270540000000.0,22720000000.0,20360000000.0,2360000000.0,,620000000.0,,617110000000.0,890140000000.0,1507250000000.0,1507250000000.0
2024-03-31,8601000000.0,0.3,366750000000.0,28670000000.0,28670000000.0,42390000000.0,107440000000.0,849260000000.0,395420000000.0,287980000000.0,-77790000000.0,84330000000.0,16860000000.0,22321000000.0,42390000000.0,1169650000000.0,550000000.0,,3746400000.0,3717900000.0,11.33,11.42,42390000000.0,42390000000.0,0.0,42390000000.0,-33000000000.0,75390000000.0,-65200000000.0,75390000000.0,,128260000000.0,203650000000.0,,2090000000.0,28670000000.0,-26820000000.0,,-1850000000.0,,,-77790000000.0,10320000000.0,84330000000.0,16860000000.0,248280000000.0,320390000000.0,283600000000.0,25660000000.0,22880000000.0,2780000000.0,,550000000.0,,568670000000.0,849260000000.0,1417930000000.0,1417930000000.0
2023-03-31,-632800000.0,0.28,369450000000.0,-2260000000.0,-2260000000.0,105740000000.0,105970000000.0,915150000000.0,367190000000.0,261220000000.0,-39630000000.0,58460000000.0,22620000000.0,107367200000.0,105740000000.0,1211190000000.0,610000000.0,,3733900000.0,3709700000.0,28.32,28.5,105740000000.0,105740000000.0,0.0,105740000000.0,-39290000000.0,145030000000.0,2740000000.0,145030000000.0,,57700000000.0,202760000000.0,,2210000000.0,-2260000000.0,9790000000.0,110000000.0,-7530000000.0,,,-39630000000.0,3790000000.0,58460000000.0,22620000000.0,242850000000.0,296040000000.0,254740000000.0,31480000000.0,28560000000.0,2920000000.0,,610000000.0,,538890000000.0,915150000000.0,1454040000000.0,1454040000000.0
2022-03-31,-1822800000.0,0.28,470320000000.0,-6510000000.0,-6510000000.0,188020000000.0,89190000000.0,697000000000.0,463810000000.0,374620000000.0,-29050000000.0,44980000000.0,18850000000.0,192707200000.0,188020000000.0,951820000000.0,380000000.0,389627000000.0,3732036522.0,3706288192.0,50.38,50.73,188020000000.0,188020000000.0,0.0,188020000000.0,-49080000000.0,237100000000.0,,237100000000.0,10000000.0,92550000000.0,329640000000.0,-363000000.0,1310000000.0,-6510000000.0,6400000000.0,110000000.0,1220000000.0,0.0,-363000000.0,-29050000000.0,2920000000.0,44980000000.0,18850000000.0,360100000000.0,254820000000.0,212050000000.0,32130000000.0,29440000000.0,2690000000.0,50204000000.0,380000000.0,28110000000.0,614920000000.0,697000000000.0,1311920000000.0,1311920000000.0
2021-03-31,,,,,,,,,,,,,,,,,,186852000000.0,,,,,,,,,,,,,-10000000.0,,,11313000000.0,,,,,,-1232000000.0,10081000000.0,,,,,,,,,,,39463000000.0,,28610000000.0,,,,
