,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Inventories Adjustments Allowances,Other Inventories,Finished Goods,Work In Process,Raw Materials,Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2025-06-30,406416540.0,406416540.0,459500000.0,1976600000.0,-460600000.0,1085300000.0,633700000.0,-460600000.0,477600000.0,-413700000.0,876800000.0,-413700000.0,-413700000.0,5100000.0,5100000.0,-5602600000.0,5183800000.0,0.0,0.0,2539000000.0,1735100000.0,37100000.0,1698000000.0,407500000.0,1290500000.0,803900000.0,2000000.0,150700000.0,150700000.0,278600000.0,70100000.0,208500000.0,208500000.0,46200000.0,,326400000.0,259700000.0,66700000.0,66700000.0,2125300000.0,687800000.0,63000000.0,46900000.0,5700000.0,41200000.0,577900000.0,-298300000.0,876200000.0,257000000.0,400000.0,429800000.0,189000000.0,,,0.0,1437600000.0,91300000.0,,205600000.0,-154800000.0,100000.0,337600000.0,,22700000.0,101200000.0,101200000.0,1039500000.0,,1039500000.0
2024-06-30,376261713.0,376261713.0,802500000.0,2078700000.0,-575300000.0,980900000.0,580800000.0,-575300000.0,578600000.0,-519200000.0,970900000.0,-519200000.0,-519200000.0,15900000.0,15900000.0,-5483700000.0,4948600000.0,0.0,0.0,2704400000.0,2019200000.0,25800000.0,1993400000.0,503300000.0,1490100000.0,685200000.0,3900000.0,163700000.0,163700000.0,85300000.0,75300000.0,10000000.0,10000000.0,42900000.0,20400000.0,389400000.0,304000000.0,85400000.0,85400000.0,2185200000.0,918900000.0,74200000.0,56100000.0,14900000.0,41200000.0,788600000.0,-271200000.0,1059800000.0,292400000.0,1100000.0,553700000.0,212600000.0,0.0,0.0,0.0,1266000000.0,135100000.0,,329700000.0,-187700000.0,,487600000.0,,29800000.0,103600000.0,103600000.0,697600000.0,,697600000.0
2023-06-30,356767627.0,356767627.0,872500000.0,2363700000.0,-361900000.0,1391200000.0,877700000.0,-361900000.0,677300000.0,-295200000.0,1383700000.0,-295200000.0,-295200000.0,16800000.0,16800000.0,-4931800000.0,4619800000.0,0.0,0.0,3064300000.0,2302900000.0,30200000.0,2272700000.0,593800000.0,1678900000.0,761400000.0,4500000.0,187300000.0,187300000.0,91000000.0,83500000.0,7500000.0,7500000.0,43300000.0,38700000.0,396600000.0,320100000.0,76500000.0,76500000.0,2769100000.0,1130000000.0,94300000.0,66700000.0,25500000.0,41200000.0,969000000.0,-207500000.0,1176500000.0,315100000.0,3800000.0,609900000.0,229400000.0,13100000.0,5200000.0,0.0,1639100000.0,205400000.0,,522600000.0,-233600000.0,,703000000.0,0.0,53200000.0,97200000.0,97200000.0,813900000.0,,813900000.0
2022-06-30,338274016.0,338274016.0,307600000.0,2373300000.0,510500000.0,2154400000.0,1529100000.0,510500000.0,811800000.0,592900000.0,2146900000.0,592900000.0,592900000.0,12200000.0,12200000.0,-3710600000.0,4291300000.0,0.0,0.0,3435600000.0,2330100000.0,50700000.0,2279400000.0,725400000.0,1554000000.0,1105500000.0,13100000.0,201100000.0,201100000.0,93900000.0,86400000.0,7500000.0,7500000.0,59600000.0,68100000.0,669700000.0,576700000.0,93000000.0,93000000.0,4028500000.0,1393900000.0,38100000.0,82400000.0,41200000.0,41200000.0,1273400000.0,-173000000.0,1446400000.0,362500000.0,109900000.0,732400000.0,204300000.0,19400000.0,17900000.0,0.0,2634600000.0,192600000.0,192500000.0,1104500000.0,-285400000.0,,1283700000.0,3700000.0,102500000.0,83600000.0,83600000.0,1253900000.0,0.0,1253900000.0
2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84400000.0,,,,,,,,,,,,,,,,,,22200000.0,14000000.0,,,,202800000.0,,,,,7900000.0,,,,,472000000.0,
