,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-03-31,-165000000.0,0.3,360000000.0,-550000000.0,-550000000.0,-1860000000.0,1170000000.0,1480000000.0,-190000000.0,-1360000000.0,-170000000.0,460000000.0,290000000.0,-1475000000.0,-93890000000.0,4270000000.0,280000000.0,2744254050.0,2744254050.0,-34.21,-34.21,-93890000000.0,-93890000000.0,0.0,-93890000000.0,0.0,-93890000000.0,-92030000000.0,-1860000000.0,40000000.0,-1820000000.0,40000000.0,-550000000.0,550000000.0,-170000000.0,460000000.0,290000000.0,-690000000.0,2790000000.0,180000000.0,1170000000.0,0.0,1170000000.0,840000000.0,,840000000.0,260000000.0,2100000000.0,1480000000.0,3580000000.0,3580000000.0
2024-03-31,153000000.0,0.3,370000000.0,510000000.0,510000000.0,-1010000000.0,1280000000.0,1750000000.0,880000000.0,-400000000.0,-170000000.0,470000000.0,300000000.0,-1367000000.0,-72120000000.0,4820000000.0,300000000.0,2744254050.0,2744254050.0,-26.28,-26.28,-72120000000.0,-72120000000.0,0.0,-72120000000.0,0.0,-72120000000.0,-71110000000.0,-1010000000.0,140000000.0,-870000000.0,60000000.0,510000000.0,-510000000.0,-170000000.0,470000000.0,300000000.0,-990000000.0,3070000000.0,110000000.0,1270000000.0,0.0,1270000000.0,1060000000.0,0.0,1060000000.0,250000000.0,2080000000.0,1750000000.0,3830000000.0,3830000000.0
2023-03-31,-12535714.285714,0.010714,210000000.0,-1170000000.0,-1170000000.0,80000000.0,1370000000.0,2250000000.0,-960000000.0,-2330000000.0,-310000000.0,470000000.0,160000000.0,1237464285.714286,-144990000000.0,5300000000.0,340000000.0,2744254050.0,2744254050.0,-52.83,-52.83,-144990000000.0,-144990000000.0,0.0,-144990000000.0,2850000000.0,-147840000000.0,-145070000000.0,-2770000000.0,-30000000.0,-2800000000.0,100000000.0,-1170000000.0,1170000000.0,-310000000.0,470000000.0,160000000.0,-510000000.0,3050000000.0,80000000.0,1360000000.0,20000000.0,1340000000.0,790000000.0,-10000000.0,800000000.0,300000000.0,2540000000.0,2250000000.0,4790000000.0,4790000000.0
2022-03-31,-603448.275862,0.00431,-190000000.0,-140000000.0,-140000000.0,-2140000000.0,1520000000.0,3660000000.0,-330000000.0,-1850000000.0,-350000000.0,470000000.0,120000000.0,-2000603448.275862,-66200000000.0,7060000000.0,480000000.0,2744254050.0,2744254050.0,-24.12,-24.12,-66200000000.0,-66200000000.0,0.0,-66200000000.0,170000000.0,-66370000000.0,-64060000000.0,-2310000000.0,-10000000.0,-2320000000.0,160000000.0,-140000000.0,140000000.0,-350000000.0,470000000.0,120000000.0,-1500000000.0,3400000000.0,100000000.0,1510000000.0,,1510000000.0,750000000.0,20000000.0,730000000.0,340000000.0,1900000000.0,3660000000.0,5560000000.0,5560000000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0,,,,,,
