,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Rent And Landing Fees,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,-2520000.0,0.21,1368000000.0,-12000000.0,-12000000.0,210000000.0,305000000.0,10797000000.0,1356000000.0,1051000000.0,-651000000.0,651000000.0,219480000.0,210000000.0,12683000000.0,68000000.0,990000000.0,132206000.0,122344000.0,1.59,1.72,210000000.0,0.0,210000000.0,,210000000.0,-194000000.0,404000000.0,404000000.0,-4000000.0,400000000.0,61000000.0,73000000.0,-12000000.0,12000000.0,0.0,-651000000.0,651000000.0,990000000.0,1886000000.0,12000000.0,1874000000.0,229000000.0,1645000000.0,877000000.0,68000000.0,700000000.0,2876000000.0,10797000000.0,13673000000.0,12522000000.0
2023-12-31,125554000.0,0.143,281000000.0,878000000.0,878000000.0,450000000.0,352000000.0,9047000000.0,1159000000.0,807000000.0,-632000000.0,632000000.0,-302446000.0,450000000.0,10851000000.0,71000000.0,-80000000.0,200578000.0,109323000.0,0.75,4.12,150000000.0,-300000000.0,450000000.0,,450000000.0,300000000.0,150000000.0,150000000.0,25000000.0,175000000.0,887000000.0,9000000.0,878000000.0,-878000000.0,0.0,-632000000.0,632000000.0,-80000000.0,1804000000.0,8000000.0,1796000000.0,228000000.0,1568000000.0,836000000.0,71000000.0,661000000.0,1724000000.0,9047000000.0,10771000000.0,10018000000.0
2022-12-31,-177870000.0,0.21,-1299000000.0,-847000000.0,-847000000.0,-1587000000.0,261000000.0,12358000000.0,-2146000000.0,-2407000000.0,-486000000.0,486000000.0,-917870000.0,-1587000000.0,15108000000.0,93000000.0,-2351000000.0,100828000.0,100828000.0,-15.74,-15.74,-1587000000.0,0.0,-1587000000.0,,-1587000000.0,1307000000.0,-2894000000.0,-2894000000.0,1000000.0,-2893000000.0,-903000000.0,-56000000.0,-847000000.0,,847000000.0,-486000000.0,486000000.0,-1504000000.0,2750000000.0,14000000.0,2736000000.0,490000000.0,2246000000.0,1210000000.0,93000000.0,943000000.0,1246000000.0,12358000000.0,13604000000.0,12863000000.0
2021-12-31,0.0,0.27,-5000000.0,0.0,0.0,-135000000.0,105000000.0,10885000000.0,-5000000.0,-110000000.0,-176000000.0,176000000.0,-135000000.0,-135000000.0,12918000000.0,70000000.0,,82805000.0,82805000.0,-1.63,-1.63,-135000000.0,,-135000000.0,,-135000000.0,152000000.0,-287000000.0,-287000000.0,1000000.0,-286000000.0,-6000000.0,-6000000.0,0.0,,0.0,-176000000.0,176000000.0,-104000000.0,2033000000.0,,2033000000.0,479000000.0,1554000000.0,817000000.0,70000000.0,667000000.0,1929000000.0,10885000000.0,12814000000.0,11771000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
