,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Prepaid Assets,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Provisionand Write Offof Assets,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Operating Gains Losses,Earnings Losses From Equity Investments,Gain Loss On Investment Securities,Gain Loss On Sale Of PPE,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2024-12-31,12975000000.0,-6324000000.0,-31111000000.0,23574000000.0,,-8259000000.0,2237000000.0,3684000000.0,36589000000.0,37574000000.0,95000000.0,-1080000000.0,-13759000000.0,-13759000000.0,55000000.0,47000000.0,-6324000000.0,-6324000000.0,,-7537000000.0,415000000.0,-22039000000.0,22454000000.0,-7952000000.0,-9072000000.0,1120000000.0,-8555000000.0,-8555000000.0,-2381000000.0,-6353000000.0,298554000000.0,-304907000000.0,8438000000.0,9233000000.0,-795000000.0,-125000000.0,-125000000.0,-8134000000.0,-8134000000.0,21234000000.0,21234000000.0,-27512000000.0,513000000.0,-30522000000.0,2390000000.0,2390000000.0,2298000000.0,,107000000.0,327000000.0,-1549000000.0,4784000000.0,1074000000.0,630000000.0,1040000000.0,1040000000.0,20521000000.0,20521000000.0,13677000000.0,13677000000.0,6844000000.0,-1929000000.0,691000000.0,-2598000000.0,-44000000.0,22000000.0,24175000000.0
2023-12-31,25320000000.0,-4764000000.0,-33566000000.0,20473000000.0,0.0,-11295000000.0,2764000000.0,3666000000.0,37574000000.0,65236000000.0,282000000.0,-27944000000.0,-14162000000.0,-14162000000.0,3592000000.0,103000000.0,-4764000000.0,-4764000000.0,0.0,-13093000000.0,4902000000.0,-11026000000.0,15928000000.0,-17995000000.0,-22540000000.0,4545000000.0,-50397000000.0,-50397000000.0,2562000000.0,-46961000000.0,155032000000.0,-201993000000.0,5297000000.0,6899000000.0,-1602000000.0,-105000000.0,-105000000.0,-11190000000.0,-11190000000.0,36615000000.0,36615000000.0,-13067000000.0,1918000000.0,-14000000000.0,-1005000000.0,-1005000000.0,-858000000.0,,20000000.0,216000000.0,-950000000.0,6345000000.0,693000000.0,910000000.0,-163000000.0,-163000000.0,21457000000.0,21457000000.0,14067000000.0,14067000000.0,7390000000.0,-159000000.0,3799000000.0,-3765000000.0,-36000000.0,-157000000.0,21549000000.0
2022-12-31,17777000000.0,-1925000000.0,-16535000000.0,9722000000.0,0.0,-8393000000.0,2690000000.0,3525000000.0,65236000000.0,47671000000.0,1729000000.0,15836000000.0,-6390000000.0,-6390000000.0,2148000000.0,200000000.0,-1925000000.0,-1925000000.0,0.0,-6813000000.0,1189000000.0,-5084000000.0,6273000000.0,-8002000000.0,-11451000000.0,3449000000.0,-3944000000.0,-3944000000.0,-761000000.0,6598000000.0,188119000000.0,-181521000000.0,-1388000000.0,2254000000.0,-3642000000.0,-107000000.0,-107000000.0,-8286000000.0,-8286000000.0,26170000000.0,26170000000.0,-16758000000.0,-444000000.0,-12570000000.0,-1639000000.0,-1639000000.0,-1450000000.0,,-2105000000.0,-2369000000.0,-132000000.0,6788000000.0,701000000.0,3058000000.0,-99000000.0,-99000000.0,20084000000.0,20084000000.0,13607000000.0,13607000000.0,6477000000.0,4994000000.0,1910000000.0,4010000000.0,-58000000.0,-868000000.0,7534000000.0
2021-12-31,8882000000.0,-7581000000.0,-15393000000.0,24233000000.0,19873000000.0,-11240000000.0,2542000000.0,3253000000.0,47671000000.0,36540000000.0,-943000000.0,12074000000.0,23396000000.0,23396000000.0,1929000000.0,335000000.0,12292000000.0,-7581000000.0,19873000000.0,8840000000.0,1122000000.0,-3365000000.0,4487000000.0,7718000000.0,-12028000000.0,19746000000.0,-31444000000.0,-31444000000.0,71000000.0,-7993000000.0,192503000000.0,-200496000000.0,-12282000000.0,0.0,-12282000000.0,-344000000.0,-344000000.0,-10896000000.0,-10896000000.0,20122000000.0,20122000000.0,-18691000000.0,593000000.0,-23867000000.0,7422000000.0,7422000000.0,7141000000.0,,-2839000000.0,-2144000000.0,-254000000.0,7056000000.0,989000000.0,4445000000.0,-449000000.0,-449000000.0,22559000000.0,22559000000.0,16675000000.0,16675000000.0,5884000000.0,-3124000000.0,932000000.0,-3930000000.0,-81000000.0,-45000000.0,7591000000.0
2020-12-31,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177000000.0,,,,,,,,,,,,,,,,,,,
