,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Foreign Currency Translation Adjustments,Unrealized Gain Loss,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Dividends Payable,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Duefrom Related Parties Current,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2024-12-31,,537000000.0,537000000.0,48126000000.0,60099000000.0,-40459000000.0,65976000000.0,5931000000.0,-40459000000.0,5877000000.0,62426000000.0,5877000000.0,5877000000.0,-66000000.0,308000000.0,-374000000.0,,-27590000000.0,33533000000.0,33533000000.0,85962000000.0,62863000000.0,2349000000.0,2349000000.0,1616000000.0,1616000000.0,56549000000.0,56549000000.0,23099000000.0,3550000000.0,3550000000.0,1329000000.0,,18220000000.0,12451000000.0,867000000.0,5769000000.0,1278000000.0,2583000000.0,2583000000.0,1908000000.0,91839000000.0,62809000000.0,9930000000.0,46336000000.0,27699000000.0,18637000000.0,6543000000.0,-10388000000.0,16931000000.0,2053000000.0,4996000000.0,4733000000.0,4803000000.0,346000000.0,0.0,29030000000.0,419000000.0,2139000000.0,6998000000.0,2060000000.0,4120000000.0,818000000.0,7501000000.0,521000000.0,198000000.0,6782000000.0,11973000000.0,,11973000000.0
2023-12-31,0.0,535400000.0,535400000.0,53669000000.0,64613000000.0,-45038000000.0,70845000000.0,11940000000.0,-45038000000.0,6232000000.0,69402000000.0,6232000000.0,6232000000.0,-289000000.0,9000000.0,-298000000.0,0.0,-26549000000.0,33070000000.0,33070000000.0,90922000000.0,72530000000.0,2326000000.0,4680000000.0,2354000000.0,2354000000.0,63170000000.0,63170000000.0,18392000000.0,1443000000.0,1443000000.0,1381000000.0,,15568000000.0,11109000000.0,936000000.0,4459000000.0,1205000000.0,1664000000.0,1664000000.0,1590000000.0,97154000000.0,66822000000.0,9611000000.0,51270000000.0,32641000000.0,18629000000.0,5941000000.0,-9808000000.0,15749000000.0,1550000000.0,4813000000.0,4540000000.0,4507000000.0,339000000.0,0.0,30332000000.0,281000000.0,1647000000.0,9518000000.0,2778000000.0,5747000000.0,993000000.0,7942000000.0,502000000.0,172000000.0,7268000000.0,10944000000.0,0.0,10944000000.0
2022-12-31,,534000000.0,534000000.0,31316000000.0,38945000000.0,-27948000000.0,42606000000.0,6499000000.0,-27948000000.0,3661000000.0,41015000000.0,3661000000.0,3661000000.0,-231000000.0,117000000.0,-348000000.0,0.0,-28622000000.0,32514000000.0,32514000000.0,61460000000.0,45773000000.0,2651000000.0,5757000000.0,11000000.0,11000000.0,37354000000.0,37354000000.0,15687000000.0,1591000000.0,1591000000.0,1099000000.0,548000000.0,12997000000.0,9093000000.0,470000000.0,3904000000.0,1137000000.0,1195000000.0,1195000000.0,1572000000.0,65121000000.0,42935000000.0,5899000000.0,31609000000.0,16080000000.0,15529000000.0,5427000000.0,-9283000000.0,14710000000.0,1213000000.0,4684000000.0,4320000000.0,4201000000.0,292000000.0,0.0,22186000000.0,355000000.0,1204000000.0,4930000000.0,1004000000.0,3098000000.0,828000000.0,6392000000.0,700000000.0,129000000.0,5563000000.0,9305000000.0,1676000000.0,7629000000.0
2021-12-31,,558300000.0,558300000.0,25320000000.0,33309000000.0,-23372000000.0,40009000000.0,7201000000.0,-23372000000.0,6700000000.0,39922000000.0,6700000000.0,6700000000.0,-796000000.0,48000000.0,-844000000.0,0.0,-24600000000.0,32096000000.0,32096000000.0,54465000000.0,42281000000.0,2465000000.0,6594000000.0,,,33222000000.0,33222000000.0,12184000000.0,87000000.0,87000000.0,1081000000.0,542000000.0,10474000000.0,7324000000.0,,3150000000.0,1083000000.0,701000000.0,701000000.0,1366000000.0,61165000000.0,41780000000.0,6524000000.0,30072000000.0,15182000000.0,14890000000.0,5184000000.0,-8798000000.0,13982000000.0,987000000.0,4457000000.0,4231000000.0,4028000000.0,279000000.0,0.0,19385000000.0,200000000.0,1223000000.0,4086000000.0,1072000000.0,2367000000.0,647000000.0,5839000000.0,780000000.0,164000000.0,4895000000.0,8037000000.0,48000000.0,7989000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4381000000.0,
