,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,-46950000.0,0.15,37922000000.0,-313000000.0,-313000000.0,16192000000.0,14802000000.0,37025000000.0,37609000000.0,22807000000.0,-4134000000.0,4134000000.0,16458050000.0,16192000000.0,100433000000.0,23297000000.0,3908000000.0,3787746392.0,4.14,4.274837,16192000000.0,16192000000.0,16192000000.0,315000000.0,15877000000.0,15877000000.0,2796000000.0,18673000000.0,-491000000.0,502000000.0,0.0,0.0,-680000000.0,-313000000.0,-4134000000.0,4134000000.0,23298000000.0,63407000000.0,40533000000.0,14801000000.0,14801000000.0,6072000000.0,6072000000.0,8729000000.0,8073000000.0,8073000000.0,,,86705000000.0,37026000000.0,123731000000.0,123731000000.0
2023-12-31,-34060000.0,0.262,39031000000.0,-130000000.0,-130000000.0,15388000000.0,14336000000.0,36762000000.0,38901000000.0,24565000000.0,-4087000000.0,4087000000.0,15483940000.0,15388000000.0,98259000000.0,23314000000.0,4148000000.0,3978762306.0,3.71,3.867534,15388000000.0,15388000000.0,15388000000.0,282000000.0,15107000000.0,15107000000.0,5371000000.0,20478000000.0,1251000000.0,592000000.0,0.0,0.0,789000000.0,-130000000.0,-4087000000.0,4087000000.0,23313000000.0,61497000000.0,39190000000.0,14336000000.0,14336000000.0,5482000000.0,5482000000.0,8854000000.0,7971000000.0,7971000000.0,39190000000.0,39190000000.0,84810000000.0,36762000000.0,121572000000.0,121572000000.0
2022-12-31,-1869630000.0,0.21,35904000000.0,-8903000000.0,-8903000000.0,5370000000.0,13821000000.0,38213000000.0,27001000000.0,13180000000.0,-3896000000.0,3896000000.0,12403370000.0,5370000000.0,98803000000.0,14041000000.0,4430000000.0,4220119392.0,1.21,1.272476,5370000000.0,5370000000.0,5370000000.0,445000000.0,4925000000.0,4925000000.0,4359000000.0,9284000000.0,-9443000000.0,-3000000.0,-8583000000.0,8583000000.0,-537000000.0,-320000000.0,-3896000000.0,3896000000.0,22624000000.0,60590000000.0,38263000000.0,13821000000.0,13821000000.0,5097000000.0,5097000000.0,8724000000.0,8506000000.0,8506000000.0,38263000000.0,38263000000.0,83214000000.0,38213000000.0,121427000000.0,121427000000.0
2021-12-31,151492693.657361,0.275441,36839000000.0,339000000.0,339000000.0,14159000000.0,13804000000.0,38450000000.0,37178000000.0,23374000000.0,-4281000000.0,4281000000.0,13760492693.65736,14159000000.0,95568000000.0,20817000000.0,4654000000.0,4533230325.0,3.04,3.12338,14159000000.0,14159000000.0,14159000000.0,325000000.0,13833000000.0,13834000000.0,5259000000.0,19093000000.0,2556000000.0,211000000.0,0.0,0.0,2006000000.0,339000000.0,-4281000000.0,4281000000.0,20817000000.0,57118000000.0,35619000000.0,13804000000.0,13804000000.0,5176000000.0,5176000000.0,8628000000.0,7695000000.0,7695000000.0,35619000000.0,35619000000.0,77935000000.0,38450000000.0,116385000000.0,116385000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33109000000.0,33109000000.0,,,,
