,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-06-30,-15855000.0,0.21,184100000.0,-75500000.0,-75500000.0,-118900000.0,89700000.0,1167800000.0,108600000.0,18900000.0,-101800000.0,134500000.0,32700000.0,-59255000.0,-118900000.0,2429100000.0,-36200000.0,,,,,-118900000.0,-118900000.0,,-118900000.0,-119000000.0,-119000000.0,3400000.0,-115600000.0,-75400000.0,100000.0,-97900000.0,,64100000.0,33800000.0,22400000.0,-101800000.0,134500000.0,32700000.0,61700000.0,1206600000.0,23500000.0,35000000.0,35000000.0,234200000.0,913900000.0,404200000.0,509700000.0,509700000.0,,1268300000.0,1222500000.0,2490800000.0,2490800000.0
2024-06-30,0.0,0.0,-261000000.0,-69800000.0,-69800000.0,-551900000.0,108800000.0,1432300000.0,-330800000.0,-439600000.0,-77400000.0,112500000.0,35100000.0,-482100000.0,-551900000.0,3106100000.0,-529000000.0,365546334.0,365546334.0,-1.51,-1.51,-551900000.0,-551900000.0,,-551900000.0,-551900000.0,-551900000.0,-200000.0,-552100000.0,-69100000.0,700000.0,-69800000.0,-53600000.0,57300000.0,66100000.0,,-77400000.0,112500000.0,35100000.0,-405600000.0,1612100000.0,-2600000.0,47100000.0,47100000.0,304800000.0,1262800000.0,635500000.0,627300000.0,627300000.0,,1206500000.0,1494000000.0,2700400000.0,2700400000.0
2023-06-30,-68649000.0,0.21,-709700000.0,-326900000.0,-326900000.0,-1261700000.0,124300000.0,1809800000.0,-1036600000.0,-1160900000.0,-70700000.0,97100000.0,26400000.0,-1003449000.0,-1261700000.0,3663400000.0,-1197100000.0,346670699.0,346670699.0,-3.64,-3.64,-1261700000.0,-1261700000.0,,-1261700000.0,-1261700000.0,-1261700000.0,3700000.0,-1258000000.0,-324000000.0,2900000.0,-333900000.0,22000000.0,144500000.0,189400000.0,7000000.0,-70700000.0,97100000.0,26400000.0,-863200000.0,1786700000.0,22000000.0,57400000.0,57400000.0,318400000.0,1388900000.0,617100000.0,771800000.0,771800000.0,196100000.0,923500000.0,1876700000.0,2800300000.0,2800300000.0
2022-06-30,-164829000.0,0.21,-1837400000.0,-784900000.0,-784900000.0,-2827700000.0,142800000.0,2816300000.0,-2622300000.0,-2765100000.0,-40700000.0,43000000.0,2300000.0,-2207629000.0,-2827700000.0,5563200000.0,-2734000000.0,322368818.0,322368818.0,-8.74,-8.74,-2827700000.0,-2827700000.0,,-2827700000.0,-2827700000.0,-2827700000.0,19600000.0,-2808100000.0,-786400000.0,-1500000.0,-753100000.0,337600000.0,572400000.0,180700000.0,-31800000.0,-40700000.0,43000000.0,2300000.0,-1981000000.0,2679400000.0,337600000.0,75300000.0,75300000.0,359500000.0,1907000000.0,989300000.0,917700000.0,917700000.0,182900000.0,698400000.0,2883800000.0,3582200000.0,3582200000.0
2021-06-30,,,,,,,,,,,,,,,,,,293892643.0,293892643.0,-0.64,-0.64,,,0.0,,,,,,,,,,,,-3500000.0,,,,,,,,,,,,,,128300000.0,,,,
