,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Dividends Payable,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investments And Advances,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Inventories Adjustments Allowances,Other Inventories,Finished Goods,Work In Process,Raw Materials,Receivables,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2024-12-31,50365000.0,897538000.0,947903000.0,30375800000.0,33644200000.0,2255500000.0,47836300000.0,4363100000.0,2255500000.0,14192100000.0,42719200000.0,14271600000.0,79500000.0,14192100000.0,-3013200000.0,-4321900000.0,-4321900000.0,49500000.0,13545000000.0,7439300000.0,592400000.0,592400000.0,64443300000.0,36066700000.0,2178200000.0,1300500000.0,1300500000.0,4060900000.0,,,28527100000.0,28527100000.0,28376600000.0,5051400000.0,5117100000.0,5117100000.0,2093900000.0,16114200000.0,11539300000.0,4574900000.0,1346300000.0,,,3228600000.0,78714900000.0,45975200000.0,5719700000.0,8000600000.0,8000600000.0,3215900000.0,1209400000.0,211400000.0,998000000.0,2006500000.0,11936600000.0,6166300000.0,5770300000.0,17102400000.0,-11789000000.0,28891400000.0,8244800000.0,11457800000.0,,8806800000.0,382000000.0,0.0,32739700000.0,111400000.0,8340500000.0,7589200000.0,62900000.0,62900000.0,1220800000.0,3979500000.0,2326000000.0,13275400000.0,2269700000.0,11005700000.0,-14900000.0,11020600000.0,3423200000.0,154800000.0,3268400000.0,,
2023-12-31,50402000.0,899379000.0,949781000.0,22406700000.0,25225300000.0,-1074400000.0,35997200000.0,-1566200000.0,-1074400000.0,10771900000.0,29092700000.0,10863700000.0,91800000.0,10771900000.0,-3013200000.0,-4327000000.0,-4327000000.0,44200000.0,10312300000.0,7250400000.0,593600000.0,593600000.0,53142600000.0,25849400000.0,2240600000.0,1438800000.0,1438800000.0,3849200000.0,,,18320800000.0,18320800000.0,27293200000.0,3281300000.0,6904500000.0,6904500000.0,1650400000.0,15457000000.0,11689000000.0,3768000000.0,1169200000.0,,,2598800000.0,64006300000.0,38279300000.0,4989900000.0,5477300000.0,5477300000.0,3052200000.0,1481900000.0,214300000.0,1267600000.0,1570300000.0,11846300000.0,6906600000.0,4939700000.0,12913600000.0,-11099300000.0,24012900000.0,5084100000.0,10329000000.0,,8280000000.0,319800000.0,0.0,25727000000.0,149500000.0,5540800000.0,5772800000.0,102400000.0,102400000.0,791700000.0,3248600000.0,1630100000.0,11336200000.0,2245700000.0,9090500000.0,-14800000.0,9105300000.0,2927700000.0,109100000.0,2818600000.0,1088400000.0,1730200000.0
2022-12-31,450000.0,950182000.0,950632000.0,14171600000.0,16238600000.0,-629800000.0,26888400000.0,896300000.0,-629800000.0,10649800000.0,25387300000.0,10775400000.0,125600000.0,10649800000.0,-3013200000.0,-3844600000.0,-3844600000.0,50500000.0,10042600000.0,6921400000.0,594100000.0,594100000.0,38714400000.0,21576200000.0,1824000000.0,1305100000.0,1305100000.0,3709600000.0,87300000.0,87300000.0,14737500000.0,14737500000.0,17138200000.0,2845400000.0,1501100000.0,1501100000.0,1059800000.0,11731900000.0,8784100000.0,2947800000.0,1017200000.0,475100000.0,475100000.0,1930600000.0,49489800000.0,31455300000.0,4337000000.0,2792900000.0,2792900000.0,2901800000.0,1642300000.0,213900000.0,1428400000.0,1259500000.0,11279600000.0,7206600000.0,4073000000.0,10144000000.0,-10233400000.0,20377400000.0,2798600000.0,9406300000.0,,7915900000.0,256600000.0,0.0,18034500000.0,7300000.0,2946800000.0,4309700000.0,8900000.0,8900000.0,901200000.0,2597700000.0,801900000.0,8558900000.0,1662900000.0,6896000000.0,-16000000.0,6912000000.0,2211800000.0,144800000.0,2067000000.0,657400000.0,1409600000.0
2021-12-31,463000.0,953653000.0,954116000.0,13066200000.0,16884700000.0,-2604700000.0,25863900000.0,3399700000.0,-2604700000.0,8979200000.0,24325600000.0,9154800000.0,175600000.0,8979200000.0,-3013200000.0,-4343100000.0,-4343100000.0,52700000.0,8958500000.0,6833400000.0,596300000.0,596300000.0,39651200000.0,24598500000.0,1644300000.0,1954100000.0,1954100000.0,3920000000.0,1733700000.0,1733700000.0,15346400000.0,15346400000.0,15052700000.0,3027500000.0,1538300000.0,1538300000.0,958100000.0,9528800000.0,6845800000.0,2683000000.0,885500000.0,126900000.0,126900000.0,1670600000.0,48806000000.0,30353600000.0,4082700000.0,2489300000.0,2489300000.0,3212600000.0,1893000000.0,235300000.0,1657700000.0,1319600000.0,11583900000.0,7691900000.0,3892000000.0,8985100000.0,-9976700000.0,18961800000.0,2177800000.0,8937200000.0,,7588100000.0,258700000.0,0.0,18452400000.0,2530600000.0,2530600000.0,3886000000.0,34200000.0,34200000.0,761900000.0,2372700000.0,717200000.0,8127200000.0,1454400000.0,6672800000.0,-22500000.0,6695300000.0,3908600000.0,90100000.0,3818500000.0,2379500000.0,1439000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2099900000.0,2099900000.0,,,,,,,,,,,,495100000.0,495100000.0,,,,,,,,,,,,,,,,,,,,8560900000.0,,,,,,,,,,,,,,,,,,,,,2097900000.0,1559200000.0
