,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Preferred Stock Dividends,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,-67500000.0,0.3,21979000000.0,-225000000.0,-225000000.0,6008000000.0,12389000000.0,164037000000.0,21754000000.0,9365000000.0,121000000.0,846000000.0,967000000.0,6165500000.0,6008000000.0,174658000000.0,12784000000.0,1129000000.0,1115000000.0,6.37,6.45,7189000000.0,7189000000.0,-1181000000.0,6008000000.0,45000000.0,5963000000.0,,5963000000.0,2556000000.0,8519000000.0,-4386000000.0,514000000.0,-4675000000.0,-225000000.0,121000000.0,846000000.0,967000000.0,12784000000.0,10621000000.0,10621000000.0,23405000000.0,164037000000.0,187442000000.0,187442000000.0
2023-12-31,-4158000.0,0.054,23279000000.0,-77000000.0,-77000000.0,10127000000.0,11888000000.0,152704000000.0,23202000000.0,11314000000.0,198000000.0,911000000.0,1109000000.0,10199842000.0,10127000000.0,162544000000.0,9298000000.0,1369000000.0,1364000000.0,7.32,7.35,10022000000.0,10022000000.0,106000000.0,10127000000.0,287000000.0,9840000000.0,,9840000000.0,563000000.0,10403000000.0,908000000.0,505000000.0,480000000.0,-77000000.0,198000000.0,911000000.0,1109000000.0,9298000000.0,9840000000.0,9840000000.0,19138000000.0,152704000000.0,171842000000.0,171842000000.0
2022-12-31,-38468000.0,0.163,24110000000.0,-236000000.0,-236000000.0,9934000000.0,11290000000.0,135754000000.0,23874000000.0,12584000000.0,-527000000.0,987000000.0,460000000.0,10131532000.0,9934000000.0,146421000000.0,10315000000.0,1454000000.0,1445000000.0,6.13,6.17,8915000000.0,8915000000.0,1019000000.0,9934000000.0,226000000.0,9708000000.0,,9708000000.0,1888000000.0,11597000000.0,1809000000.0,1208000000.0,837000000.0,-236000000.0,-527000000.0,987000000.0,460000000.0,10314000000.0,10667000000.0,10667000000.0,20981000000.0,135754000000.0,156735000000.0,156735000000.0
2021-12-31,124478000.0,0.218,25146000000.0,571000000.0,571000000.0,10019000000.0,12051000000.0,109126000000.0,25717000000.0,13666000000.0,-804000000.0,950000000.0,146000000.0,9572478000.0,10019000000.0,117680000000.0,9324000000.0,1468000000.0,1451000000.0,6.7,6.78,9837000000.0,9837000000.0,182000000.0,10019000000.0,74000000.0,9945000000.0,,9945000000.0,2771000000.0,12716000000.0,4196000000.0,2324000000.0,1301000000.0,571000000.0,-804000000.0,950000000.0,146000000.0,9324000000.0,8554000000.0,8554000000.0,17878000000.0,109126000000.0,127004000000.0,127004000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
