,Free Cash Flow,Issuance Of Capital Stock,Capital Expenditure,End Cash Position,Other Cash Adjustment Outside Changein Cash,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Net Other Financing Charges,Interest Paid Cff,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Issuance,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Investing Cash Flow,Net Other Investing Changes,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Taxes Refund Paid,Change In Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Other Non Cash Items,Provisionand Write Offof Assets,Depreciation And Amortization,Depreciation,Gain Loss On Investment Securities,Gain Loss On Sale Of PPE,Net Income From Continuing Operations
2025-03-31,204738700000.0,49875700000.0,-16014100000.0,1507595800000.0,,1314001900000.0,193593900000.0,-11382600000.0,676500000.0,-31163300000.0,-16516500000.0,-16516500000.0,49875700000.0,49875700000.0,-14255000000.0,-14255000000.0,-15776300000.0,-100000.0,81500000.0,81500000.0,,-15857700000.0,156400000.0,-16014100000.0,220752800000.0,-51165300000.0,-28570900000.0,39741700000.0,-193466700000.0,31163300000.0,15607000000.0,9575100000.0,9575100000.0,4600000.0,-40700000.0,270932000000.0
2024-03-31,-291144400000.0,0.0,-11750000000.0,1314001900000.0,,1573284800000.0,-259282900000.0,35175700000.0,1014000000.0,-29701100000.0,-7157200000.0,-7157200000.0,0.0,0.0,71020000000.0,71020000000.0,-15064200000.0,,-3627700000.0,,-3627700000.0,-11436500000.0,313500000.0,-11750000000.0,-279394400000.0,-18747100000.0,-556249300000.0,43237900000.0,629000000.0,29701000000.0,131265000000.0,9056000000.0,9056000000.0,,-66600000.0,141100000000.0
2023-03-31,220397100000.0,0.0,-5523900000.0,1573284800000.0,-100000.0,1341938800000.0,231346100000.0,12749800000.0,-140900000.0,-24679400000.0,-7047100000.0,-7047100000.0,0.0,0.0,44617200000.0,44617200000.0,-7324700000.0,,-1800800000.0,,-1800800000.0,-5523900000.0,,-5523900000.0,225921000000.0,-12041500000.0,-42894100000.0,936200000.0,11300000000.0,24679400000.0,178975600000.0,9048700000.0,9048700000.0,,-25800000.0,51405300000.0
2022-03-31,194959400000.0,17930500000.0,-5363900000.0,1341938800000.0,,1133344300000.0,208594500000.0,20315000000.0,-133200000.0,-22022500000.0,,,17930500000.0,17930500000.0,24540200000.0,24540200000.0,-12043800000.0,-100000.0,-6679900000.0,,,-5363900000.0,,-5363900000.0,200323300000.0,-16291200000.0,-28707100000.0,42864700000.0,9387400000.0,22022500000.0,160955900000.0,8961700000.0,8961700000.0,,-144000000.0,47793000000.0
2021-03-31,,,,,297108200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
