,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,-7770000.0,0.185,14278000000.0,-42000000.0,-42000000.0,5879000000.0,5867000000.0,169486000000.0,14236000000.0,8369000000.0,404000000.0,1136000000.0,1540000000.0,5913230000.0,5879000000.0,179773000000.0,5219000000.0,4021000000.0,3978000000.0,1.46,1.48,5879000000.0,5879000000.0,5879000000.0,-15000000.0,5894000000.0,5894000000.0,1339000000.0,7233000000.0,1610000000.0,896000000.0,,,756000000.0,-42000000.0,404000000.0,1136000000.0,1540000000.0,5219000000.0,10287000000.0,,10287000000.0,15506000000.0,169486000000.0,184992000000.0,184992000000.0
2023-12-31,-43050000.0,0.21,12013000000.0,-205000000.0,-205000000.0,4347000000.0,6523000000.0,160031000000.0,11808000000.0,5285000000.0,249000000.0,1318000000.0,1567000000.0,4508950000.0,4347000000.0,170733000000.0,5458000000.0,4041000000.0,3998000000.0,1.08,1.09,4347000000.0,4347000000.0,4347000000.0,18000000.0,4329000000.0,4329000000.0,-362000000.0,3967000000.0,-1740000000.0,-1958000000.0,0.0,,423000000.0,-205000000.0,249000000.0,1318000000.0,1567000000.0,5458000000.0,10702000000.0,,10702000000.0,16160000000.0,160031000000.0,176191000000.0,176191000000.0
2022-12-31,-2150148000.0,0.286,12277000000.0,-7518000000.0,-7518000000.0,-1981000000.0,6493000000.0,140893000000.0,4759000000.0,-1734000000.0,-643000000.0,1282000000.0,639000000.0,3386852000.0,-1981000000.0,151781000000.0,6276000000.0,4014000000.0,4014000000.0,-0.49,-0.49,-1981000000.0,-1981000000.0,-1981000000.0,171000000.0,-2152000000.0,-2152000000.0,-864000000.0,-3016000000.0,-8649000000.0,1899000000.0,-121000000.0,121000000.0,-3030000000.0,-7518000000.0,-643000000.0,1282000000.0,639000000.0,6276000000.0,10888000000.0,,10888000000.0,17164000000.0,140893000000.0,158057000000.0,158057000000.0
2021-12-31,2013390000.0,0.27,18086000000.0,7457000000.0,7457000000.0,17937000000.0,5960000000.0,119903000000.0,25543000000.0,19583000000.0,-1542000000.0,1803000000.0,261000000.0,12493390000.0,17937000000.0,131818000000.0,4523000000.0,4034000000.0,3991000000.0,4.45,4.49,17937000000.0,17937000000.0,17937000000.0,27000000.0,17910000000.0,17910000000.0,-130000000.0,17780000000.0,14799000000.0,6647000000.0,-1702000000.0,1702000000.0,695000000.0,9159000000.0,-1542000000.0,1803000000.0,261000000.0,4523000000.0,11915000000.0,,11915000000.0,16438000000.0,119903000000.0,136341000000.0,136341000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000000.0,1000000.0,,,,,,,,8607000000.0,,,,,
