,Free Cash Flow,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,End Cash Position,Other Cash Adjustment Outside Changein Cash,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Preferred Stock Issuance,Preferred Stock Issuance,Net Common Stock Issuance,Common Stock Issuance,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Accrued Expense,Change In Payable,Change In Account Payable,Change In Prepaid Assets,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Asset Impairment Charge,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Gain Loss On Investment Securities,Net Income From Continuing Operations
2024-12-31,-14398000000.0,-8673000000.0,10161000000.0,23857000000.0,-2318000000.0,13801000000.0,-21000000.0,12713000000.0,-47000000.0,1156000000.0,25209000000.0,25209000000.0,-136000000.0,,,,5657000000.0,5657000000.0,18200000000.0,18200000000.0,1488000000.0,1488000000.0,-8673000000.0,10161000000.0,-11973000000.0,-11973000000.0,-665000000.0,-9113000000.0,4743000000.0,-13856000000.0,74000000.0,124000000.0,-50000000.0,-88000000.0,-88000000.0,-2181000000.0,49000000.0,-2230000000.0,-12080000000.0,-12080000000.0,-8768000000.0,2745000000.0,-329000000.0,-16000000.0,770000000.0,1563000000.0,-793000000.0,-793000000.0,,-12353000000.0,415000000.0,-37000000.0,2129000000.0,407000000.0,112000000.0,1836000000.0,1836000000.0,4033000000.0,4079000000.0,-11829000000.0
2023-12-31,4433000000.0,-5216000000.0,75000000.0,,-1527000000.0,12691000000.0,-22000000.0,14647000000.0,30000000.0,-1964000000.0,-5487000000.0,-5487000000.0,-391000000.0,45000000.0,,,,,,,-5141000000.0,-5141000000.0,-5216000000.0,75000000.0,-2437000000.0,-2437000000.0,-158000000.0,-709000000.0,15739000000.0,-16448000000.0,-70000000.0,,-70000000.0,,,-1500000000.0,27000000.0,-1527000000.0,5960000000.0,5960000000.0,4089000000.0,2479000000.0,-313000000.0,389000000.0,2451000000.0,779000000.0,1672000000.0,1672000000.0,,-1681000000.0,764000000.0,-128000000.0,1518000000.0,690000000.0,46000000.0,1861000000.0,1861000000.0,-2000000.0,,-2242000000.0
2022-12-31,2290000000.0,-1310000000.0,34000000.0,,-1222000000.0,14614000000.0,-33000000.0,8104000000.0,-73000000.0,6616000000.0,-1266000000.0,-1266000000.0,-40000000.0,50000000.0,,,,,,,-1276000000.0,-1276000000.0,-1310000000.0,34000000.0,4370000000.0,4370000000.0,-11000000.0,5568000000.0,10619000000.0,-5051000000.0,,,,,,-1187000000.0,35000000.0,-1222000000.0,3512000000.0,3512000000.0,4139000000.0,384000000.0,-158000000.0,-591000000.0,3794000000.0,2956000000.0,838000000.0,838000000.0,,420000000.0,290000000.0,142000000.0,1616000000.0,725000000.0,112000000.0,1979000000.0,1979000000.0,-6000000.0,,-5053000000.0
2021-12-31,-4396000000.0,-15371000000.0,9795000000.0,,-980000000.0,8052000000.0,-52000000.0,7835000000.0,-39000000.0,308000000.0,-5600000000.0,-5600000000.0,-66000000.0,42000000.0,,,,,,,-5576000000.0,-5576000000.0,-15371000000.0,9795000000.0,9324000000.0,9324000000.0,5000000.0,9776000000.0,45489000000.0,-35713000000.0,-6000000.0,,-6000000.0,,,-451000000.0,529000000.0,-980000000.0,-3416000000.0,-3416000000.0,-6977000000.0,2570000000.0,-206000000.0,345000000.0,-7470000000.0,-3687000000.0,-3783000000.0,-3783000000.0,2505000000.0,-1127000000.0,-1089000000.0,-713000000.0,1593000000.0,833000000.0,98000000.0,2144000000.0,2144000000.0,3183000000.0,3460000000.0,-4290000000.0
2020-12-31,,,,,,,,,,,,,,36000000.0,-1158000000.0,-1158000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1060000000.0,,,,,,,,,,6493000000.0,
