,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Preferred Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Foreign Currency Translation Adjustments,Minimum Pension Liabilities,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Non Current Accounts Receivable,Investments And Advances,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Receivables Adjustments Allowances,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2024-12-31,263044840.0,749216319.0,1012261159.0,39824000000.0,54188000000.0,-13955000000.0,49711000000.0,30920000000.0,-13949000000.0,563000000.0,-3914000000.0,6000000.0,48525000000.0,-3914000000.0,-6000000.0,-3908000000.0,-10915000000.0,-10915000000.0,,,32386000000.0,15362000000.0,18964000000.0,5067000000.0,5061000000.0,6000000.0,160277000000.0,63199000000.0,2318000000.0,8173000000.0,8173000000.0,122000000.0,122000000.0,52586000000.0,153000000.0,52433000000.0,97078000000.0,7634000000.0,60333000000.0,60333000000.0,1602000000.0,410000000.0,1192000000.0,1192000000.0,6562000000.0,2133000000.0,18814000000.0,7450000000.0,796000000.0,11364000000.0,,,11364000000.0,156363000000.0,28365000000.0,5414000000.0,185000000.0,185000000.0,,999000000.0,10041000000.0,1957000000.0,8084000000.0,11726000000.0,-22925000000.0,34651000000.0,2339000000.0,314000000.0,16660000000.0,14985000000.0,353000000.0,0.0,127998000000.0,2965000000.0,87550000000.0,75192000000.0,,12358000000.0,11201000000.0,-92000000.0,8576000000.0,2717000000.0,26282000000.0,12481000000.0,13801000000.0
2023-12-31,402746136.0,609515023.0,1012261159.0,39363000000.0,52603000000.0,-27420000000.0,34821000000.0,13448000000.0,-27420000000.0,549000000.0,-17233000000.0,,29694000000.0,-17228000000.0,5000000.0,-17233000000.0,-10305000000.0,-10305000000.0,-134000000.0,-10185000000.0,49549000000.0,27251000000.0,10309000000.0,5061000000.0,5061000000.0,,154240000000.0,58413000000.0,2332000000.0,8749000000.0,8749000000.0,229000000.0,229000000.0,47103000000.0,176000000.0,46927000000.0,95827000000.0,4699000000.0,56328000000.0,56328000000.0,5500000000.0,373000000.0,5127000000.0,5127000000.0,7194000000.0,2448000000.0,19658000000.0,7694000000.0,652000000.0,11964000000.0,,,11964000000.0,137012000000.0,27737000000.0,4935000000.0,59000000.0,59000000.0,,1035000000.0,10187000000.0,2094000000.0,8093000000.0,11521000000.0,-22245000000.0,33766000000.0,1679000000.0,860000000.0,16055000000.0,14795000000.0,377000000.0,0.0,109275000000.0,2504000000.0,79741000000.0,68683000000.0,,11058000000.0,11065000000.0,-89000000.0,8441000000.0,2713000000.0,15965000000.0,3274000000.0,12691000000.0
2022-12-31,414671383.0,597589776.0,1012261159.0,42181000000.0,57277000000.0,-26251000000.0,40912000000.0,19471000000.0,-26251000000.0,482000000.0,-15883000000.0,,35787000000.0,-15848000000.0,35000000.0,-15883000000.0,-9550000000.0,-9550000000.0,-167000000.0,-9359000000.0,50814000000.0,29473000000.0,9947000000.0,5061000000.0,5061000000.0,,152948000000.0,62896000000.0,2211000000.0,8644000000.0,8644000000.0,230000000.0,230000000.0,51811000000.0,141000000.0,51670000000.0,90052000000.0,4060000000.0,53081000000.0,53081000000.0,5466000000.0,341000000.0,5125000000.0,5125000000.0,6845000000.0,2275000000.0,18325000000.0,8125000000.0,599000000.0,10200000000.0,,,10200000000.0,137100000000.0,27577000000.0,4163000000.0,63000000.0,63000000.0,1450000000.0,983000000.0,10368000000.0,2311000000.0,8057000000.0,12000000000.0,-21442000000.0,33442000000.0,1368000000.0,1450000000.0,15844000000.0,14404000000.0,376000000.0,0.0,109523000000.0,2847000000.0,78151000000.0,67702000000.0,9073000000.0,10449000000.0,11305000000.0,-116000000.0,8793000000.0,2628000000.0,17220000000.0,2606000000.0,14614000000.0
2021-12-31,423343707.0,588917452.0,1012261159.0,49870000000.0,58370000000.0,-25629000000.0,42923000000.0,26674000000.0,-25629000000.0,448000000.0,-14999000000.0,,41688000000.0,-14846000000.0,153000000.0,-14999000000.0,-11659000000.0,-11659000000.0,-105000000.0,-11561000000.0,51861000000.0,34408000000.0,9052000000.0,5061000000.0,5061000000.0,,153398000000.0,71406000000.0,1750000000.0,12632000000.0,12632000000.0,218000000.0,218000000.0,56806000000.0,119000000.0,56687000000.0,81992000000.0,2014000000.0,52980000000.0,52980000000.0,1564000000.0,329000000.0,1235000000.0,1235000000.0,6573000000.0,1900000000.0,16961000000.0,7700000000.0,641000000.0,9261000000.0,5000000.0,5000000.0,9261000000.0,138552000000.0,29886000000.0,5591000000.0,77000000.0,77000000.0,1695000000.0,975000000.0,10630000000.0,2562000000.0,8068000000.0,10918000000.0,-20538000000.0,31456000000.0,1235000000.0,,15692000000.0,14152000000.0,377000000.0,0.0,108666000000.0,2221000000.0,78823000000.0,68106000000.0,9845000000.0,10717000000.0,11378000000.0,-390000000.0,8742000000.0,3026000000.0,16244000000.0,8192000000.0,8052000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43000000.0,43000000.0,,,,,,,1936000000.0,,,,,,,,,,,,,,,,,,10739000000.0,,,,,,,,
