,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Capital Expenditure Reported,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Prepaid Assets,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Gain Loss On Investment Securities,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2025-01-31,12434000000.0,-7829000000.0,-1603000000.0,,-658000000.0,233000000.0,2061000000.0,8848000000.0,8472000000.0,-124000000.0,500000000.0,-9429000000.0,-9429000000.0,,1540000000.0,-1537000000.0,-1537000000.0,-7829000000.0,-7829000000.0,-1603000000.0,-1603000000.0,-1603000000.0,,-3163000000.0,-3163000000.0,229000000.0,7647000000.0,-7418000000.0,-2734000000.0,-2734000000.0,-658000000.0,13092000000.0,13092000000.0,-1981000000.0,-537000000.0,-548000000.0,1089000000.0,1089000000.0,1089000000.0,-1495000000.0,-490000000.0,-490000000.0,2095000000.0,3183000000.0,,,3477000000.0,3477000000.0,121000000.0,121000000.0,,6197000000.0
2024-01-31,9498000000.0,-7620000000.0,-1811000000.0,0.0,-736000000.0,254000000.0,1027000000.0,8472000000.0,7016000000.0,26000000.0,1430000000.0,-7477000000.0,-7477000000.0,,1954000000.0,0.0,0.0,-7620000000.0,-7620000000.0,-1811000000.0,-1811000000.0,-1811000000.0,0.0,-1327000000.0,-1327000000.0,-509000000.0,3748000000.0,-4257000000.0,-82000000.0,-82000000.0,-736000000.0,10234000000.0,10234000000.0,-2850000000.0,-249000000.0,-621000000.0,-478000000.0,-478000000.0,-478000000.0,-843000000.0,-659000000.0,-659000000.0,1925000000.0,2787000000.0,,,3959000000.0,3959000000.0,277000000.0,277000000.0,,4136000000.0
2023-01-31,6313000000.0,-4000000000.0,-423000000.0,0.0,-798000000.0,275000000.0,510000000.0,7016000000.0,5464000000.0,-8000000.0,1560000000.0,-3562000000.0,-3562000000.0,,861000000.0,0.0,0.0,-4000000000.0,-4000000000.0,-423000000.0,-423000000.0,-423000000.0,0.0,-1989000000.0,-1989000000.0,-752000000.0,4575000000.0,-5327000000.0,-439000000.0,-439000000.0,-798000000.0,7111000000.0,7111000000.0,-2069000000.0,-601000000.0,-699000000.0,528000000.0,528000000.0,528000000.0,-302000000.0,-995000000.0,-995000000.0,1668000000.0,3279000000.0,0.0,0.0,3786000000.0,3786000000.0,239000000.0,239000000.0,,208000000.0
2022-01-31,5283000000.0,0.0,-1357000000.0,7906000000.0,-717000000.0,187000000.0,196000000.0,5464000000.0,6195000000.0,-33000000.0,-698000000.0,7838000000.0,7838000000.0,,1289000000.0,,,0.0,0.0,6549000000.0,6549000000.0,-1357000000.0,7906000000.0,-14536000000.0,-14536000000.0,1057000000.0,8449000000.0,-7392000000.0,-14876000000.0,-14876000000.0,-717000000.0,6000000000.0,6000000000.0,-1658000000.0,346000000.0,-801000000.0,507000000.0,507000000.0,507000000.0,114000000.0,-1824000000.0,-1824000000.0,1348000000.0,2779000000.0,0.0,0.0,3298000000.0,3298000000.0,-1211000000.0,-1211000000.0,0.0,1444000000.0
2021-01-31,,,,,,,,,,,,,,-103000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2003000000.0,-2003000000.0,,,,,0.0,
