,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Liabilities Heldfor Sale Non Current,Preferred Securities Outside Stock Equity,Derivative Product Liabilities,Non Current Accrued Expenses,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Defined Pension Benefit,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Financial Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investments In Other Ventures Under Equity Method,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Current Deferred Assets,Restricted Cash,Prepaid Assets,Inventory,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2025-03-31,2160138945.0,2160138945.0,422543300000.0,513048200000.0,427362900000.0,1080960400000.0,-20418700000.0,427362900000.0,56441700000.0,624353900000.0,981166900000.0,649733400000.0,25379500000.0,624353900000.0,1665300000.0,463326600000.0,104802300000.0,4320300000.0,4320300000.0,703588900000.0,493729000000.0,21425400000.0,,1493800000.0,111600000.0,1315300000.0,153200000.0,21919800000.0,46532600000.0,410709100000.0,53896100000.0,356813000000.0,11493600000.0,209859900000.0,4776500000.0,102339100000.0,2545600000.0,99793500000.0,,2367700000.0,79916800000.0,17159100000.0,30900000.0,1448400000.0,61278400000.0,1353322300000.0,1163881100000.0,200000.0,6800000000.0,12013100000.0,342700000.0,18895800000.0,0.0,26822500000.0,,24010100000.0,2812400000.0,30826400000.0,,,14591600000.0,196991000000.0,126055100000.0,70935900000.0,819227400000.0,-189420300000.0,1008647700000.0,133507900000.0,201477200000.0,386788300000.0,125956400000.0,160917900000.0,0.0,189441200000.0,18003900000.0,1199700000.0,1867500000.0,2400000.0,12852300000.0,51620600000.0,5218000000.0,,5218000000.0,10811000000.0,0.0,44323600000.0,-1999000000.0,46322600000.0,60983400000.0,26920200000.0,34063200000.0,22950100000.0,11113100000.0
2024-03-31,2160138945.0,2160138945.0,445664500000.0,491666600000.0,347552000000.0,990869500000.0,10094200000.0,347552000000.0,30244800000.0,529447700000.0,904706500000.0,545430000000.0,15982300000.0,529447700000.0,1665300000.0,371956900000.0,104822700000.0,4320300000.0,4320300000.0,643748700000.0,479119300000.0,16649900000.0,,1370500000.0,185800000.0,1392000000.0,1386400000.0,17286800000.0,41698700000.0,404791600000.0,29532800000.0,375258800000.0,11007500000.0,164629400000.0,2964500000.0,86875000000.0,712000000.0,86163000000.0,,1934400000.0,54600300000.0,14615200000.0,27900000.0,331000000.0,39626200000.0,1189178700000.0,1014455100000.0,50653700000.0,8093400000.0,9742200000.0,227600000.0,19186700000.0,0.0,25724300000.0,,22952900000.0,2771400000.0,27072600000.0,,,13453000000.0,181895700000.0,112826400000.0,69069300000.0,698669700000.0,-157795600000.0,856465300000.0,142540300000.0,161406100000.0,311326000000.0,115522300000.0,125670600000.0,0.0,174723600000.0,11774000000.0,6900000.0,1867500000.0,2000000.0,34230200000.0,38587600000.0,4375100000.0,,4375100000.0,8623200000.0,0.0,36669400000.0,-1949300000.0,38618700000.0,49810700000.0,34053400000.0,15757300000.0,8009500000.0,7747800000.0
2023-03-31,2160138945.0,2160138945.0,485724700000.0,524428400000.0,269824600000.0,952495000000.0,50662700000.0,269824600000.0,27492600000.0,455559200000.0,919471300000.0,469169800000.0,13610600000.0,455559200000.0,1665300000.0,307231800000.0,104566500000.0,4320300000.0,4320300000.0,678461100000.0,553159900000.0,11488400000.0,,1257300000.0,251200000.0,998200000.0,1011400000.0,12426200000.0,34245800000.0,490785000000.0,26872900000.0,463912100000.0,12155000000.0,125301200000.0,3412700000.0,33643400000.0,619700000.0,33023700000.0,,1874500000.0,55217900000.0,13365500000.0,24000000.0,313400000.0,41515000000.0,1147630900000.0,971667000000.0,43380400000.0,9556100000.0,27899200000.0,215600000.0,21999000000.0,0.0,25726500000.0,,23776300000.0,1950200000.0,24983800000.0,,,13022300000.0,185734600000.0,116659900000.0,69074700000.0,619841500000.0,-130677900000.0,750519400000.0,96361100000.0,148474000000.0,284100100000.0,107036200000.0,114548000000.0,0.0,175963900000.0,11640800000.0,1940100000.0,19412600000.0,0.0,20309900000.0,13975500000.0,4519700000.0,,4519700000.0,11947700000.0,0.0,39570700000.0,-1911100000.0,41481800000.0,63531300000.0,52320200000.0,11211100000.0,5708200000.0,5502900000.0
2022-03-31,2112373230.0,2112373230.0,366846700000.0,473536300000.0,236962500000.0,873259100000.0,67197100000.0,236962500000.0,20159400000.0,419882200000.0,815643500000.0,423809900000.0,3927700000.0,419882200000.0,37717900000.0,270570200000.0,67922400000.0,4224700000.0,4224700000.0,573048300000.0,459361200000.0,3112200000.0,3053600000.0,1153500000.0,0.0,829300000.0,811000000.0,10458800000.0,30108600000.0,415599100000.0,19837800000.0,395761300000.0,342300000.0,113687100000.0,2132600000.0,57937200000.0,321600000.0,57615600000.0,,1075200000.0,34125200000.0,9531000000.0,19600000.0,939200000.0,23635400000.0,996858200000.0,815974000000.0,250000000.0,0.0,38685900000.0,142200000.0,13578300000.0,12200000.0,31448300000.0,0.0,18237500000.0,13210800000.0,11898500000.0,1915900000.0,39901800000.0,0.0,182919700000.0,115805400000.0,67114300000.0,486757500000.0,-102971300000.0,589728800000.0,44148000000.0,139944600000.0,209484600000.0,93659300000.0,102492300000.0,0.0,180884200000.0,6867100000.0,3400000.0,18984800000.0,0.0,14087100000.0,5222300000.0,3956400000.0,0.0,3956400000.0,19589400000.0,0.0,25211400000.0,-1207400000.0,26418800000.0,93244600000.0,6714400000.0,86530200000.0,2516800000.0,84013400000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,1145400000.0,,,,,,,,,,,,,,,,957300000.0,,,,,,,,,,,,,,,,70300000.0,,,,715900000.0,6495300000.0,,,,,,,,,,,,,,,,,,,,,,6174300000.0,,,,,,,,,,,
