,Treasury Shares Number,Preferred Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Preferred Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Payables And Accrued Expenses,Current Accrued Expenses,Total Assets,Investments And Advances,Held To Maturity Securities,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Other Properties,Machinery Furniture Equipment,Receivables,Accounts Receivable,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Cash Cash Equivalents And Federal Funds Sold
2022-12-31,,730000.0,62928819.0,62928819.0,5900730000.0,12136943000.0,8013094000.0,19868467000.0,8013101000.0,281570000.0,8013094000.0,7000.0,19868474000.0,8013101000.0,8013101000.0,-1997240000.0,,5457886000.0,4551819000.0,636000.0,629000.0,7000.0,102350550000.0,12136943000.0,281570000.0,11855373000.0,1473880000.0,1473880000.0,110363651000.0,26374430000.0,7780374000.0,366498000.0,-163213000.0,529711000.0,105111000.0,249269000.0,175331000.0,449815000.0,449815000.0,18594056000.0,5954643000.0,80116000.0,5874527000.0,5954643000.0
2021-12-31,,29200000.0,60631944.0,60631944.0,,3464133000.0,7840611000.0,11050084000.0,7840618000.0,254660000.0,7840611000.0,7000.0,11050091000.0,7840618000.0,7840618000.0,-222332000.0,0.0,4298527000.0,3763810000.0,613000.0,606000.0,7000.0,110604809000.0,3464133000.0,254660000.0,3209473000.0,857882000.0,857882000.0,118445427000.0,22151144000.0,4998281000.0,318220000.0,-139930000.0,458150000.0,100854000.0,225988000.0,131308000.0,306827000.0,306827000.0,17152863000.0,29620671000.0,73097000.0,29547574000.0,29620671000.0
2020-12-31,1899336.0,730000.0,53564573.0,55463909.0,,3933187000.0,5826902000.0,9494735000.0,5826909000.0,265354000.0,5826902000.0,7000.0,9494742000.0,5826909000.0,5826909000.0,-72896000.0,232531000.0,3548260000.0,2583514000.0,562000.0,555000.0,7000.0,68061435000.0,3933187000.0,265354000.0,3667833000.0,662925000.0,662925000.0,73888344000.0,11173247000.0,2282830000.0,317681000.0,-121708000.0,439389000.0,86269000.0,237407000.0,115713000.0,277801000.0,277801000.0,8890417000.0,12348331000.0,139334000.0,12208997000.0,12348331000.0
