,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Non Current Accrued Expenses,Non Current Deferred Liabilities,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Non Current Accounts Receivable,Investments And Advances,Long Term Equity Investment,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Inventory,Other Inventories,Finished Goods,Raw Materials,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2024-12-31,1000000000.0,1000000000.0,109860000000.0,130693000000.0,58522000000.0,192804000000.0,12280000000.0,58522000000.0,961000000.0,63072000000.0,153372000000.0,65590000000.0,2518000000.0,63072000000.0,-11253000000.0,-11253000000.0,53472000000.0,20843000000.0,10000000.0,10000000.0,214171000000.0,117906000000.0,10281000000.0,10424000000.0,9923000000.0,,5940000000.0,5940000000.0,91261000000.0,961000000.0,90300000000.0,96265000000.0,-1000000.0,3371000000.0,3371000000.0,39432000000.0,39432000000.0,39432000000.0,,53463000000.0,27783000000.0,25680000000.0,25680000000.0,279761000000.0,171216000000.0,8346000000.0,21254000000.0,21254000000.0,46474000000.0,7102000000.0,7102000000.0,,4550000000.0,2650000000.0,1900000000.0,83490000000.0,-43429000000.0,126919000000.0,7176000000.0,64000000000.0,39575000000.0,14915000000.0,1253000000.0,0.0,108545000000.0,7655000000.0,14564000000.0,,8120000000.0,6444000000.0,59189000000.0,59189000000.0,-1304000000.0,60493000000.0,27137000000.0,7265000000.0,19872000000.0,7401000000.0,12471000000.0
2023-12-31,1200000000.0,1200000000.0,102888000000.0,122648000000.0,59445000000.0,186027000000.0,7173000000.0,59445000000.0,907000000.0,64286000000.0,147059000000.0,68307000000.0,4021000000.0,64286000000.0,-10247000000.0,-10247000000.0,55391000000.0,19130000000.0,12000000.0,12000000.0,204757000000.0,110312000000.0,9919000000.0,11694000000.0,11176000000.0,,5019000000.0,5019000000.0,83680000000.0,907000000.0,82773000000.0,94445000000.0,-1000000.0,2802000000.0,2802000000.0,38968000000.0,38968000000.0,38968000000.0,,52676000000.0,24562000000.0,28114000000.0,28114000000.0,273064000000.0,171446000000.0,7707000000.0,22339000000.0,22339000000.0,45043000000.0,10613000000.0,10613000000.0,,4841000000.0,2941000000.0,1900000000.0,80903000000.0,-42862000000.0,123765000000.0,8135000000.0,64007000000.0,37074000000.0,13256000000.0,1293000000.0,0.0,101618000000.0,7237000000.0,16461000000.0,,9039000000.0,7422000000.0,51454000000.0,51454000000.0,-1204000000.0,52658000000.0,26466000000.0,7613000000.0,18853000000.0,9875000000.0,8977000000.0
2022-12-31,1400000000.0,1400000000.0,95546000000.0,115666000000.0,62858000000.0,182491000000.0,9278000000.0,62858000000.0,967000000.0,67792000000.0,143713000000.0,72284000000.0,4492000000.0,67792000000.0,-7901000000.0,-7901000000.0,49251000000.0,26428000000.0,14000000.0,14000000.0,191753000000.0,100580000000.0,9230000000.0,10910000000.0,10398000000.0,,3552000000.0,3552000000.0,76888000000.0,967000000.0,75921000000.0,91173000000.0,-1000000.0,2489000000.0,2489000000.0,38778000000.0,38778000000.0,38778000000.0,3298000000.0,49907000000.0,22421000000.0,27486000000.0,27486000000.0,264037000000.0,163586000000.0,9396000000.0,20539000000.0,20539000000.0,40591000000.0,10176000000.0,10176000000.0,,4934000000.0,3034000000.0,1900000000.0,77950000000.0,-41265000000.0,119215000000.0,7340000000.0,65694000000.0,33413000000.0,11461000000.0,1307000000.0,0.0,100451000000.0,6826000000.0,15366000000.0,-1000000.0,7353000000.0,8014000000.0,46956000000.0,46956000000.0,-1129000000.0,48085000000.0,31303000000.0,12150000000.0,19153000000.0,10231000000.0,8921000000.0
2021-12-31,1500000000.0,1500000000.0,89312000000.0,110391000000.0,54671000000.0,169123000000.0,7695000000.0,54671000000.0,1012000000.0,59744000000.0,135403000000.0,65815000000.0,6071000000.0,59744000000.0,-9269000000.0,-9269000000.0,41937000000.0,27061000000.0,15000000.0,15000000.0,178903000000.0,104495000000.0,9666000000.0,15148000000.0,14526000000.0,6005000000.0,3010000000.0,3010000000.0,76671000000.0,1012000000.0,75659000000.0,74408000000.0,,2461000000.0,2461000000.0,33720000000.0,33720000000.0,33720000000.0,2937000000.0,38227000000.0,17836000000.0,20391000000.0,20391000000.0,244718000000.0,162615000000.0,11502000000.0,21152000000.0,21152000000.0,36167000000.0,9677000000.0,9677000000.0,9677000000.0,5073000000.0,3173000000.0,1900000000.0,79044000000.0,-40780000000.0,119824000000.0,5395000000.0,71142000000.0,31444000000.0,10542000000.0,1301000000.0,0.0,82103000000.0,6396000000.0,12988000000.0,,4748000000.0,8240000000.0,34043000000.0,34043000000.0,-895000000.0,34938000000.0,28676000000.0,8609000000.0,20067000000.0,12186000000.0,7881000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,5193000000.0,,,,,,,,,,,,,1864000000.0,,,,,,,,,,,,,8406000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
