,Free Cash Flow,Capital Expenditure,End Cash Position,Other Cash Adjustment Outside Changein Cash,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Interest Paid Cff,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Investing Cash Flow,Interest Received Cfi,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Taxes Refund Paid,Change In Working Capital,Change In Payable,Change In Inventory,Change In Receivables,Other Non Cash Items,Provisionand Write Offof Assets,Depreciation And Amortization,Amortization Cash Flow,Depreciation,Gain Loss On Investment Securities,Net Foreign Currency Exchange Gain Loss,Gain Loss On Sale Of PPE,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2025-03-31,260000000.0,,1940000000.0,,2050000000.0,0.0,-110000000.0,-580000000.0,-490000000.0,-90000000.0,-90000000.0,210000000.0,240000000.0,-30000000.0,610000000.0,-640000000.0,0.0,0.0,,260000000.0,140000000.0,82660000000.0,82000000000.0,0.0,660000000.0,10450000000.0,80000000.0,1170000000.0,,1170000000.0,-450000000.0,470000000.0,0.0,-860000000.0,-93850000000.0
2024-03-31,-400000000.0,,2050000000.0,-10000000.0,2180000000.0,0.0,-130000000.0,-380000000.0,-80000000.0,-300000000.0,-300000000.0,650000000.0,600000000.0,-690000000.0,0.0,-690000000.0,740000000.0,740000000.0,,-400000000.0,20000000.0,61060000000.0,66650000000.0,0.0,-5590000000.0,9510000000.0,0.0,1280000000.0,0.0,1280000000.0,-350000000.0,310000000.0,-350000000.0,-260000000.0,-71980000000.0
2023-03-31,-640000000.0,,2180000000.0,-1830000000.0,4790000000.0,0.0,-780000000.0,-220000000.0,-130000000.0,-90000000.0,-90000000.0,80000000.0,80000000.0,-10000000.0,,-10000000.0,10000000.0,10000000.0,,-640000000.0,90000000.0,61050000000.0,64870000000.0,0.0,-3820000000.0,8840000000.0,0.0,1370000000.0,,1370000000.0,,1090000000.0,0.0,74810000000.0,-147870000000.0
2022-03-31,840000000.0,-350000000.0,4790000000.0,,7090000000.0,0.0,-2300000000.0,-510000000.0,-460000000.0,-50000000.0,-50000000.0,-2980000000.0,100000000.0,-2730000000.0,,-2730000000.0,-350000000.0,0.0,-350000000.0,1190000000.0,-300000000.0,59010000000.0,57100000000.0,270000000.0,1640000000.0,8110000000.0,20000000.0,1520000000.0,,1520000000.0,,550000000.0,0.0,0.0,-67720000000.0
2021-03-31,,-90000000.0,,,,,,,,,,,,,,,,,-90000000.0,,,,,,,,,,,,,,,,
