,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,End Cash Position,Other Cash Adjustment Outside Changein Cash,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Net Other Financing Charges,Interest Paid Cff,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Net Other Investing Changes,Interest Received Cfi,Dividends Received Cfi,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Taxes Refund Paid,Change In Working Capital,Change In Payable,Change In Inventory,Change In Receivables,Other Non Cash Items,Stock Based Compensation,Depreciation And Amortization,Amortization Cash Flow,Depreciation,Gain Loss On Investment Securities,Net Foreign Currency Exchange Gain Loss,Gain Loss On Sale Of PPE,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2025-03-31,47418800000.0,0.0,-307824100000.0,464970100000.0,93200000.0,-44188300000.0,121870000000.0,,119585000000.0,286800000.0,1998200000.0,65566200000.0,-11459400000.0,-36094900000.0,-38495700000.0,,93200000.0,0.0,93200000.0,157146000000.0,157146000000.0,-307824100000.0,464970100000.0,-155175100000.0,-71490300000.0,20835100000.0,1443200000.0,-137103200000.0,17263300000.0,-154366500000.0,-3645900000.0,17818200000.0,-21464100000.0,-35406600000.0,8781700000.0,-44188300000.0,91607100000.0,-56011000000.0,-120639500000.0,96834100000.0,-5395200000.0,-212078400000.0,8592500000.0,2226000000.0,40982200000.0,9242400000.0,31739800000.0,-11016500000.0,-45500000.0,-1876400000.0,-1874400000.0,231040100000.0
2024-03-31,137497500000.0,-100265500000.0,-272278000000.0,231254300000.0,96500000.0,-45165300000.0,119585000000.0,,169266900000.0,158500000.0,-49840400000.0,-254133600000.0,-30117700000.0,-36054800000.0,-42169500000.0,,-100169000000.0,-100265500000.0,96500000.0,-41023700000.0,-41023700000.0,-272278000000.0,231254300000.0,21630400000.0,-49700000.0,24081600000.0,2260800000.0,27396500000.0,76291100000.0,-48894600000.0,8528700000.0,8660100000.0,-131400000.0,-42104700000.0,3060600000.0,-45165300000.0,182662800000.0,-52800500000.0,-13850800000.0,146010200000.0,2446800000.0,-162307800000.0,10385500000.0,2976300000.0,36747000000.0,8839500000.0,27907500000.0,1127800000.0,-135600000.0,-954400000.0,-5143800000.0,204235000000.0
2023-03-31,186331700000.0,0.0,-327949900000.0,282983300000.0,103100000.0,-41437900000.0,169266900000.0,,137702400000.0,2636800000.0,28927700000.0,-115724900000.0,-5246500000.0,-30467300000.0,-30914200000.0,-30914200000.0,103100000.0,0.0,103100000.0,-44966600000.0,-44966600000.0,-327949900000.0,282983300000.0,-83117000000.0,-1118600000.0,16089900000.0,1574200000.0,-89546200000.0,8271500000.0,-97817700000.0,27627400000.0,28939600000.0,-1312200000.0,-37934200000.0,3503700000.0,-41437900000.0,227769600000.0,-51271600000.0,53791400000.0,54127100000.0,-4757500000.0,4421800000.0,13504400000.0,2495100000.0,33842000000.0,9921000000.0,23921000000.0,-591500000.0,-396600000.0,-1676500000.0,0.0,169730400000.0
2022-03-31,160529500000.0,,-358064400000.0,273932600000.0,109700000.0,-31106300000.0,137702400000.0,,133735200000.0,823000000.0,3144200000.0,-151814800000.0,-8757700000.0,-29679200000.0,-25283800000.0,-25283800000.0,109700000.0,,109700000.0,-84131800000.0,-84131800000.0,-358064400000.0,273932600000.0,-36676800000.0,-28439200000.0,9685500000.0,1609500000.0,3068600000.0,24631000000.0,-21562400000.0,9277900000.0,10156400000.0,-878500000.0,-30398800000.0,707500000.0,-31106300000.0,191635800000.0,-45394500000.0,47566300000.0,96780300000.0,-743300000.0,-48470700000.0,20014700000.0,1353100000.0,29380300000.0,9085900000.0,20294400000.0,-4442600000.0,-848700000.0,-176000000.0,-16500000.0,143980400000.0
2021-03-31,,,,,,,,-18600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
