,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Other Special Charges,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Insurance And Claims,Rent And Landing Fees,Total Revenue,Operating Revenue
2025-03-31,-36839980.639225,0.241115,-152790000.0,-152790000.0,24464926000.0,4933874000.0,89204495000.0,219983652000.0,309188147000.0,24580876019.360775,24464926000.0,31304013690.0,31154662422.0,0.78,0.79,24464926000.0,24464926000.0,24464926000.0,-1080170.0,24466006000.0,0.0,24466006000.0,7773410000.0,32239412000.0,-152790000.0,152790000.0,4436498000.0,108910562000.0,51700329000.0,4933874000.0,,4933874000.0,668866000.0,525228000.0,143638000.0,4176994000.0,5948560000.0,168299614000.0,168299614000.0
2024-03-31,-3386441.109078,0.164199,-20624000.0,-20624000.0,12852015000.0,5455502000.0,80786101000.0,195272521000.0,276058622000.0,12869252558.890923,12852015000.0,29425328611.0,28759039213.0,0.44,0.45,12852015000.0,12852015000.0,12852015000.0,0.0,12852015000.0,0.0,12852015000.0,2524870000.0,15376886000.0,-20624000.0,20624000.0,3314249000.0,101014425000.0,47313864000.0,5455502000.0,0.0,5455502000.0,772361000.0,580612000.0,191749000.0,3450594000.0,5102339000.0,139782765000.0,139782765000.0
2023-03-31,17400117.22891,0.250181,69550000.0,69550000.0,7358186000.0,4334178000.0,79024017000.0,147997602000.0,227021619000.0,7306036117.22891,7358186000.0,26245554354.0,26159996163.0,0.28,0.28,7358186000.0,7358186000.0,7358186000.0,0.0,7358186000.0,0.0,7358186000.0,2455100000.0,9813279000.0,69550000.0,-69550000.0,309374000.0,85619094000.0,38538821000.0,4334178000.0,0.0,4334178000.0,706129000.0,128704000.0,577425000.0,2814329000.0,4425607000.0,93697163000.0,93697163000.0
2022-03-31,-43730190.819371,0.347385,-125884000.0,-125884000.0,10640534000.0,4033317000.0,64903314000.0,125284351000.0,190187665000.0,10722687809.18063,10640534000.0,25057565654.0,25054915063.0,0.42,0.42,10640534000.0,10640534000.0,10640534000.0,0.0,10640534000.0,0.0,10640534000.0,3696360000.0,10640534000.0,-125884000.0,125884000.0,2901898000.0,69776490000.0,29373427000.0,4033317000.0,0.0,4033317000.0,718542000.0,280797000.0,437745000.0,2010543000.0,4007109000.0,91172932000.0,91172932000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
