,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Line Of Credit,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Receivables,Receivables Adjustments Allowances,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2025-01-31,446800365.0,446800365.0,410700000.0,4929800000.0,4946700000.0,4689600000.0,4929800000.0,393800000.0,4929800000.0,4936400000.0,4929800000.0,4929800000.0,-94000000.0,-94000000.0,-81500000.0,5105100000.0,200000.0,200000.0,945600000.0,280200000.0,24100000.0,256100000.0,249500000.0,6600000.0,665400000.0,126900000.0,109000000.0,109000000.0,154600000.0,144300000.0,10300000.0,10300000.0,,51400000.0,223500000.0,49700000.0,173800000.0,25200000.0,148600000.0,5875400000.0,520400000.0,60000000.0,18100000.0,18100000.0,,,442300000.0,-684200000.0,1126500000.0,5400000.0,374100000.0,442800000.0,,,304200000.0,5355000000.0,39000000.0,,,,480200000.0,480200000.0,60900000.0,,,60900000.0,-4700000.0,65600000.0,4774900000.0,18000000.0,4756900000.0
2024-01-31,305700000.0,305700000.0,602800000.0,1338600000.0,1367100000.0,1039700000.0,1338600000.0,574300000.0,1338600000.0,1356300000.0,1338600000.0,1338600000.0,-83600000.0,-83600000.0,-212800000.0,1634900000.0,100000.0,100000.0,1370400000.0,435900000.0,31600000.0,404300000.0,386600000.0,17700000.0,934500000.0,155000000.0,128600000.0,128600000.0,198500000.0,187700000.0,10800000.0,10800000.0,,54600000.0,397800000.0,49000000.0,348800000.0,24800000.0,324000000.0,2709000000.0,734800000.0,66800000.0,17300000.0,17300000.0,,,650700000.0,-851200000.0,1501900000.0,5400000.0,555800000.0,556600000.0,384100000.0,0.0,384100000.0,1974200000.0,51400000.0,,,,632500000.0,632500000.0,91000000.0,,,91000000.0,-4400000.0,95400000.0,1199300000.0,277600000.0,921700000.0
2023-01-31,304600000.0,304600000.0,616600000.0,1322300000.0,1361800000.0,984600000.0,1322300000.0,577100000.0,1322300000.0,1351000000.0,1322300000.0,1322300000.0,-71900000.0,-71900000.0,-219500000.0,1613600000.0,100000.0,100000.0,1791100000.0,452000000.0,40900000.0,411100000.0,382400000.0,28700000.0,1339100000.0,192200000.0,211900000.0,211900000.0,205500000.0,194700000.0,10800000.0,10800000.0,,95600000.0,633900000.0,74300000.0,559600000.0,28300000.0,531300000.0,3113400000.0,789700000.0,74100000.0,18300000.0,18300000.0,,,697300000.0,-1006800000.0,1704100000.0,19000000.0,560800000.0,686400000.0,437300000.0,600000.0,0.0,2323700000.0,96300000.0,,,,682900000.0,682900000.0,153900000.0,,,153900000.0,-2200000.0,156100000.0,1390600000.0,251600000.0,1139000000.0
2022-01-31,303600000.0,303600000.0,649000000.0,1602500000.0,1647100000.0,1244100000.0,1602500000.0,604400000.0,1602500000.0,1643000000.0,1602500000.0,1602500000.0,-68700000.0,-68700000.0,93600000.0,1577500000.0,100000.0,100000.0,1896800000.0,542100000.0,107900000.0,434200000.0,393700000.0,40500000.0,1354700000.0,247500000.0,142300000.0,142300000.0,214800000.0,210700000.0,4100000.0,4100000.0,0.0,97900000.0,652200000.0,150500000.0,501700000.0,30700000.0,471000000.0,3499300000.0,900500000.0,134000000.0,16300000.0,16300000.0,12100000.0,12100000.0,750200000.0,-1029800000.0,1780000000.0,9000000.0,586600000.0,722400000.0,457800000.0,4200000.0,0.0,2598800000.0,271300000.0,,33100000.0,238200000.0,915000000.0,915000000.0,141100000.0,,,141100000.0,-3300000.0,144400000.0,1271400000.0,0.0,1271400000.0
2021-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000000.0,,,,,,,,,,,,18500000.0,18500000.0,,,,,,,496600000.0,4600000.0,,,,0.0,110000000.0,224900000.0,,,,-3600000.0,79000000.0,,,,,,
