,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net PPE Purchase And Sale,Purchase Of PPE,Capital Expenditure Reported,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Accrued Expense,Change In Payable,Change In Account Payable,Change In Tax Payable,Change In Income Tax Payable,Change In Prepaid Assets,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Gain Loss On Investment Securities,Net Income From Continuing Operations
2024-12-31,13586000000.0,-11035000000.0,-1336000000.0,3960000000.0,-1194000000.0,571000000.0,3252000000.0,10808000000.0,10465000000.0,-199000000.0,542000000.0,-10836000000.0,-10836000000.0,-201000000.0,224000000.0,-2448000000.0,-2448000000.0,-11035000000.0,-11035000000.0,2624000000.0,2624000000.0,-1336000000.0,3960000000.0,-3402000000.0,-3402000000.0,-3000000.0,306000000.0,964000000.0,-658000000.0,-2511000000.0,-2511000000.0,-474000000.0,-474000000.0,-720000000.0,14780000000.0,14780000000.0,-1040000000.0,131000000.0,922000000.0,-593000000.0,1704000000.0,1792000000.0,-88000000.0,75000000.0,-163000000.0,-163000000.0,-3225000000.0,21000000.0,186000000.0,2021000000.0,526000000.0,-527000000.0,-527000000.0,897000000.0,897000000.0,29000000.0,29000000.0,12874000000.0
2023-12-31,10892000000.0,-9032000000.0,0.0,1554000000.0,-1088000000.0,477000000.0,2746000000.0,10465000000.0,9196000000.0,128000000.0,1141000000.0,-9488000000.0,-9488000000.0,-89000000.0,237000000.0,-2158000000.0,-2158000000.0,-9032000000.0,-9032000000.0,1554000000.0,1554000000.0,0.0,1554000000.0,-1351000000.0,-1351000000.0,-6000000.0,-257000000.0,479000000.0,-736000000.0,0.0,0.0,-371000000.0,-371000000.0,-717000000.0,11980000000.0,11980000000.0,-1943000000.0,922000000.0,282000000.0,40000000.0,-32000000.0,196000000.0,-228000000.0,-99000000.0,-129000000.0,-129000000.0,-2438000000.0,-717000000.0,-546000000.0,1644000000.0,460000000.0,-236000000.0,-236000000.0,799000000.0,799000000.0,61000000.0,61000000.0,11195000000.0
2022-12-31,10098000000.0,-8753000000.0,-724000000.0,1123000000.0,-1097000000.0,414000000.0,2506000000.0,9196000000.0,9902000000.0,-103000000.0,-603000000.0,-10328000000.0,-10328000000.0,-161000000.0,90000000.0,-1903000000.0,-1903000000.0,-8753000000.0,-8753000000.0,399000000.0,399000000.0,-724000000.0,1123000000.0,-1470000000.0,-1470000000.0,-3000000.0,-57000000.0,537000000.0,-594000000.0,-313000000.0,-313000000.0,-442000000.0,-442000000.0,-655000000.0,11195000000.0,11195000000.0,-904000000.0,-6000000.0,201000000.0,48000000.0,1497000000.0,1428000000.0,69000000.0,190000000.0,-121000000.0,-121000000.0,-2175000000.0,-469000000.0,-481000000.0,1630000000.0,295000000.0,-651000000.0,-651000000.0,750000000.0,750000000.0,145000000.0,145000000.0,9930000000.0
2021-12-31,8649000000.0,-5904000000.0,-650000000.0,2024000000.0,-814000000.0,,,9902000000.0,12419000000.0,-153000000.0,-2364000000.0,-6555000000.0,-6555000000.0,-345000000.0,61000000.0,-1741000000.0,-1741000000.0,-5904000000.0,-5904000000.0,1374000000.0,1374000000.0,-650000000.0,2024000000.0,-5272000000.0,-5272000000.0,33000000.0,-55000000.0,856000000.0,-911000000.0,-4436000000.0,-4436000000.0,-407000000.0,-407000000.0,-407000000.0,9463000000.0,9463000000.0,-916000000.0,431000000.0,-568000000.0,390000000.0,1402000000.0,1354000000.0,48000000.0,100000000.0,-52000000.0,-52000000.0,-2087000000.0,-484000000.0,-397000000.0,1407000000.0,273000000.0,-69000000.0,-69000000.0,726000000.0,726000000.0,-645000000.0,-645000000.0,8687000000.0
