,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Earnings From Equity Interest,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Other Taxes,Selling General And Administration,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,0.0,0.33,73311000000.0,33680000000.0,23442000000.0,262505000000.0,73311000000.0,49869000000.0,-996000000.0,996000000.0,33680000000.0,33680000000.0,299595000000.0,4298000000.0,4295918367.0,7.84,7.84,33680000000.0,33680000000.0,33680000000.0,-1383000000.0,35063000000.0,35063000000.0,13810000000.0,48873000000.0,10217000000.0,4023000000.0,6194000000.0,-996000000.0,996000000.0,39652000000.0,37090000000.0,826000000.0,26288000000.0,9976000000.0,9976000000.0,9976000000.0,,76742000000.0,262505000000.0,339247000000.0,339247000000.0
2023-12-31,0.0,0.33,74273000000.0,36010000000.0,20641000000.0,250555000000.0,74273000000.0,53632000000.0,-849000000.0,849000000.0,36010000000.0,36010000000.0,290236000000.0,4052000000.0,4050618673.0,8.89,8.89,36010000000.0,36010000000.0,36010000000.0,-1344000000.0,37354000000.0,37354000000.0,15429000000.0,52783000000.0,9171000000.0,2786000000.0,6385000000.0,-849000000.0,849000000.0,44461000000.0,39681000000.0,751000000.0,29011000000.0,9919000000.0,9919000000.0,9919000000.0,714000000.0,84142000000.0,250555000000.0,334697000000.0,334697000000.0
2022-12-31,0.0,0.33,102591000000.0,55740000000.0,24040000000.0,295608000000.0,102591000000.0,78551000000.0,-798000000.0,798000000.0,55740000000.0,55740000000.0,334647000000.0,4205000000.0,4203619910.0,13.26,13.26,55740000000.0,55740000000.0,55740000000.0,-1837000000.0,57577000000.0,57577000000.0,20176000000.0,77753000000.0,14523000000.0,3060000000.0,11463000000.0,-798000000.0,798000000.0,64028000000.0,39039000000.0,1025000000.0,27919000000.0,10095000000.0,10095000000.0,10095000000.0,482000000.0,103067000000.0,295608000000.0,398675000000.0,398675000000.0
2021-12-31,0.0,0.31,52788000000.0,23040000000.0,20607000000.0,211806000000.0,52788000000.0,32181000000.0,-947000000.0,947000000.0,23040000000.0,23040000000.0,252673000000.0,4275000000.0,4274582560.0,5.39,5.39,23040000000.0,23040000000.0,23040000000.0,-558000000.0,23598000000.0,23598000000.0,7636000000.0,31234000000.0,8162000000.0,1505000000.0,6657000000.0,-947000000.0,947000000.0,24019000000.0,40867000000.0,1054000000.0,30239000000.0,9574000000.0,9574000000.0,9574000000.0,786000000.0,64886000000.0,211806000000.0,276692000000.0,276692000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1205000000.0,,,,
