,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Payables,Other Payable,Accounts Payable,Total Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Properties,Receivables,Taxes Receivable,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Cash Cash Equivalents And Federal Funds Sold
2025-03-31,31354115322.0,31354115322.0,52831623000.0,708674469000.0,478324161000.0,1186998630000.0,478324161000.0,478324161000.0,1186998630000.0,478356702000.0,32541000.0,478324161000.0,,-75634967000.0,399810980000.0,62708231000.0,62708231000.0,3762802626000.0,81766886000.0,708674469000.0,26607544000.0,3587041000.0,23020503000.0,4241159328000.0,923879330000.0,923879330000.0,22613402000.0,0.0,0.0,0.0,,30784049000.0,-31933879000.0,62717928000.0,2060721000.0,48554677000.0,12102530000.0,82909391000.0,16488953000.0,655842846000.0,87207559000.0,10449741000.0,655842846000.0
2024-03-31,28767882106.0,28767882106.0,154569096000.0,788626097000.0,421551856000.0,1210177953000.0,421551856000.0,421551856000.0,1210177953000.0,421551856000.0,0.0,421551856000.0,9483918000.0,-91126358000.0,366612150000.0,57535764000.0,57535764000.0,3642063603000.0,53897552000.0,788626097000.0,31930733000.0,4986264000.0,26944469000.0,4063615459000.0,947722441000.0,947722441000.0,24669495000.0,0.0,0.0,0.0,0.0,28657370000.0,-28163721000.0,56821091000.0,3566323000.0,41152238000.0,12102530000.0,64589111000.0,12003576000.0,634057001000.0,3543045000.0,9620705000.0,634057001000.0
2023-03-31,28754775334.0,28754775334.0,207514092000.0,710169839000.0,407181757000.0,1117351596000.0,407181757000.0,407181757000.0,1117351596000.0,407181757000.0,0.0,407181757000.0,9483918000.0,-100937570000.0,366438573000.0,57509551000.0,57509551000.0,3144859584000.0,69922500000.0,710169839000.0,31818422000.0,7511786000.0,24306636000.0,3552041341000.0,830394574000.0,830394574000.0,51978507000.0,0.0,0.0,0.0,0.0,24514813000.0,-23198455000.0,47713267000.0,2957684000.0,32653053000.0,12102530000.0,49407733000.0,6926967000.0,502655747000.0,48992290000.0,8891955000.0,533345024000.0
2022-03-31,25054952981.0,25054952981.0,13285685000.0,652801826000.0,336989686000.0,989791512000.0,336989686000.0,336989686000.0,989791512000.0,336989686000.0,0.0,336989686000.0,,-107567593000.0,322949781000.0,50109906000.0,50109906000.0,2848787667000.0,56522300000.0,652801826000.0,25142441000.0,7317200000.0,17825241000.0,3185777353000.0,567924657000.0,567924657000.0,23283287000.0,0.0,0.0,0.0,0.0,21410068000.0,-19605195000.0,41015261000.0,1251880000.0,27282820000.0,12480561000.0,49908125000.0,6079253000.0,639516141000.0,1440058000.0,7929037000.0,639516141000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
