,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial
2025-03-31,13648872068.0,13648872068.0,,7401200000.0,51575400000.0,68060000000.0,33370700000.0,51575400000.0,398400000.0,61057200000.0,66518600000.0,61057200000.0,,61057200000.0,66278300000.0,-161347100000.0,125140900000.0,27317900000.0,27317900000.0,68538700000.0,9392300000.0,4500000.0,1974000000.0,4500000.0,5707500000.0,246100000.0,5461400000.0,1549800000.0,59146400000.0,3200000.0,1693700000.0,152300000.0,1541400000.0,5637300000.0,33211700000.0,3775600000.0,84700000.0,29351400000.0,129595900000.0,37078800000.0,751400000.0,417400000.0,6445500000.0,300000.0,11035300000.0,300000.0,,257500000.0,9481800000.0,4683500000.0,4798300000.0,9767100000.0,-11299800000.0,21066900000.0,1546500000.0,759900000.0,12284700000.0,4806300000.0,1669500000.0,0.0,92517100000.0,7570400000.0,,7611400000.0,32335500000.0,971700000.0,9834400000.0,21529400000.0,325500000.0,503800000.0,38663500000.0,-392800000.0,39056300000.0,13077400000.0,4066700000.0,9010700000.0,9010700000.0
2024-03-31,13612688222.0,13612688222.0,,1502400000.0,38668600000.0,40302600000.0,22788400000.0,38668600000.0,402900000.0,39203100000.0,39701800000.0,39203100000.0,0.0,39203100000.0,65344000000.0,-182127800000.0,124804800000.0,27217200000.0,27217200000.0,32587100000.0,2498600000.0,4800000.0,,4800000.0,659500000.0,160800000.0,498700000.0,1653800000.0,30088500000.0,43000000.0,842900000.0,242100000.0,600800000.0,5515800000.0,18577100000.0,599700000.0,19600000.0,17957800000.0,71790200000.0,18913300000.0,784300000.0,719700000.0,37700000.0,529200000.0,528900000.0,300000.0,,270100000.0,534500000.0,534500000.0,0.0,8512000000.0,-10575100000.0,19087100000.0,416900000.0,616500000.0,11699500000.0,4602900000.0,1751300000.0,0.0,52876900000.0,5942400000.0,0.0,6041800000.0,22922900000.0,1053800000.0,7226600000.0,14642500000.0,168300000.0,11500000.0,18295800000.0,-197600000.0,18493400000.0,5436600000.0,2940900000.0,2495700000.0,2495700000.0
2023-03-31,12473087083.0,12473087083.0,15375700000.0,19379200000.0,10372300000.0,30040200000.0,14768600000.0,10372300000.0,330400000.0,10991400000.0,26164100000.0,10991400000.0,0.0,10991400000.0,65052600000.0,-188763000000.0,106825900000.0,24544000000.0,24544000000.0,44242400000.0,17234500000.0,4800000.0,,4800000.0,15353300000.0,180600000.0,15172700000.0,1681800000.0,27007900000.0,75700000.0,4025900000.0,149800000.0,3876100000.0,5690900000.0,9469600000.0,505700000.0,17500000.0,8946400000.0,55233800000.0,13457300000.0,402200000.0,588400000.0,2000000.0,529300000.0,529000000.0,300000.0,0.0,292100000.0,619100000.0,619100000.0,0.0,7851500000.0,-11174200000.0,19025700000.0,67000000.0,609200000.0,11578400000.0,5528000000.0,1243100000.0,0.0,41776500000.0,6271000000.0,354700000.0,6351100000.0,18271300000.0,801900000.0,7113300000.0,10356100000.0,44500000.0,5400000.0,11704400000.0,-142800000.0,11847200000.0,5045100000.0,1372000000.0,3673100000.0,3673100000.0
2022-03-31,10041220987.0,10041220987.0,59531800000.0,64652200000.0,-36512600000.0,28648300000.0,8504900000.0,-36512600000.0,746600000.0,-35257300000.0,20667100000.0,-35618100000.0,-360800000.0,-35257300000.0,65191900000.0,-218731800000.0,96259200000.0,18434900000.0,18434900000.0,100366700000.0,58022700000.0,1900000.0,,1900000.0,56499800000.0,575400000.0,55924400000.0,1304300000.0,42344000000.0,282700000.0,8152400000.0,171200000.0,7981200000.0,4836100000.0,21293900000.0,1153900000.0,1735100000.0,18404900000.0,64748600000.0,13899900000.0,292400000.0,1133900000.0,174800000.0,817600000.0,817300000.0,300000.0,0.0,308600000.0,1255300000.0,1255300000.0,0.0,9266200000.0,-11984800000.0,21251000000.0,192900000.0,911900000.0,11545100000.0,5506000000.0,3095100000.0,0.0,50848900000.0,8112600000.0,657600000.0,8182100000.0,22079000000.0,1035500000.0,8438700000.0,12604800000.0,21000000.0,11100000.0,13769500000.0,-175100000.0,13944600000.0,6128600000.0,1754800000.0,4373800000.0,4373800000.0
2021-03-31,,,65960100000.0,,,,,,,,,,-576800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229700000.0,,,,,,,,,,,,,,,,495900000.0,,,,,,,,,,,,,,
