,Free Cash Flow,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,End Cash Position,Other Cash Adjustment Outside Changein Cash,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Net Other Financing Charges,Interest Paid Cff,Net Common Stock Issuance,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Net Other Investing Changes,Interest Received Cfi,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Capital Expenditure Reported,Operating Cash Flow,Taxes Refund Paid,Change In Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payable,Change In Inventory,Change In Receivables,Other Non Cash Items,Provisionand Write Offof Assets,Depreciation And Amortization,Depreciation,Gain Loss On Investment Securities,Net Foreign Currency Exchange Gain Loss,Gain Loss On Sale Of PPE,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2025-03-31,-164120000000.0,-250150000000.0,410000000000.0,0.0,-247760000000.0,22120000000.0,-10000000.0,16080000000.0,6050000000.0,120680000000.0,,-49650000000.0,0.0,0.0,178930000000.0,19080000000.0,,,159850000000.0,-250150000000.0,410000000000.0,-198270000000.0,49080000000.0,7220000000.0,-6300000000.0,,-6300000000.0,,,,150000000.0,150000000.0,,-247760000000.0,83640000000.0,-2220000000.0,-4600000000.0,-2780000000.0,-2940000000.0,1480000000.0,1900000000.0,-2220000000.0,43400000000.0,0.0,24980000000.0,24980000000.0,-4360000000.0,7800000000.0,120000000.0,810000000.0,17710000000.0
2024-03-31,-80600000000.0,-169160000000.0,303860000000.0,23380000000.0,-157730000000.0,16080000000.0,,10020000000.0,6060000000.0,139530000000.0,,-46010000000.0,23380000000.0,23380000000.0,164280000000.0,29580000000.0,,,134700000000.0,-169160000000.0,303860000000.0,-210600000000.0,-61940000000.0,8070000000.0,100000000.0,840000000.0,-740000000.0,0.0,0.0,0.0,730000000.0,730000000.0,,-157730000000.0,77130000000.0,-500000000.0,4170000000.0,-3550000000.0,140000000.0,1080000000.0,-2520000000.0,8930000000.0,34090000000.0,130000000.0,19030000000.0,19030000000.0,3990000000.0,2160000000.0,210000000.0,0.0,13820000000.0
2023-03-31,38890000000.0,-160280000000.0,208370000000.0,38980000000.0,-33760000000.0,10020000000.0,,5670000000.0,4350000000.0,-29730000000.0,-820000000.0,-51390000000.0,38980000000.0,38980000000.0,-14670000000.0,-62760000000.0,,,48090000000.0,-160280000000.0,208370000000.0,-38570000000.0,-7530000000.0,7090000000.0,-4820000000.0,,-4820000000.0,0.0,0.0,0.0,380000000.0,380000000.0,,-33760000000.0,72650000000.0,110000000.0,16830000000.0,13660000000.0,4690000000.0,3160000000.0,-270000000.0,-4500000000.0,23260000000.0,0.0,13000000000.0,13000000000.0,-350000000.0,5590000000.0,390000000.0,,13670000000.0
2022-03-31,-117320000000.0,-139150000000.0,296920000000.0,0.0,-148590000000.0,5670000000.0,6180000000.0,1840000000.0,-2350000000.0,159860000000.0,30000000.0,-32020000000.0,0.0,0.0,192330000000.0,34560000000.0,,34560000000.0,157770000000.0,-139150000000.0,296920000000.0,-193480000000.0,3800000000.0,2490000000.0,-2080000000.0,3800000000.0,-2080000000.0,-56210000000.0,0.0,-56210000000.0,40000000.0,40000000.0,,-148590000000.0,31270000000.0,-200000000.0,-4250000000.0,6290000000.0,-7890000000.0,-1720000000.0,120000000.0,-1090000000.0,21690000000.0,,8490000000.0,8490000000.0,-120000000.0,80000000.0,20000000.0,,5520000000.0
2021-03-31,,,,,,,880000000.0,,,,-4260000000.0,,,,,,-10770000000.0,45450000000.0,,,,,,,,,,-5240000000.0,530000000.0,-5770000000.0,,,-61430000000.0,,,,,,,,,,,10000000.0,,,,,,,
