,Treasury Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Preferred Securities Outside Stock Equity,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Other Payable,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Non Current Accounts Receivable,Investments And Advances,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Receivables,Receivables Adjustments Allowances,Other Receivables,Taxes Receivable,Accrued Interest Receivable,Loans Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2024-12-31,,253640000.0,253640000.0,4319870000.0,9090368000.0,14510923000.0,10171333000.0,9090368000.0,85789000.0,10276842000.0,14510923000.0,10276842000.0,10276842000.0,-50051000.0,-50051000.0,4960901000.0,5365990000.0,2000.0,2000.0,0.0,12265109000.0,4323789000.0,3919000.0,,4319870000.0,85789000.0,4234081000.0,7941320000.0,7251184000.0,,,,,,,690136000.0,331520000.0,358616000.0,204390000.0,90910000.0,90910000.0,63316000.0,22541951000.0,4429298000.0,33135000.0,,941298000.0,941298000.0,60004000.0,1927156000.0,1927156000.0,,,,1186474000.0,46804000.0,1139670000.0,281231000.0,-184618000.0,465849000.0,,,104089000.0,361760000.0,,18112653000.0,266287000.0,,7294784000.0,88500000.0,914946000.0,-29429000.0,169380000.0,5530000.0,,644165000.0,125300000.0,,125300000.0,9548136000.0,1004233000.0,8543903000.0,6607023000.0,1936880000.0
2023-12-31,0.0,242048000.0,242048000.0,2983778000.0,5055557000.0,9261606000.0,5871715000.0,5055557000.0,3821000.0,6281649000.0,9261606000.0,6281649000.0,6281649000.0,-30270000.0,-30270000.0,1820346000.0,4491571000.0,2000.0,2000.0,0.0,8472252000.0,2987173000.0,3395000.0,0.0,2983778000.0,3821000.0,2979957000.0,5485079000.0,4988896000.0,197153905000.0,197153905000.0,10902000.0,10902000.0,,,496183000.0,313491000.0,182692000.0,126032000.0,17366000.0,17366000.0,39294000.0,14753901000.0,3397107000.0,19840000.0,16250000.0,1272233000.0,1272233000.0,,673655000.0,673655000.0,,,,1226092000.0,86422000.0,1139670000.0,205287000.0,-120727000.0,326014000.0,17131000.0,,32547000.0,293467000.0,0.0,11356794000.0,143365000.0,,4977422000.0,79552000.0,631086000.0,-22559000.0,109361000.0,63726000.0,,399070000.0,81488000.0,-22559000.0,81488000.0,5525369000.0,386018000.0,5139351000.0,3682917000.0,1456434000.0
2022-12-31,,230866000.0,230866000.0,3489745000.0,4245222000.0,8868524000.0,5632922000.0,4245222000.0,75778000.0,5454557000.0,8848005000.0,5454557000.0,5454557000.0,-38606000.0,-38606000.0,1725475000.0,3767686000.0,2000.0,2000.0,,84270316000.0,3455023000.0,19531000.0,0.0,3435492000.0,42044000.0,3393448000.0,80815293000.0,80394280000.0,80242775000.0,80242775000.0,54253000.0,33734000.0,20519000.0,20519000.0,366760000.0,192663000.0,174097000.0,112520000.0,5534000.0,5534000.0,56043000.0,89724873000.0,3276658000.0,17257000.0,10989000.0,1046791000.0,1046791000.0,,751076000.0,751076000.0,,,17257000.0,1209335000.0,135429000.0,1073906000.0,241210000.0,-85015000.0,326225000.0,45262000.0,163000.0,69357000.0,211606000.0,0.0,86448215000.0,75432025000.0,,5166999000.0,98204000.0,464817000.0,-11500000.0,28837000.0,60441000.0,223413000.0,184029000.0,203010000.0,-11500000.0,203010000.0,5286170000.0,861149000.0,4425021000.0,,
2021-12-31,,217117000.0,217117000.0,3511299000.0,5579242000.0,9786544000.0,6954828000.0,5579242000.0,106444000.0,6381689000.0,9766484000.0,6381689000.0,6381689000.0,-3395000.0,-3395000.0,4350424000.0,2034658000.0,2000.0,2000.0,,14892736000.0,3473701000.0,14828000.0,0.0,3458873000.0,74078000.0,3384795000.0,11419035000.0,10907277000.0,10480612000.0,10480612000.0,52426000.0,32366000.0,20060000.0,20060000.0,459332000.0,342123000.0,117209000.0,72823000.0,4553000.0,4553000.0,39833000.0,21274425000.0,2900562000.0,1463000.0,13347000.0,573547000.0,573547000.0,,1352143000.0,1352143000.0,,,1463000.0,802447000.0,176689000.0,625758000.0,157615000.0,-42246000.0,199861000.0,43048000.0,535000.0,98385000.0,57893000.0,0.0,18373863000.0,2945000.0,0.0,10648503000.0,132904000.0,365937000.0,-24551000.0,,61231000.0,85204000.0,218461000.0,25592000.0,,,7223574000.0,100096000.0,7123478000.0,,
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,562467000.0,,,,,,3849468000.0,3849468000.0,25270000.0,25270000.0,271303000.0,271303000.0,,,,,,,,,,,68287000.0,,,,,,316094000.0,316094000.0,2000000.0,,,,,,,40589000.0,358000.0,,,0.0,,,2575000.0,,,,,,,23309000.0,,,,,,,,,
