,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-03-31,1715326546.609894,0.023886,944017000000.0,71812000000.0,71812000000.0,335561000000.0,455703000000.0,568340000000.0,1015829000000.0,560126000000.0,-205319000000.0,176141000000.0,5306000000.0,265464326546.6099,335561000000.0,1246486000000.0,5991748000.0,5785462000.0,56.04,58.0,335753000000.0,192000000.0,335561000000.0,0.0,335561000000.0,-39252000000.0,374813000000.0,,374813000000.0,9172000000.0,383985000000.0,3590000000.0,70184000000.0,51122000000.0,4515000000.0,17404000000.0,-143225000000.0,-205319000000.0,34484000000.0,176141000000.0,5306000000.0,483366000000.0,678146000000.0,42114000000.0,455703000000.0,103961000000.0,351742000000.0,120202000000.0,114601000000.0,5601000000.0,1161512000000.0,568340000000.0,1729852000000.0,1729852000000.0
2024-03-31,-28449493650.918842,0.325026,769255000000.0,-87530000000.0,-87530000000.0,74670000000.0,395376000000.0,535521000000.0,681725000000.0,286349000000.0,-183088000000.0,159559000000.0,6493000000.0,133750506349.08116,74670000000.0,1127508000000.0,5835551000.0,5703364000.0,12.8,13.09,74670000000.0,,74670000000.0,0.0,74670000000.0,-10910000000.0,85580000000.0,,85580000000.0,41210000000.0,126790000000.0,2019000000.0,-83856000000.0,75072000000.0,8784000000.0,,,-183088000000.0,30022000000.0,159559000000.0,6493000000.0,372316000000.0,591987000000.0,33691000000.0,395376000000.0,89873000000.0,305503000000.0,112235000000.0,107882000000.0,4353000000.0,964303000000.0,535521000000.0,1499824000000.0,1499824000000.0
2023-03-31,-2229195547.289668,0.258039,681519000000.0,-8639000000.0,-8639000000.0,83459000000.0,364318000000.0,512726000000.0,672880000000.0,308562000000.0,-165431000000.0,142955000000.0,3080000000.0,89868804452.71033,83459000000.0,1039462000000.0,5728459000.0,5640723000.0,14.57,14.8,83459000000.0,,83459000000.0,0.0,83459000000.0,-39415000000.0,122874000000.0,,122874000000.0,42733000000.0,165607000000.0,1645000000.0,-8100000000.0,6698000000.0,1402000000.0,,,-165431000000.0,25556000000.0,142955000000.0,3080000000.0,351986000000.0,526736000000.0,39578000000.0,364318000000.0,79005000000.0,285313000000.0,76699000000.0,72454000000.0,4245000000.0,878722000000.0,512726000000.0,1391448000000.0,1391448000000.0
2022-03-31,5330519926.941225,0.334684,572312000000.0,15927000000.0,15927000000.0,42549000000.0,330907000000.0,454049000000.0,588239000000.0,257332000000.0,-155796000000.0,132501000000.0,2206000000.0,31952519926.941223,42549000000.0,917848000000.0,5579534000.0,5546320000.0,7.63,7.67,42549000000.0,,42549000000.0,0.0,42549000000.0,-40503000000.0,83052000000.0,0.0,83052000000.0,41779000000.0,124831000000.0,1007000000.0,15807000000.0,-20796000000.0,1179000000.0,3810000000.0,,-155796000000.0,25501000000.0,132501000000.0,2206000000.0,247621000000.0,463799000000.0,33472000000.0,330907000000.0,74925000000.0,255982000000.0,57097000000.0,53035000000.0,4062000000.0,711420000000.0,454049000000.0,1165469000000.0,1165469000000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,110567000000.0,,,,,,,,,447000000.0,,,,,,,,,,,,,,,,,
