,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Capital Expenditure,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Interest Received Cfi,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net PPE Purchase And Sale,Purchase Of PPE,Capital Expenditure Reported,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Taxes Refund Paid,Change In Working Capital,Change In Other Working Capital,Change In Other Current Liabilities,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Prepaid Assets,Change In Receivables,Other Non Cash Items,Stock Based Compensation,Provisionand Write Offof Assets,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Net Foreign Currency Exchange Gain Loss,Gain Loss On Sale Of Business,Net Income From Continuing Operations
2025-03-31,4088000000.0,0.0,-396000000.0,-263000000.0,2861000000.0,1773000000.0,-27000000.0,1115000000.0,-2875000000.0,-2875000000.0,-64000000.0,1000000.0,-2416000000.0,,0.0,0.0,-396000000.0,-396000000.0,-396000000.0,-361000000.0,-361000000.0,-52000000.0,113000000.0,218000000.0,10826000000.0,-10608000000.0,-377000000.0,-377000000.0,,,-263000000.0,4351000000.0,4351000000.0,-662000000.0,-70000000.0,135000000.0,140000000.0,21000000.0,21000000.0,21000000.0,-157000000.0,-209000000.0,-30000000.0,95000000.0,-13000000.0,6000000.0,1285000000.0,1285000000.0,569000000.0,569000000.0,9000000.0,9000000.0,,3162000000.0
2024-03-31,2882000000.0,0.0,-245000000.0,-266000000.0,1773000000.0,1481000000.0,-32000000.0,324000000.0,-2116000000.0,-2116000000.0,-95000000.0,1000000.0,-1777000000.0,,0.0,0.0,-245000000.0,-245000000.0,-245000000.0,-708000000.0,-708000000.0,-12000000.0,110000000.0,-540000000.0,9917000000.0,-10457000000.0,-12000000.0,-12000000.0,,,-266000000.0,3148000000.0,3148000000.0,-1114000000.0,-623000000.0,21000000.0,-182000000.0,11000000.0,11000000.0,11000000.0,-151000000.0,-322000000.0,-140000000.0,79000000.0,9000000.0,15000000.0,1177000000.0,1177000000.0,565000000.0,565000000.0,11000000.0,11000000.0,,3169000000.0
2023-03-31,2534000000.0,-1398000000.0,-151000000.0,-319000000.0,1481000000.0,2305000000.0,-171000000.0,-653000000.0,-3288000000.0,-3288000000.0,-46000000.0,4000000.0,-1697000000.0,-1697000000.0,-1398000000.0,-1398000000.0,-151000000.0,-151000000.0,-151000000.0,-218000000.0,-218000000.0,-28000000.0,120000000.0,122000000.0,10791000000.0,-10669000000.0,-113000000.0,-113000000.0,,,-319000000.0,2853000000.0,2853000000.0,-1088000000.0,-804000000.0,103000000.0,407000000.0,-35000000.0,-35000000.0,-35000000.0,-404000000.0,-875000000.0,-39000000.0,64000000.0,15000000.0,35000000.0,1142000000.0,1142000000.0,524000000.0,524000000.0,21000000.0,21000000.0,,2983000000.0
2022-03-31,3055000000.0,-1503000000.0,-125000000.0,-290000000.0,2305000000.0,3380000000.0,-90000000.0,-985000000.0,-3325000000.0,-3325000000.0,4000000.0,2000000.0,-1703000000.0,-1703000000.0,-1503000000.0,-1503000000.0,-125000000.0,-125000000.0,-125000000.0,-1005000000.0,-1005000000.0,-21000000.0,109000000.0,-803000000.0,7786000000.0,-8589000000.0,0.0,0.0,,,-290000000.0,3345000000.0,3345000000.0,-1020000000.0,-158000000.0,299000000.0,632000000.0,200000000.0,200000000.0,200000000.0,-225000000.0,-1064000000.0,-73000000.0,56000000.0,0.0,23000000.0,1068000000.0,1068000000.0,466000000.0,466000000.0,15000000.0,15000000.0,,2968000000.0
2021-03-31,,,,,,,,,,,,,,-1226000000.0,,,,,,,,,,,,,,,-285000000.0,-285000000.0,,,,,,,,,,,,,,,,,,,,,,,0.0,
