,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Dueto Related Parties Non Current,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Line Of Credit,Commercial Paper,Payables And Accrued Expenses,Payables,Other Payable,Dueto Related Parties Current,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Accounts Receivable,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Current Assets,Other Current Assets,Restricted Cash,Inventory,Finished Goods,Raw Materials,Receivables,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents
2024-12-31,3666000000.0,4353094536.0,8019094536.0,14730000000.0,41710000000.0,263705000000.0,301464000000.0,21683000000.0,263705000000.0,3951000000.0,263705000000.0,296509000000.0,270606000000.0,6901000000.0,263705000000.0,-14619000000.0,-14619000000.0,238817000000.0,470903000000.0,46238000000.0,46238000000.0,182869000000.0,112562000000.0,25719000000.0,9700000000.0,9700000000.0,1346000000.0,0.0,39042000000.0,39042000000.0,36755000000.0,3951000000.0,32804000000.0,70307000000.0,4955000000.0,4955000000.0,4892000000.0,63000000.0,0.0,65352000000.0,65352000000.0,11197000000.0,10378000000.0,7632000000.0,4055000000.0,36145000000.0,453475000000.0,361485000000.0,19967000000.0,7084000000.0,5763000000.0,34353000000.0,343000000.0,343000000.0,34010000000.0,294318000000.0,-259585000000.0,553903000000.0,23823000000.0,91990000000.0,1598000000.0,158000000.0,23524000000.0,19444000000.0,4080000000.0,43681000000.0,8399000000.0,35282000000.0,-162000000.0,35444000000.0,23029000000.0,23029000000.0
2023-12-31,4048000000.0,3971000000.0,8019000000.0,6196000000.0,41573000000.0,204802000000.0,242537000000.0,31293000000.0,204802000000.0,3838000000.0,204802000000.0,238447000000.0,212538000000.0,7736000000.0,204802000000.0,-11989000000.0,-11989000000.0,254917000000.0,453927000000.0,17781000000.0,17781000000.0,163779000000.0,98463000000.0,24228000000.0,10496000000.0,10496000000.0,1804000000.0,0.0,24452000000.0,24452000000.0,37483000000.0,3838000000.0,33645000000.0,65316000000.0,4090000000.0,4090000000.0,4009000000.0,6000000.0,75000000.0,61226000000.0,61226000000.0,11086000000.0,11885000000.0,7006000000.0,3189000000.0,31249000000.0,376317000000.0,279708000000.0,17138000000.0,7527000000.0,5846000000.0,34257000000.0,177000000.0,177000000.0,34080000000.0,214940000000.0,-272445000000.0,487385000000.0,22768000000.0,96609000000.0,1906000000.0,29000000.0,25120000000.0,20528000000.0,4592000000.0,38015000000.0,7719000000.0,30296000000.0,-170000000.0,30466000000.0,31539000000.0,31539000000.0
2022-12-31,3937000000.0,4082000000.0,8019000000.0,8254000000.0,41193000000.0,195049000000.0,232943000000.0,28586000000.0,195049000000.0,3299000000.0,195049000000.0,232309000000.0,202473000000.0,7424000000.0,195049000000.0,-13270000000.0,-13270000000.0,240293000000.0,432860000000.0,15752000000.0,15752000000.0,166594000000.0,97549000000.0,21733000000.0,10045000000.0,10045000000.0,2338000000.0,0.0,22874000000.0,22874000000.0,40559000000.0,3299000000.0,37260000000.0,69045000000.0,634000000.0,634000000.0,181000000.0,379000000.0,74000000.0,68411000000.0,68411000000.0,11474000000.0,14585000000.0,9183000000.0,5214000000.0,33169000000.0,369067000000.0,271436000000.0,16951000000.0,8049000000.0,6944000000.0,34800000000.0,278000000.0,278000000.0,34522000000.0,204692000000.0,-268001000000.0,472693000000.0,18335000000.0,97631000000.0,1782000000.0,25000000.0,24435000000.0,20434000000.0,4001000000.0,41749000000.0,8905000000.0,32844000000.0,-168000000.0,33012000000.0,29640000000.0,29640000000.0
2021-12-31,3780000000.0,4239000000.0,8019000000.0,39040000000.0,47704000000.0,168577000000.0,214419000000.0,2511000000.0,168577000000.0,1862000000.0,168577000000.0,210143000000.0,175683000000.0,7106000000.0,168577000000.0,-13764000000.0,-13764000000.0,225464000000.0,392059000000.0,15746000000.0,15746000000.0,163240000000.0,106597000000.0,21717000000.0,18430000000.0,18430000000.0,2857000000.0,0.0,20165000000.0,20165000000.0,43428000000.0,1862000000.0,41566000000.0,56643000000.0,4276000000.0,4276000000.0,2392000000.0,276000000.0,1608000000.0,52367000000.0,52367000000.0,11362000000.0,8885000000.0,5497000000.0,1601000000.0,26623000000.0,338923000000.0,279769000000.0,18022000000.0,8326000000.0,5506000000.0,31363000000.0,138000000.0,138000000.0,31225000000.0,216552000000.0,-278510000000.0,495062000000.0,18014000000.0,59154000000.0,1189000000.0,0.0,18780000000.0,14519000000.0,4261000000.0,32383000000.0,5500000000.0,26883000000.0,-159000000.0,27042000000.0,6802000000.0,6802000000.0
