,Free Cash Flow,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Preferred Stock Dividend Paid,Common Stock Dividend Paid,Net Preferred Stock Issuance,Preferred Stock Issuance,Net Common Stock Issuance,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Accrued Expense,Change In Receivables,Other Non Cash Items,Stock Based Compensation,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Gain Loss On Investment Securities,Net Income From Continuing Operations
2022-12-31,897356000.0,0.0,8644493000.0,0.0,-48321000.0,1024849000.0,333495000.0,5954643000.0,29620671000.0,-23666028000.0,-8384726000.0,-8384726000.0,-40375000.0,-177686000.0,-36500000.0,-141186000.0,0.0,0.0,731909000.0,8644493000.0,8644493000.0,0.0,8644493000.0,-16226979000.0,-16226979000.0,-393646000.0,-6186721000.0,3479008000.0,-9665729000.0,-48321000.0,-48321000.0,945677000.0,945677000.0,-244100000.0,-744020000.0,642908000.0,642908000.0,-142988000.0,-709355000.0,56123000.0,42443000.0,42443000.0,23324000.0,23324000.0,-10305000.0,-10305000.0,1337049000.0
2021-12-31,847446000.0,-460000000.0,0.0,0.0,-32196000.0,324761000.0,353348000.0,29620671000.0,12348331000.0,17272340000.0,43513895000.0,43513895000.0,-38695000.0,-168170000.0,-37887000.0,-130283000.0,0.0,0.0,1363289000.0,-460000000.0,-460000000.0,-460000000.0,0.0,-27121197000.0,-27121197000.0,4981000.0,-10876290000.0,4906033000.0,-15782323000.0,-32196000.0,-32196000.0,879642000.0,879642000.0,107505000.0,-86423000.0,222954000.0,222954000.0,-29026000.0,-600517000.0,49589000.0,24412000.0,24412000.0,21005000.0,21005000.0,-18808000.0,-18808000.0,918441000.0
2020-12-31,869321000.0,-1452898000.0,525000000.0,708018000.0,-35042000.0,425604000.0,237668000.0,12348331000.0,789832000.0,11558502000.0,22532698000.0,22532698000.0,-9452000.0,-120078000.0,0.0,-120078000.0,708018000.0,708018000.0,-50008000.0,-927898000.0,-927898000.0,-1452898000.0,525000000.0,-11878559000.0,-11878559000.0,59661000.0,-2124022000.0,3308710000.0,-5432732000.0,-35042000.0,-35042000.0,904363000.0,904363000.0,16816000.0,-70845000.0,217935000.0,217935000.0,-130274000.0,6468000.0,54994000.0,-117128000.0,-117128000.0,20684000.0,20684000.0,-16474000.0,-16474000.0,528359000.0
