,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Operating Income,Operating Expense,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2024-12-31,0.0,0.21,2493642000.0,,,910257000.0,973512000.0,5605426000.0,2493642000.0,1520130000.0,-747223000.0,747223000.0,910257000.0,910257000.0,8013745000.0,1465906000.0,515030548.0,435278605.0,1.89,2.09,910257000.0,910257000.0,910257000.0,910257000.0,910257000.0,-137350000.0,772907000.0,54224000.0,54224000.0,,,,-747223000.0,,747223000.0,1465906000.0,2325049000.0,890242000.0,890242000.0,1434807000.0,3790955000.0,5688696000.0,9479651000.0,9479651000.0
2023-12-31,0.0,0.21,1773943000.0,,,166178000.0,883236000.0,5393919000.0,1773943000.0,890707000.0,-727531000.0,727531000.0,166178000.0,166178000.0,7619013000.0,930911000.0,427400849.0,424424962.0,0.39,0.39,166178000.0,166178000.0,166178000.0,166178000.0,166178000.0,-3002000.0,163176000.0,-40204000.0,-40204000.0,,,,-727531000.0,,727531000.0,930911000.0,2150426000.0,808568000.0,808568000.0,1341858000.0,3081337000.0,5468587000.0,8549924000.0,8549924000.0
2022-12-31,0.0,0.002984,-665138000.0,0.0,0.0,-2269909000.0,810053000.0,4206359000.0,-665138000.0,-1475191000.0,-801512000.0,801512000.0,-2269909000.0,-2269909000.0,6395517000.0,-1551757000.0,419773195.0,419773195.0,-5.41,-5.41,-2269909000.0,-2269909000.0,-2269909000.0,-2269909000.0,-2269909000.0,-6794000.0,-2276703000.0,76566000.0,76566000.0,0.0,,0.0,-801512000.0,,801512000.0,-1551757000.0,2128431000.0,749326000.0,749326000.0,1379105000.0,576674000.0,4267086000.0,4843760000.0,4843760000.0
2021-12-31,0.0,0.27,-1669791000.0,-1400000.0,-1400000.0,-4506587000.0,758604000.0,1550278000.0,-1669791000.0,-2428395000.0,-2072925000.0,2072925000.0,-4506587000.0,-4506587000.0,3200334000.0,-2552348000.0,365449967.0,365449967.0,-12.33,-12.33,-4506587000.0,-4506587000.0,-4506587000.0,-4506587000.0,-4506587000.0,5267000.0,-4501320000.0,123953000.0,123953000.0,-1400000.0,1400000.0,0.0,-2072925000.0,54400000.0,2072925000.0,-2552348000.0,1592297000.0,700845000.0,700845000.0,891452000.0,-960051000.0,1608037000.0,647986000.0,647986000.0
2020-12-31,,,,-1607797000.0,-1607797000.0,,,,,,,,,,,,,,,,,,,,,,,,,-1607797000.0,27800000.0,1607797000.0,,42200000.0,,,,,,,,,,
