,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Preferred Stock Issuance,Preferred Stock Issuance,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Capital Expenditure Reported,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Accrued Expense,Change In Payable,Change In Account Payable,Change In Tax Payable,Change In Income Tax Payable,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Depreciation,Operating Gains Losses,Pension And Employee Benefit Expense,Earnings Losses From Equity Investments,Net Foreign Currency Exchange Gain Loss,Net Income From Continuing Operations
2024-12-31,-5980000000.0,-7064000000.0,-43399000000.0,53435000000.0,,-26109000000.0,6183000000.0,1475000000.0,22964000000.0,21917000000.0,-503000000.0,1550000000.0,1938000000.0,1939000000.0,-509000000.0,-653000000.0,-653000000.0,,,-7064000000.0,-7064000000.0,10164000000.0,128000000.0,10036000000.0,-43399000000.0,53435000000.0,-20517000000.0,-20517000000.0,-5645000000.0,345000000.0,4331000000.0,-3986000000.0,-4387000000.0,10892000000.0,-15279000000.0,-10830000000.0,20129000000.0,20126000000.0,-1529000000.0,,-2022000000.0,7014000000.0,6018000000.0,996000000.0,1284000000.0,-288000000.0,-288000000.0,666000000.0,-7187000000.0,-846000000.0,-1948000000.0,1368000000.0,1368000000.0,12389000000.0,12389000000.0,12389000000.0,3886000000.0,89000000.0,4118000000.0,-321000000.0,5963000000.0
2023-12-31,-3680000000.0,-11115000000.0,-44675000000.0,50963000000.0,,-24610000000.0,5515000000.0,1726000000.0,21917000000.0,21948000000.0,54000000.0,-85000000.0,-6353000000.0,-6354000000.0,-773000000.0,-597000000.0,-597000000.0,,,-11115000000.0,-11115000000.0,6132000000.0,-156000000.0,6288000000.0,-44675000000.0,50963000000.0,-14663000000.0,-14663000000.0,-8002000000.0,4916000000.0,9345000000.0,-4429000000.0,-607000000.0,13033000000.0,-13640000000.0,-10970000000.0,20930000000.0,20930000000.0,1822000000.0,,-685000000.0,5063000000.0,5582000000.0,-519000000.0,-398000000.0,-121000000.0,-121000000.0,-757000000.0,-1799000000.0,1183000000.0,-2263000000.0,-1041000000.0,-1041000000.0,11888000000.0,11888000000.0,11888000000.0,684000000.0,90000000.0,245000000.0,349000000.0,9840000000.0
2022-12-31,-5144000000.0,-2500000000.0,-39606000000.0,45813000000.0,,-21187000000.0,3606000000.0,1191000000.0,21948000000.0,23542000000.0,-138000000.0,-1456000000.0,383000000.0,384000000.0,-3300000000.0,-397000000.0,-397000000.0,,,-2500000000.0,-2500000000.0,6580000000.0,373000000.0,6207000000.0,-39606000000.0,45813000000.0,-17882000000.0,-17882000000.0,-7149000000.0,-3780000000.0,8057000000.0,-11837000000.0,2285000000.0,14234000000.0,-11949000000.0,-9238000000.0,16043000000.0,16042000000.0,-2977000000.0,,-248000000.0,9335000000.0,2918000000.0,6417000000.0,6144000000.0,273000000.0,273000000.0,-2581000000.0,-9483000000.0,-4483000000.0,-1579000000.0,425000000.0,425000000.0,11290000000.0,11290000000.0,11290000000.0,-824000000.0,-1189000000.0,193000000.0,172000000.0,9708000000.0
2021-12-31,-6923000000.0,0.0,-47806000000.0,45300000000.0,1736000000.0,-22111000000.0,3403000000.0,652000000.0,23542000000.0,23117000000.0,-152000000.0,577000000.0,1744000000.0,1744000000.0,1524000000.0,-186000000.0,-186000000.0,1736000000.0,1736000000.0,0.0,0.0,406000000.0,2912000000.0,-2506000000.0,-47806000000.0,45300000000.0,-16355000000.0,-16355000000.0,-9022000000.0,385000000.0,9347000000.0,-8962000000.0,-209000000.0,14393000000.0,-14602000000.0,-7509000000.0,15188000000.0,15188000000.0,-3366000000.0,,-1418000000.0,-2140000000.0,-879000000.0,-1261000000.0,-1166000000.0,-95000000.0,-95000000.0,-3155000000.0,3347000000.0,493000000.0,-3517000000.0,2214000000.0,2214000000.0,12051000000.0,12051000000.0,12051000000.0,-2139000000.0,-1605000000.0,-517000000.0,-17000000.0,9945000000.0
2020-12-31,,,,,492000000.0,,,,,,,,,,,,,492000000.0,492000000.0,,,,,,,,,,,,,,,,,,,,,53000000.0,,,,,,,,,,,,,,,,,,,,,
