,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Write Off,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2025-01-31,-417100.0,0.043,32100000.0,-9700000.0,-9700000.0,131300000.0,38900000.0,2709100000.0,22400000.0,-16500000.0,163400000.0,,163400000.0,140582900.0,131300000.0,3839500000.0,-26200000.0,394700000.0,394100000.0,0.33,0.33,131300000.0,131300000.0,131300000.0,131300000.0,,131300000.0,5900000.0,137200000.0,-9700000.0,,-9700000.0,,9700000.0,,163400000.0,,,163400000.0,-16500000.0,1130400000.0,1130400000.0,1113900000.0,2709100000.0,3823000000.0,3823000000.0
2024-01-31,-1008000.0,0.21,31300000.0,-4800000.0,-4800000.0,6700000.0,56200000.0,3978600000.0,26500000.0,-29700000.0,49500000.0,,49500000.0,10492000.0,6700000.0,5302500000.0,-34500000.0,305200000.0,305100000.0,0.02,0.02,6700000.0,6700000.0,6700000.0,6700000.0,,6700000.0,6400000.0,13100000.0,-6700000.0,-1900000.0,-4800000.0,,4800000.0,,49500000.0,-49500000.0,,49500000.0,-29700000.0,1323900000.0,1323900000.0,1294200000.0,3978600000.0,5272800000.0,5272800000.0
2023-01-31,-567000.0,0.21,-244500000.0,-2700000.0,-2700000.0,-313100000.0,61700000.0,4555100000.0,-247200000.0,-308900000.0,9500000.0,,9500000.0,-310967000.0,-313100000.0,6236100000.0,-311600000.0,304200000.0,304200000.0,-1.03,-1.03,-313100000.0,-313100000.0,-313100000.0,-313100000.0,0.0,-313100000.0,11000000.0,-302100000.0,-2700000.0,,-2700000.0,0.0,2700000.0,0.0,9500000.0,-9500000.0,,9500000.0,-308900000.0,1681000000.0,1681000000.0,1372100000.0,4555100000.0,5927200000.0,5927200000.0
2022-01-31,-241200.0,0.036,-277900000.0,-6700000.0,-6700000.0,-381300000.0,77200000.0,4662900000.0,-284600000.0,-361800000.0,-26900000.0,26900000.0,-26900000.0,-374841200.0,-381300000.0,6372500000.0,-368500000.0,290400000.0,290400000.0,-1.3125,-1.3125,-381300000.0,-381300000.0,-381300000.0,-381300000.0,0.0,-381300000.0,-14100000.0,-395400000.0,-6700000.0,,-6700000.0,0.0,6700000.0,6700000.0,-26900000.0,26900000.0,26900000.0,-26900000.0,-361800000.0,1709600000.0,1709600000.0,1347800000.0,4662900000.0,6010700000.0,6010700000.0
2021-01-31,,,,,,,,,,,,34000000.0,,,,,,,,,,,,,,-700000.0,,,,,,,32400000.0,,-32400000.0,,32100000.0,34000000.0,,,,,,,,
