,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Payments,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Other Investing Changes,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Dividend Received Cfo,Change In Working Capital,Change In Other Working Capital,Change In Payables And Accrued Expense,Change In Accrued Expense,Change In Interest Payable,Change In Payable,Change In Account Payable,Change In Prepaid Assets,Change In Inventory,Change In Receivables,Other Non Cash Items,Stock Based Compensation,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Earnings Losses From Equity Investments,Gain Loss On Investment Securities,Net Foreign Currency Exchange Gain Loss,Net Income From Continuing Operations
2024-12-31,1997000000.0,,-11943000000.0,10318000000.0,,-3268000000.0,1210000000.0,388000000.0,497000000.0,-6000000.0,-103000000.0,-1922000000.0,-1922000000.0,-190000000.0,-107000000.0,-107000000.0,,,,-1625000000.0,,,,-1625000000.0,-11943000000.0,10318000000.0,-3446000000.0,-3446000000.0,5000000.0,-116000000.0,14000000.0,-130000000.0,-67000000.0,-67000000.0,-3268000000.0,,-3268000000.0,5265000000.0,5265000000.0,,204000000.0,186000000.0,120000000.0,0.0,,120000000.0,120000000.0,-137000000.0,-17000000.0,52000000.0,18000000.0,267000000.0,,0.0,0.0,1600000000.0,1600000000.0,280000000.0,-260000000.0,77000000.0,,2896000000.0
2023-12-31,580000000.0,,-9646000000.0,7641000000.0,0.0,-3897000000.0,1442000000.0,497000000.0,1935000000.0,1000000.0,-1439000000.0,-1993000000.0,-1993000000.0,12000000.0,0.0,0.0,0.0,,0.0,-2005000000.0,0.0,0.0,,-2005000000.0,-9646000000.0,7641000000.0,-3923000000.0,-3923000000.0,56000000.0,-51000000.0,35000000.0,-86000000.0,-31000000.0,-31000000.0,-3897000000.0,13000000.0,-3897000000.0,4477000000.0,4477000000.0,,1171000000.0,1143000000.0,137000000.0,13000000.0,,124000000.0,124000000.0,-184000000.0,-24000000.0,99000000.0,127000000.0,126000000.0,,-8000000.0,-8000000.0,1455000000.0,1455000000.0,-98000000.0,-200000000.0,-19000000.0,,1704000000.0
2022-12-31,-2229000000.0,,-7778000000.0,9787000000.0,0.0,-2710000000.0,960000000.0,1935000000.0,2702000000.0,-2000000.0,-765000000.0,1741000000.0,1741000000.0,-268000000.0,0.0,0.0,0.0,,0.0,2009000000.0,0.0,0.0,0.0,2009000000.0,-7778000000.0,9787000000.0,-2987000000.0,-2987000000.0,26000000.0,-303000000.0,53000000.0,-356000000.0,0.0,0.0,-2710000000.0,421000.0,-2710000000.0,481000000.0,481000000.0,,973000000.0,1007000000.0,427000000.0,352000000.0,136855000.0,75000000.0,75000000.0,-153000000.0,-74000000.0,-234000000.0,106000000.0,36000000.0,562000.0,-22000000.0,-22000000.0,1407000000.0,1407000000.0,137000000.0,-57000000.0,100000000.0,0.0,-2156000000.0
2021-12-31,-4108000000.0,0.0,-2847000000.0,4468000000.0,1622000000.0,-2230000000.0,834000000.0,2702000000.0,3684000000.0,0.0,-982000000.0,3041000000.0,3041000000.0,-202000000.0,0.0,,1622000000.0,0.0,1622000000.0,1621000000.0,-415000000.0,-415000000.0,0.0,2036000000.0,-2432000000.0,4468000000.0,-2145000000.0,-2145000000.0,9000000.0,-30000000.0,44000000.0,-74000000.0,-70000000.0,-70000000.0,-2054000000.0,176000000.0,-2230000000.0,-1878000000.0,-1878000000.0,0.0,1480000000.0,1427000000.0,422000000.0,233000000.0,-694000.0,189000000.0,189000000.0,-152000000.0,-35000000.0,-182000000.0,315000000.0,64000000.0,82001000.0,-43000000.0,-43000000.0,1293000000.0,1293000000.0,273000000.0,135000000.0,-1000000.0,0.0,-5260000000.0
2020-12-31,,0.0,,,1431375000.0,,,,,,,,,,,-326421000.0,1431375000.0,0.0,1431375000.0,,-1071819000.0,-7837635000.0,6765816000.0,,,,,,,,,,,,,27796000.0,,,,2215000.0,,,,,182578000.0,,,,,,,,1566380000.0,,,,,,,,69044000.0,
