,Treasury Shares Number,Preferred Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Foreign Currency Translation Adjustments,Minimum Pension Liabilities,Unrealized Gain Loss,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Line Of Credit,Commercial Paper,Current Notes Payable,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Investments And Advances,Long Term Equity Investment,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2024-12-31,444853148.0,138000000.0,7175895450.0,7620748598.0,120234000000.0,140923000000.0,-91350000000.0,227904000000.0,-15704000000.0,-91350000000.0,17391000000.0,104372000000.0,222815000000.0,120225000000.0,15853000000.0,104372000000.0,795000000.0,-604000000.0,-1755000000.0,3200000000.0,-46000000.0,15023000000.0,1871000000.0,109108000000.0,7621000000.0,7621000000.0,0.0,274570000000.0,227698000000.0,23900000000.0,9025000000.0,9025000000.0,58939000000.0,58939000000.0,135834000000.0,17391000000.0,118443000000.0,46872000000.0,,4099000000.0,4099000000.0,5089000000.0,,5089000000.0,5089000000.0,,0.0,,570000000.0,37114000000.0,4035000000.0,2020000000.0,33079000000.0,2318000000.0,2027000000.0,1301000000.0,27433000000.0,394795000000.0,363627000000.0,17830000000.0,295000000.0,295000000.0,,195722000000.0,132290000000.0,63432000000.0,149780000000.0,-222043000000.0,371823000000.0,7452000000.0,203782000000.0,119270000000.0,39947000000.0,1372000000.0,0.0,31168000000.0,15962000000.0,,1268000000.0,,2270000000.0,9638000000.0,9638000000.0,-375000000.0,10013000000.0,3298000000.0,3298000000.0,1149000000.0,2149000000.0
2023-12-31,470685237.0,118000000.0,7150063361.0,7620748598.0,130609000000.0,154899000000.0,-97059000000.0,240628000000.0,-14669000000.0,-97059000000.0,17568000000.0,103297000000.0,231151000000.0,119415000000.0,16118000000.0,103297000000.0,2300000000.0,-1029000000.0,-1337000000.0,4723000000.0,-57000000.0,16128000000.0,-5015000000.0,114519000000.0,7621000000.0,7621000000.0,0.0,287645000000.0,236518000000.0,23696000000.0,8734000000.0,8734000000.0,58666000000.0,58666000000.0,145422000000.0,17568000000.0,127854000000.0,51127000000.0,,3778000000.0,3778000000.0,9477000000.0,,9477000000.0,7386000000.0,,2091000000.0,7386000000.0,631000000.0,37241000000.0,3885000000.0,2187000000.0,33356000000.0,3005000000.0,2020000000.0,1022000000.0,27309000000.0,407060000000.0,370602000000.0,19601000000.0,1251000000.0,1251000000.0,,200356000000.0,132502000000.0,67854000000.0,149394000000.0,-211402000000.0,360796000000.0,5640000000.0,196393000000.0,118006000000.0,39380000000.0,1377000000.0,0.0,36458000000.0,17270000000.0,,1381000000.0,,2177000000.0,10289000000.0,10289000000.0,-499000000.0,10788000000.0,6722000000.0,6722000000.0,5354000000.0,1368000000.0
2022-12-31,493156816.0,118000000.0,7128000000.0,7621156816.0,132319000000.0,154679000000.0,-99841000000.0,233520000000.0,-23065000000.0,-99841000000.0,18659000000.0,97500000000.0,225923000000.0,106457000000.0,8957000000.0,97500000000.0,2766000000.0,-1998000000.0,-1800000000.0,6654000000.0,-90000000.0,17082000000.0,-19415000000.0,123610000000.0,7621000000.0,7621000000.0,0.0,296396000000.0,240223000000.0,28849000000.0,7260000000.0,7260000000.0,57032000000.0,57032000000.0,147082000000.0,18659000000.0,128423000000.0,56173000000.0,2670000000.0,3918000000.0,3918000000.0,7597000000.0,,7597000000.0,6601000000.0,0.0,866000000.0,130000000.0,1173000000.0,40815000000.0,3765000000.0,2160000000.0,37050000000.0,3137000000.0,2014000000.0,798000000.0,31101000000.0,402853000000.0,369745000000.0,19612000000.0,3533000000.0,3533000000.0,3533000000.0,197341000000.0,129446000000.0,67895000000.0,149259000000.0,-202185000000.0,351444000000.0,7182000000.0,188022000000.0,116108000000.0,38751000000.0,1381000000.0,0.0,33108000000.0,14818000000.0,0.0,1045000000.0,,3123000000.0,11466000000.0,11466000000.0,-588000000.0,12054000000.0,3701000000.0,3701000000.0,2835000000.0,866000000.0
2021-12-31,479684705.0,118000000.0,7141063893.0,7620748598.0,157653000000.0,195832000000.0,-45629000000.0,343208000000.0,64538000000.0,-45629000000.0,18956000000.0,166332000000.0,317343000000.0,183855000000.0,17523000000.0,166332000000.0,3529000000.0,-1422000000.0,-1964000000.0,6870000000.0,45000000.0,17280000000.0,42350000000.0,130112000000.0,7621000000.0,7621000000.0,0.0,367767000000.0,261537000000.0,25243000000.0,12560000000.0,12560000000.0,53767000000.0,53767000000.0,169967000000.0,18956000000.0,151011000000.0,106230000000.0,33555000000.0,3966000000.0,3966000000.0,25865000000.0,,25865000000.0,7934000000.0,10100000000.0,6586000000.0,9179000000.0,1234000000.0,41610000000.0,4520000000.0,2438000000.0,37090000000.0,2682000000.0,3749000000.0,1148000000.0,29511000000.0,551622000000.0,380854000000.0,19252000000.0,6168000000.0,6168000000.0,6168000000.0,211961000000.0,119221000000.0,92740000000.0,143473000000.0,-202964000000.0,346437000000.0,5425000000.0,187817000000.0,113590000000.0,38204000000.0,1401000000.0,0.0,170768000000.0,16131000000.0,119776000000.0,2706000000.0,17793000000.0,3325000000.0,12313000000.0,12313000000.0,-658000000.0,12971000000.0,19223000000.0,19223000000.0,15965000000.0,5204000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189000000.0,,,0.0,,,,,,,,,,,,,,,,,1780000000.0,,,,,,,,,,,,,,,,,18358000000.0,,,,,,,,,
