,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Inventory,Finished Goods,Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2025-08-31,443237000.0,443237000.0,8173000000.0,29164000000.0,34877000000.0,1272000000.0,29164000000.0,2460000000.0,29164000000.0,34877000000.0,29164000000.0,0.0,29164000000.0,-1770000000.0,-1770000000.0,22650000000.0,8282000000.0,2000000.0,2000000.0,0.0,47935000000.0,10827000000.0,2654000000.0,8173000000.0,2460000000.0,5713000000.0,37108000000.0,6589000000.0,2854000000.0,,,27665000000.0,7882000000.0,19783000000.0,19783000000.0,77099000000.0,38719000000.0,4085000000.0,34634000000.0,-18931000000.0,53565000000.0,1882000000.0,2725000000.0,13127000000.0,25508000000.0,10323000000.0,0.0,38380000000.0,1777000000.0,18116000000.0,18116000000.0,3203000000.0,3203000000.0,15284000000.0,1123000000.0,14161000000.0
2024-08-31,443126000.0,443126000.0,8169000000.0,23622000000.0,29416000000.0,-1218000000.0,23622000000.0,2375000000.0,23622000000.0,29416000000.0,23622000000.0,0.0,23622000000.0,-1828000000.0,-1828000000.0,17619000000.0,7829000000.0,2000000.0,2000000.0,0.0,46209000000.0,10745000000.0,2576000000.0,8169000000.0,2375000000.0,5794000000.0,35464000000.0,6313000000.0,2501000000.0,103000000.0,103000000.0,26650000000.0,7229000000.0,19421000000.0,19421000000.0,69831000000.0,35585000000.0,3936000000.0,31649000000.0,-17918000000.0,49567000000.0,1389000000.0,2617000000.0,12387000000.0,23727000000.0,9447000000.0,0.0,34246000000.0,1734000000.0,18647000000.0,18647000000.0,2721000000.0,2721000000.0,11144000000.0,1238000000.0,9906000000.0
2023-08-31,442793000.0,442793000.0,8884000000.0,25058000000.0,31516000000.0,2296000000.0,25058000000.0,2426000000.0,25058000000.0,30435000000.0,25058000000.0,0.0,25058000000.0,-1805000000.0,-1805000000.0,19521000000.0,7340000000.0,2000000.0,2000000.0,0.0,43936000000.0,10353000000.0,2550000000.0,7803000000.0,2426000000.0,5377000000.0,33583000000.0,6254000000.0,2337000000.0,1081000000.0,1081000000.0,23911000000.0,6428000000.0,17483000000.0,17483000000.0,68994000000.0,33115000000.0,3718000000.0,29397000000.0,-16685000000.0,46082000000.0,1266000000.0,2713000000.0,11512000000.0,22001000000.0,8590000000.0,0.0,35879000000.0,1709000000.0,16651000000.0,16651000000.0,2285000000.0,2285000000.0,15234000000.0,1534000000.0,13700000000.0
2022-08-31,442664000.0,442664000.0,9039000000.0,20642000000.0,27199000000.0,698000000.0,20642000000.0,2482000000.0,20642000000.0,27126000000.0,20647000000.0,5000000.0,20642000000.0,-1829000000.0,-1829000000.0,15585000000.0,6884000000.0,2000000.0,2000000.0,0.0,43519000000.0,11521000000.0,2555000000.0,8966000000.0,2482000000.0,6484000000.0,31998000000.0,5611000000.0,2174000000.0,73000000.0,73000000.0,24140000000.0,6292000000.0,17848000000.0,17848000000.0,64166000000.0,31470000000.0,4050000000.0,27420000000.0,-15286000000.0,42706000000.0,1582000000.0,2774000000.0,10275000000.0,20120000000.0,7955000000.0,0.0,32696000000.0,1499000000.0,17907000000.0,17907000000.0,2241000000.0,2241000000.0,11049000000.0,846000000.0,10203000000.0
2021-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799000000.0,799000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
