,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Capital Expenditure Reported,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Working Capital,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Tax Payable,Change In Income Tax Payable,Change In Prepaid Assets,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Provisionand Write Offof Assets,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Amortization Cash Flow,Amortization Of Intangibles,Depreciation,Net Income From Continuing Operations
2025-05-31,-394000000.0,-1500000000.0,-15841000000.0,19548000000.0,653000000.0,-21215000000.0,3374000000.0,4020000000.0,10786000000.0,10454000000.0,124000000.0,208000000.0,1098000000.0,1098000000.0,1092000000.0,-4743000000.0,-4743000000.0,-847000000.0,-1500000000.0,653000000.0,5596000000.0,1889000000.0,,3707000000.0,-15841000000.0,19548000000.0,-21711000000.0,-21711000000.0,-496000000.0,776000000.0,-1272000000.0,0.0,0.0,-21215000000.0,20821000000.0,20821000000.0,-1500000000.0,154000000.0,-1267000000.0,-1267000000.0,-608000000.0,-659000000.0,-659000000.0,266000000.0,-653000000.0,-653000000.0,667000000.0,4674000000.0,,-1637000000.0,-1637000000.0,6174000000.0,6174000000.0,2307000000.0,2307000000.0,3867000000.0,12443000000.0
2024-05-31,11807000000.0,-3242000000.0,-3500000000.0,0.0,742000000.0,-6866000000.0,3655000000.0,3560000000.0,10454000000.0,9765000000.0,-70000000.0,759000000.0,-10554000000.0,-10554000000.0,4000000.0,-4391000000.0,-4391000000.0,-2500000000.0,-3242000000.0,742000000.0,-3667000000.0,-167000000.0,,-3500000000.0,-3500000000.0,0.0,-7360000000.0,-7360000000.0,-431000000.0,572000000.0,-1003000000.0,-63000000.0,-63000000.0,-6866000000.0,18673000000.0,18673000000.0,-488000000.0,656000000.0,-721000000.0,-721000000.0,-594000000.0,-127000000.0,-127000000.0,542000000.0,-965000000.0,-965000000.0,720000000.0,3974000000.0,,-2139000000.0,-2139000000.0,6139000000.0,6139000000.0,3010000000.0,3010000000.0,3129000000.0,10467000000.0
2023-05-31,8470000000.0,-2503000000.0,-21050000000.0,33494000000.0,1192000000.0,-8695000000.0,3250000000.0,3009000000.0,9765000000.0,21383000000.0,-209000000.0,-11409000000.0,7910000000.0,7910000000.0,-55000000.0,-3668000000.0,-3668000000.0,-1311000000.0,-2503000000.0,1192000000.0,12944000000.0,500000000.0,500000000.0,12444000000.0,-21050000000.0,33494000000.0,-36484000000.0,-36484000000.0,-68000000.0,1113000000.0,-1181000000.0,-27721000000.0,-27721000000.0,-8695000000.0,17165000000.0,17165000000.0,513000000.0,781000000.0,-434000000.0,-434000000.0,-281000000.0,-153000000.0,-153000000.0,317000000.0,-151000000.0,-151000000.0,661000000.0,3547000000.0,,-2167000000.0,-2167000000.0,6108000000.0,6108000000.0,3582000000.0,3582000000.0,2526000000.0,8503000000.0
2022-05-31,5028000000.0,-17341000000.0,-8250000000.0,0.0,482000000.0,-4511000000.0,2735000000.0,2567000000.0,21383000000.0,30098000000.0,-348000000.0,-8367000000.0,-29126000000.0,-29126000000.0,-560000000.0,-3457000000.0,-3457000000.0,-16859000000.0,-17341000000.0,482000000.0,-8250000000.0,0.0,0.0,-8250000000.0,-8250000000.0,0.0,11220000000.0,11220000000.0,15879000000.0,26151000000.0,-10272000000.0,-148000000.0,-148000000.0,-4511000000.0,9539000000.0,9539000000.0,-1987000000.0,7000000.0,-1131000000.0,-1131000000.0,-733000000.0,-398000000.0,-398000000.0,11000000.0,-874000000.0,-874000000.0,220000000.0,2613000000.0,,-1146000000.0,-1146000000.0,3122000000.0,3122000000.0,1150000000.0,1150000000.0,1972000000.0,6717000000.0
2021-05-31,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,192000000.0,,,,,,,,
