,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,End Cash Position,Other Cash Adjustment Outside Changein Cash,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Other Cash Adjustment Inside Changein Cash,Financing Cash Flow,Interest Paid Cff,Cash Dividends Paid,Net Common Stock Issuance,Common Stock Payments,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Net Other Investing Changes,Interest Received Cfi,Dividends Received Cfi,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Taxes Refund Paid,Change In Working Capital,Change In Other Current Assets,Change In Payable,Change In Inventory,Change In Receivables,Other Non Cash Items,Stock Based Compensation,Provisionand Write Offof Assets,Depreciation And Amortization,Amortization Cash Flow,Depreciation,Gain Loss On Investment Securities,Net Foreign Currency Exchange Gain Loss,Gain Loss On Sale Of PPE,Net Income From Continuing Operations
2025-03-31,15441000000.0,-1002900000.0,-5503100000.0,94095700000.0,333100000.0,-91293300000.0,4672100000.0,6651000000.0,5535800000.0,37900000.0,-7552600000.0,,50757600000.0,-15397700000.0,-20116500000.0,-669800000.0,-1002900000.0,333100000.0,88592600000.0,20682500000.0,20682500000.0,67910100000.0,-5503100000.0,73413200000.0,-165044500000.0,100000.0,3420300000.0,8100000.0,32087200000.0,191153400000.0,-159066200000.0,-111053900000.0,362700000.0,-111416600000.0,-89506300000.0,1787000000.0,-91293300000.0,106734300000.0,-13006300000.0,-6710700000.0,7627200000.0,-4755500000.0,-3169300000.0,-6075400000.0,13456200000.0,515600000.0,738000000.0,40149500000.0,2959200000.0,37190300000.0,-3943900000.0,700500000.0,-563800000.0,75281300000.0
2024-03-31,18919500000.0,-1004100000.0,-10687100000.0,13986200000.0,179500000.0,-90055900000.0,5535800000.0,,3703700000.0,-5600000.0,1837700000.0,,-19256500000.0,-9166800000.0,-10944300000.0,-824600000.0,-1004100000.0,179500000.0,3299100000.0,9589900000.0,9589900000.0,-6290800000.0,-10687100000.0,4396300000.0,-87881200000.0,-10000000.0,1612400000.0,1600000.0,1157000000.0,77450200000.0,-76293200000.0,-1811700000.0,0.0,-1811700000.0,-88840500000.0,1215400000.0,-90055900000.0,108975400000.0,-16505200000.0,-4810500000.0,-2781700000.0,19590000000.0,-17115300000.0,-4209600000.0,7227700000.0,430600000.0,118900000.0,31453000000.0,1983100000.0,29469900000.0,-3173700000.0,193700000.0,-6700000.0,94222200000.0
2023-03-31,28684000000.0,-1145300000.0,-5788200000.0,10317600000.0,127800000.0,-62001100000.0,3703700000.0,,1205400000.0,-6100000.0,2504400000.0,0.0,-16310000000.0,-7649400000.0,-10912700000.0,-1017500000.0,-1145300000.0,127800000.0,4529400000.0,2058300000.0,2058300000.0,2471100000.0,-5788200000.0,8259300000.0,-71870700000.0,,2827400000.0,0.0,-4502400000.0,71935300000.0,-76437700000.0,-9139900000.0,34900000.0,-9174800000.0,-61055800000.0,945300000.0,-62001100000.0,90685100000.0,-11243100000.0,-3369500000.0,-4793000000.0,18686000000.0,-9919100000.0,-7523300000.0,5502700000.0,355800000.0,-1390600000.0,28879900000.0,2175000000.0,26704900000.0,-1478800000.0,-701600000.0,-3400000.0,74162500000.0
2022-03-31,36698300000.0,-911900000.0,-103459400000.0,1748400000.0,130300000.0,-56134100000.0,1205400000.0,,1772100000.0,-4700000.0,-562000000.0,9014800000.0,-124979300000.0,-10261800000.0,-10650000000.0,-781600000.0,-911900000.0,130300000.0,-101711000000.0,362900000.0,362900000.0,-102073900000.0,-103459400000.0,1385500000.0,22570100000.0,-661800000.0,1743700000.0,,76884600000.0,155192000000.0,-78307400000.0,3300000.0,3300000.0,0.0,-55399700000.0,734400000.0,-56134100000.0,92832400000.0,-15548900000.0,-4730200000.0,-4737600000.0,20769000000.0,-15789600000.0,-4952600000.0,6610100000.0,240200000.0,-1544200000.0,27147500000.0,2096500000.0,25051000000.0,-2888200000.0,-87200000.0,-32200000.0,83644000000.0
2021-03-31,,,,,,,,,,,,7421700000.0,,,,,,,,,,,,,,-27100000.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
