,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Raw Materials,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2025-03-31,650733068.0,650733068.0,8196800000.0,213205000000.0,214278100000.0,41800400000.0,213205000000.0,8196200000.0,214277500000.0,214278100000.0,214267000000.0,-10500000.0,214277500000.0,676000000.0,145959500000.0,61134700000.0,6507300000.0,6507300000.0,28935900000.0,6814300000.0,126700000.0,1124800000.0,5558500000.0,5557900000.0,600000.0,126700000.0,22121600000.0,193400000.0,2638300000.0,2638300000.0,,491400000.0,491400000.0,17978000000.0,4858700000.0,2411200000.0,10708100000.0,243202900000.0,179280900000.0,4264500000.0,5926200000.0,75100000.0,30100000.0,30100000.0,76500000.0,1072500000.0,289800000.0,782700000.0,171909100000.0,-38119000000.0,210028100000.0,10993500000.0,6794300000.0,23738100000.0,82555600000.0,85946600000.0,0.0,63922000000.0,174500000.0,10900000.0,3044800000.0,50443700000.0,,50372600000.0,71100000.0,1768800000.0,1537900000.0,6941400000.0,28800000.0,6912600000.0,3357800000.0,3554800000.0
2024-03-31,650733068.0,650733068.0,5922200000.0,185892000000.0,186978800000.0,42228900000.0,185892000000.0,5921600000.0,186978200000.0,186978800000.0,186973400000.0,-4800000.0,186978200000.0,368800000.0,118967400000.0,61134700000.0,6507300000.0,6507300000.0,24798600000.0,5007200000.0,91800000.0,919300000.0,3993000000.0,3992400000.0,600000.0,91800000.0,19791400000.0,72500000.0,1929200000.0,1929200000.0,,610400000.0,610400000.0,16541000000.0,4145100000.0,2547800000.0,9848100000.0,211772000000.0,149751700000.0,3679000000.0,4993600000.0,47200000.0,1020400000.0,1020400000.0,80900000.0,1086200000.0,303500000.0,782700000.0,142335100000.0,-30760700000.0,173095800000.0,9352200000.0,5443100000.0,18639900000.0,70624500000.0,69036100000.0,0.0,62020300000.0,145300000.0,9400000.0,2301800000.0,39273100000.0,,39213100000.0,60000000.0,1841500000.0,1663700000.0,16785500000.0,4067800000.0,12717700000.0,9859300000.0,2858400000.0
2023-03-31,648263978.0,648263978.0,6430400000.0,159772500000.0,160787600000.0,39813800000.0,159772500000.0,6429800000.0,160787000000.0,160787600000.0,160787800000.0,800000.0,160787000000.0,468400000.0,93693700000.0,60142300000.0,6482600000.0,6482600000.0,20275100000.0,5605000000.0,64100000.0,769600000.0,4767200000.0,4766600000.0,600000.0,64100000.0,14670100000.0,73800000.0,1663200000.0,1663200000.0,,508700000.0,508700000.0,11952400000.0,3560600000.0,853900000.0,7537900000.0,181062900000.0,126579000000.0,3604300000.0,4678300000.0,17700000.0,4100000.0,4100000.0,85400000.0,1014500000.0,231800000.0,782700000.0,120596500000.0,-24025000000.0,144621500000.0,8291600000.0,4260400000.0,14869300000.0,62014900000.0,55185300000.0,0.0,54483900000.0,96400000.0,9000000.0,2124700000.0,32434800000.0,,32382900000.0,51900000.0,3101200000.0,621600000.0,16096200000.0,14024700000.0,2071500000.0,41000000.0,2030500000.0
2022-03-31,647774691.0,647774691.0,6469400000.0,135857600000.0,136776400000.0,22245600000.0,135857600000.0,6469400000.0,136776400000.0,136776400000.0,136778900000.0,2500000.0,136776400000.0,394400000.0,69958600000.0,59945700000.0,6477700000.0,6477700000.0,17947500000.0,5764600000.0,48700000.0,640300000.0,5071500000.0,5071500000.0,0.0,48700000.0,12182900000.0,21600000.0,1397900000.0,1397900000.0,,364400000.0,364400000.0,9852400000.0,2844700000.0,1115700000.0,5892000000.0,154726400000.0,120297900000.0,3737800000.0,4666400000.0,16600000.0,10357400000.0,10357400000.0,90300000.0,918800000.0,136100000.0,782700000.0,102884500000.0,-17988400000.0,120872900000.0,11293400000.0,3289900000.0,11636400000.0,49384800000.0,45268400000.0,0.0,34428500000.0,71700000.0,8600000.0,2009400000.0,27426600000.0,,27385700000.0,40900000.0,1206800000.0,668900000.0,3036500000.0,2085300000.0,951200000.0,,951200000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33400000.0,,,,,,,,,
