,Treasury Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Other Payable,Dueto Related Parties Current,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2024-12-31,,2534487662.0,2534487662.0,49060000000.0,161068000000.0,211463000000.0,66449000000.0,161068000000.0,20234000000.0,182637000000.0,211463000000.0,182637000000.0,182637000000.0,-3097000000.0,-3097000000.0,102506000000.0,83228000000.0,0.0,0.0,93417000000.0,59821000000.0,2716000000.0,9987000000.0,47118000000.0,18292000000.0,28826000000.0,33596000000.0,6074000000.0,,,1942000000.0,1942000000.0,6350000000.0,19230000000.0,8105000000.0,11125000000.0,,,3438000000.0,7687000000.0,276054000000.0,176009000000.0,12102000000.0,6070000000.0,6070000000.0,6070000000.0,,21569000000.0,915000000.0,20654000000.0,136268000000.0,-43317000000.0,179585000000.0,7293000000.0,26802000000.0,95853000000.0,,47076000000.0,2561000000.0,0.0,100045000000.0,5236000000.0,,16994000000.0,16994000000.0,,,77815000000.0,33926000000.0,43889000000.0,36671000000.0,7218000000.0
2023-12-31,0.0,2561000000.0,2561000000.0,37234000000.0,131726000000.0,171553000000.0,53405000000.0,131726000000.0,18849000000.0,153168000000.0,171553000000.0,153168000000.0,153168000000.0,-2155000000.0,-2155000000.0,82070000000.0,73253000000.0,0.0,0.0,76455000000.0,44495000000.0,1370000000.0,7514000000.0,35611000000.0,17226000000.0,18385000000.0,31960000000.0,6369000000.0,,,1623000000.0,1623000000.0,6659000000.0,17309000000.0,8805000000.0,8504000000.0,,863000000.0,3655000000.0,4849000000.0,229623000000.0,144258000000.0,6794000000.0,6141000000.0,6141000000.0,6141000000.0,,21442000000.0,788000000.0,20654000000.0,109881000000.0,-33134000000.0,143015000000.0,6972000000.0,24269000000.0,71733000000.0,,37961000000.0,2080000000.0,0.0,85365000000.0,3793000000.0,,16169000000.0,16169000000.0,,,65403000000.0,23541000000.0,41862000000.0,35597000000.0,6265000000.0
2022-12-31,,2614000000.0,2614000000.0,26591000000.0,104510000000.0,135636000000.0,32523000000.0,104510000000.0,16668000000.0,125713000000.0,135636000000.0,125713000000.0,125713000000.0,-3530000000.0,-3530000000.0,64799000000.0,64444000000.0,0.0,0.0,60014000000.0,32988000000.0,1119000000.0,6645000000.0,25224000000.0,15301000000.0,9923000000.0,27026000000.0,4906000000.0,,,1367000000.0,1367000000.0,4591000000.0,16162000000.0,7716000000.0,8446000000.0,,1117000000.0,2339000000.0,4990000000.0,185727000000.0,126178000000.0,6583000000.0,6201000000.0,6201000000.0,6201000000.0,,21203000000.0,897000000.0,20306000000.0,92191000000.0,-24975000000.0,117166000000.0,6522000000.0,25052000000.0,55998000000.0,,27720000000.0,1874000000.0,0.0,59549000000.0,5345000000.0,,13466000000.0,13466000000.0,,,40738000000.0,26057000000.0,14681000000.0,8505000000.0,6176000000.0
2021-12-31,,2741000000.0,2741000000.0,13873000000.0,105048000000.0,124879000000.0,45531000000.0,105048000000.0,13873000000.0,124879000000.0,124879000000.0,124879000000.0,124879000000.0,-693000000.0,-693000000.0,69761000000.0,55811000000.0,0.0,0.0,41108000000.0,19973000000.0,1289000000.0,5938000000.0,12746000000.0,12746000000.0,,21135000000.0,5819000000.0,561000000.0,561000000.0,1127000000.0,1127000000.0,3152000000.0,11037000000.0,4646000000.0,6391000000.0,1052000000.0,1052000000.0,1256000000.0,4083000000.0,165987000000.0,99321000000.0,2751000000.0,6775000000.0,6775000000.0,6775000000.0,6775000000.0,19831000000.0,634000000.0,19197000000.0,69964000000.0,-20080000000.0,90044000000.0,5795000000.0,14687000000.0,45343000000.0,25584000000.0,22531000000.0,1688000000.0,0.0,66666000000.0,4629000000.0,4629000000.0,14039000000.0,14039000000.0,,,47998000000.0,31397000000.0,16601000000.0,9293000000.0,7308000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382000000.0,382000000.0,,,,,,,1093000000.0,1093000000.0,,,,,,,,,6234000000.0,,,,,,,,,,20544000000.0,,,,,,2381000000.0,,,-114000000.0,11449000000.0,,,,,
