,Free Cash Flow,Repayment Of Debt,Issuance Of Debt,Issuance Of Capital Stock,Capital Expenditure,End Cash Position,Other Cash Adjustment Outside Changein Cash,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Net Other Financing Charges,Interest Paid Cff,Net Common Stock Issuance,Common Stock Issuance,Net Issuance Payments Of Debt,Net Short Term Debt Issuance,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Net Other Investing Changes,Interest Received Cfi,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Investment Properties Purchase And Sale,Sale Of Investment Properties,Net Business Purchase And Sale,Sale Of Business,Purchase Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Taxes Refund Paid,Change In Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Inventory,Change In Receivables,Other Non Cash Items,Stock Based Compensation,Provisionand Write Offof Assets,Depreciation And Amortization,Amortization Cash Flow,Depreciation,Gain Loss On Investment Securities,Net Foreign Currency Exchange Gain Loss,Gain Loss On Sale Of PPE,Net Income From Continuing Operations
2025-03-31,7213500000.0,-439300000.0,1051900000.0,221600000.0,-3706100000.0,11128300000.0,27600000.0,4268400000.0,6832300000.0,3430100000.0,4112100000.0,-1001900000.0,221600000.0,221600000.0,382000000.0,-230600000.0,612600000.0,-439300000.0,1051900000.0,-7517400000.0,,772800000.0,-341400000.0,383600000.0,-725000000.0,148700000.0,148700000.0,-4413300000.0,0.0,-4413300000.0,-3684200000.0,21900000.0,-3706100000.0,10919600000.0,-15400000.0,-8902200000.0,23040800000.0,-3687400000.0,-8187300000.0,-20068300000.0,1898400000.0,1149500000.0,-505900000.0,2591900000.0,674000000.0,1917900000.0,-152800000.0,-458100000.0,62100000.0,14466300000.0
2024-03-31,-1478300000.0,-18015700000.0,0.0,20652100000.0,-2273600000.0,4268400000.0,-800000.0,3673100000.0,596100000.0,1316300000.0,,-1070600000.0,20652100000.0,20652100000.0,-18033600000.0,-17900000.0,-18015700000.0,-18015700000.0,0.0,-1515500000.0,,251800000.0,-82300000.0,314900000.0,-397200000.0,142100000.0,142100000.0,436800000.0,436800000.0,0.0,-2263900000.0,9700000.0,-2273600000.0,795300000.0,-203100000.0,-10610400000.0,4807200000.0,-3996900000.0,-4651600000.0,-6769100000.0,2668500000.0,291400000.0,125500000.0,1896000000.0,486900000.0,1409100000.0,-143300000.0,40500000.0,83100000.0,6594900000.0
2023-03-31,3904000000.0,-43835300000.0,30294600000.0,10796700000.0,-1006800000.0,3673100000.0,-2000000.0,5004300000.0,-1329200000.0,-7089100000.0,,-4253300000.0,10796700000.0,10796700000.0,-13388300000.0,152400000.0,-13540700000.0,-43835300000.0,30294600000.0,849100000.0,101700000.0,119800000.0,0.0,0.0,0.0,101700000.0,101700000.0,769600000.0,769600000.0,,-142000000.0,864800000.0,-1006800000.0,4910800000.0,-149300000.0,-5188000000.0,-10932400000.0,5900000.0,3807700000.0,1930800000.0,-21345100000.0,0.0,-66400000.0,2596800000.0,961700000.0,1635100000.0,-102700000.0,111100000.0,13800000.0,28917100000.0
2022-03-31,12251800000.0,-5748100000.0,0.0,0.0,-767200000.0,5004300000.0,-5900000.0,2625000000.0,2385200000.0,-10449500000.0,,-3215900000.0,0.0,0.0,-7233600000.0,-1485500000.0,-5748100000.0,-5748100000.0,0.0,-184300000.0,99300000.0,164800000.0,,,,,,106700000.0,106700000.0,,-758200000.0,9000000.0,-767200000.0,13019000000.0,94300000.0,1570100000.0,825400000.0,3534800000.0,-485200000.0,-2304900000.0,7612900000.0,,254500000.0,2598400000.0,1170000000.0,1428400000.0,,322700000.0,105300000.0,4000000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,133300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
