Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-02 00:00:00-05:00,26.595839315460037,26.725988908395074,26.544911026170794,26.573204040527344,11421200,0.0,0.0
2015-01-05 00:00:00-05:00,26.641108612238753,26.686377001356274,26.346856527810033,26.352514266967773,18964500,0.0,0.0
2015-01-06 00:00:00-05:00,26.47700393353613,26.81086664042213,26.295926074745584,26.618471145629883,22950100,0.0,0.0
2015-01-07 00:00:00-05:00,26.864670106769772,26.933379278224223,26.366540626581607,26.446699142456055,20793600,0.55,0.0
2015-01-08 00:00:00-05:00,26.578387125591064,27.04789103726906,26.412345429873866,27.01353645324707,17617500,0.0,0.0
2015-01-09 00:00:00-05:00,27.042165303926616,27.08797141785772,26.692901329747,26.773059844970703,13037600,0.0,0.0
2015-01-12 00:00:00-05:00,26.910479357043656,27.065071734597733,26.721532389758895,26.95628547668457,12730300,0.0,0.0
2015-01-13 00:00:00-05:00,27.185305005045752,27.368525084851765,26.870395629388895,27.01353645324707,13072800,0.0,0.0
2015-01-14 00:00:00-05:00,26.841764510640438,27.105143069070614,26.66426912518252,26.893295288085938,14795900,0.0,0.0
2015-01-15 00:00:00-05:00,27.059343433415332,27.219662659446335,26.79596481200453,26.96773338317871,12475800,0.0,0.0
2015-01-16 00:00:00-05:00,26.98490732993755,27.50021295868753,26.979180474152198,27.477312088012695,18050200,0.0,0.0
2015-01-20 00:00:00-05:00,27.56319085142688,27.626173150042064,27.316988511833987,27.58609390258789,16460300,0.0,0.0
2015-01-21 00:00:00-05:00,27.420059393833203,27.712067935170626,27.25974234943206,27.626182556152344,24880200,0.0,0.0
2015-01-22 00:00:00-05:00,27.551744627626334,27.75786775942931,26.858943577854024,27.3685245513916,38451100,0.0,0.0
2015-01-23 00:00:00-05:00,27.397151410423103,27.44295752010776,26.899021980457825,26.99635887145996,24317800,0.0,0.0
2015-01-26 00:00:00-05:00,26.89903431160148,26.967741323469834,26.61847940571438,26.887582778930664,15064400,0.0,0.0
2015-01-27 00:00:00-05:00,26.71580835359204,26.824594614097876,26.52686356596021,26.538312911987305,17008900,0.0,0.0
2015-01-28 00:00:00-05:00,26.81313597245804,26.92764686627864,26.355083660554456,26.366535186767578,19575800,0.0,0.0
2015-01-29 00:00:00-05:00,26.33790424125499,26.498221220315628,25.977188854213523,26.40088653564453,19161600,0.0,0.0
2015-01-30 00:00:00-05:00,26.240582274826377,26.629923386370994,26.085989891166736,26.171873092651367,22768000,0.0,0.0
2015-02-02 00:00:00-05:00,26.45241688679964,26.9963522939222,26.200487713226455,26.899015426635742,23172300,0.0,0.0
2015-02-03 00:00:00-05:00,27.053612505411397,27.4658587282331,27.030709452108997,27.385700225830078,21481800,0.0,0.0
2015-02-04 00:00:00-05:00,27.294090712872617,27.66053304949768,27.288366041058357,27.3685245513916,19937400,0.0,0.0
2015-02-05 00:00:00-05:00,27.51167361466732,27.557479739526833,27.219667213234796,27.40288734436035,18762300,0.0,0.0
2015-02-06 00:00:00-05:00,27.626170053753743,28.490739388708334,27.483029276273154,28.244539260864258,47425400,0.0,0.0
2015-02-09 00:00:00-05:00,28.084221279061627,28.324698931043947,28.044142034423743,28.10712432861328,21052900,0.0,0.0
2015-02-10 00:00:00-05:00,28.19874496378657,28.376240388433413,28.061328798873557,28.347610473632812,15100800,0.0,0.0
